measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Single Shaft - Natural Gas - Generation,Natural Gas - Combined Cycle Single Shaft - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Single Shaft - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,157595.0,996074.0,996074.0,,,,0.0,0.0,0.0,,,
2003-02-01,135536.0,941431.0,941431.0,,,,0.0,0.0,0.0,,,
2003-03-01,56402.0,395023.0,395023.0,,,,0.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-05-01,2214.0,30482.0,30482.0,,,,0.0,0.0,0.0,,,
2003-06-01,53353.0,408444.0,408444.0,,,,0.0,0.0,0.0,,,
2003-07-01,119993.0,861201.0,861201.0,,,,0.0,0.0,0.0,,,
2003-08-01,135135.0,963556.0,963556.0,,,,0.0,0.0,0.0,,,
2003-09-01,114927.0,823867.0,823867.0,,,,0.0,0.0,0.0,,,
2003-10-01,157208.0,1109006.0,1109006.0,,,,0.0,0.0,0.0,,,
2003-11-01,152813.0,1083579.0,1083579.0,,,,0.0,0.0,0.0,,,
2003-12-01,118963.0,847949.0,847949.0,,,,0.0,0.0,0.0,,,
2004-01-01,125114.0,893045.0,893045.0,,,,0.0,0.0,0.0,,,
2004-02-01,64915.0,478346.0,478346.0,,,,0.0,0.0,0.0,,,
2004-03-01,141649.0,1007180.0,1007180.0,,,,0.0,0.0,0.0,,,
2004-04-01,152380.0,1081251.0,1081251.0,,,,0.0,0.0,0.0,,,
2004-05-01,113547.0,815594.0,815594.0,,,,0.0,0.0,0.0,,,
2004-06-01,97756.0,728689.0,728689.0,,,,0.0,0.0,0.0,,,
2004-07-01,101274.0,744758.0,744758.0,,,,0.0,0.0,0.0,,,
2004-08-01,113708.0,863034.0,863034.0,,,,0.0,0.0,0.0,,,
2004-09-01,79990.0,601686.0,601686.0,,,,0.0,0.0,0.0,,,
2004-10-01,92645.0,682964.0,682964.0,,,,0.0,0.0,0.0,,,
2004-11-01,62758.0,461928.0,461928.0,,,,0.0,0.0,0.0,,,
2004-12-01,86583.0,643415.0,643415.0,,,,0.0,0.0,0.0,,,
2005-01-01,60744.0,452440.89,452440.89,,,,0.0,0.0,0.0,0.0,0.0,0.0
