measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,451.773,2895.0,10695.0,0.0,0.0,0.0,25357.048000000003,162570.0,600540.0
2003-02-01,0.0,0.0,0.0,48.438,489.0,1305.0,0.0,0.0,0.0,23800.527000000002,239296.0,639031.0
2003-03-01,0.0,0.0,0.0,15.0,154.0,359.0,0.0,0.0,0.0,32254.0,324419.0,758853.0
2003-04-01,0.0,0.0,0.0,36.328,464.0,917.0,529.087,6771.0,13396.0,31434.095,402027.0,795342.0
2003-05-01,0.0,0.0,0.0,4.657,53.0,112.0,0.0,0.0,0.0,32621.746,349586.0,742718.0
2003-06-01,0.0,0.0,0.0,38.191,471.0,911.0,188.161,2309.0,4464.0,29883.163,367024.0,709731.0
2003-07-01,0.0,0.0,0.0,76.0,472.0,1317.0,94.0,586.0,1634.0,32101.0,199466.0,556308.0
2003-08-01,2595.0,12996.0,43000.0,247.0,1235.0,4089.0,87.0,437.0,1443.0,30616.0,153348.0,507374.0
2003-09-01,3617.0,19929.0,66200.0,214.0,1178.0,3910.0,19.0,106.0,354.0,18921.0,104259.0,346329.0
2003-10-01,1122.0,12189.0,27472.0,157.0,1703.0,3840.0,115.0,1245.0,2806.0,23545.0,255812.0,576528.0
