measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,565.0,5846.0,5846.0,159114.0,1689163.0,1689163.0
2003-02-01,0.0,0.0,0.0,503.0,5290.0,5290.0,135190.0,1456236.0,1456236.0
2003-03-01,0.0,0.0,0.0,55.0,654.0,654.0,156020.0,1683915.0,1683915.0
2003-04-01,0.0,0.0,0.0,58.0,698.0,698.0,151160.0,1657104.0,1657104.0
2003-05-01,0.0,0.0,0.0,482.0,5199.0,5199.0,155524.0,1671540.0,1671540.0
2003-06-01,0.0,0.0,0.0,166.0,1946.0,1946.0,151472.0,1648511.0,1648511.0
2003-07-01,0.0,0.0,0.0,164.0,1503.0,1503.0,159041.0,1720500.0,1720500.0
2003-08-01,0.0,0.0,0.0,1.0,11.0,11.0,160869.0,1753319.0,1753319.0
2003-09-01,0.0,0.0,0.0,139.0,1638.0,1638.0,153012.0,1647981.0,1647981.0
2003-10-01,0.0,0.0,0.0,98.0,1067.0,1067.0,159733.0,1736753.0,1736753.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,157407.0,1729889.0,1729889.0
2003-12-01,0.0,0.0,0.0,3.0,30.0,30.0,162748.0,1778412.0,1778412.0
2004-01-01,0.0,0.0,0.0,34.0,380.0,380.0,161673.0,1769697.0,1769697.0
2004-02-01,0.0,0.0,0.0,462.0,5070.0,5070.0,104228.0,1146227.0,1146227.0
2004-03-01,0.0,0.0,0.0,850.0,9180.0,9180.0,94714.0,1019355.0,1019355.0
2004-04-01,0.0,0.0,0.0,11.0,91.0,91.0,156443.0,1695781.0,1695781.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,162308.0,1759864.0,1759864.0
2004-06-01,0.0,0.0,0.0,51.0,547.0,547.0,156938.0,1684187.0,1684187.0
2004-07-01,0.0,0.0,0.0,322.0,3497.0,3497.0,160673.0,1743069.0,1743069.0
2004-08-01,0.0,0.0,0.0,3.0,33.0,33.0,162094.0,1784561.0,1784561.0
2004-09-01,0.0,0.0,0.0,238.0,2705.0,2705.0,155952.0,1783413.0,1783413.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,162613.0,1861051.0,1861051.0
2004-11-01,0.0,0.0,0.0,2.0,26.0,26.0,158387.0,1805242.0,1805242.0
2004-12-01,0.0,0.0,0.0,50.0,534.0,534.0,163780.0,1861335.0,1861335.0
2005-01-01,,,,121.0,1331.61,1331.61,163031.0,1808874.55,1808874.55
2005-02-01,,,,6.0,66.24,66.24,147361.0,1629556.34,1629556.34
2005-03-01,,,,14.0,156.71,156.71,164649.0,1831593.54,1831593.54
2005-04-01,,,,144.0,1610.46,1610.46,159454.0,1788812.69,1788812.69
2005-05-01,,,,0.0,0.0,0.0,163530.0,1833482.98,1833482.98
2005-06-01,,,,357.0,3998.48,3998.48,147961.0,1658046.13,1658046.13
2005-07-01,,,,214.0,2412.56,2412.56,149800.0,1687699.83,1687699.83
2005-08-01,,,,17.0,189.41,189.41,164759.0,1818618.01,1818618.01
2005-09-01,,,,13.0,149.21,149.21,159106.0,1756459.19,1756459.19
2005-10-01,,,,6.0,68.47,68.47,164920.0,1814988.03,1814988.03
2005-11-01,,,,81.0,904.47,904.47,159593.0,1797757.6,1797757.6
2005-12-01,,,,6.0,64.89,64.89,165034.0,1846610.45,1846610.45
2006-01-01,,,,0.0,0.0,0.0,165153.0,1821090.0,1821090.0
2006-02-01,,,,46.0,494.0,494.0,147581.0,1600423.0,1600423.0
2006-03-01,,,,33.0,362.0,362.0,149721.0,1640004.0,1640004.0
2006-04-01,,,,121.0,1298.0,1298.0,71846.0,768534.0,768534.0
2006-05-01,,,,0.0,13375.0,13375.0,0.0,165686.0,165686.0
2006-06-01,,,,506.0,5064.0,5064.0,19379.0,194018.0,194018.0
2006-07-01,,,,157.0,1612.0,1612.0,163794.0,1676261.0,1676261.0
2006-08-01,,,,31.0,325.0,325.0,154461.0,1639851.0,1639851.0
2006-09-01,,,,18.0,191.0,191.0,154290.0,1616800.0,1616800.0
2006-10-01,,,,77.0,849.0,849.0,152084.0,1668030.0,1668030.0
2006-11-01,,,,259.0,2806.0,2806.0,153540.0,1665157.0,1665157.0
2006-12-01,,,,34.0,372.0,372.0,155321.0,1717592.0,1717592.0
2007-01-01,,,,10.167,108.0,108.0,160264.833,1702609.0,1702609.0
2007-02-01,,,,61.606,654.0,654.0,138345.394,1468489.0,1468489.0
2007-03-01,,,,27.286,292.0,292.0,153118.714,1639543.0,1639543.0
2007-04-01,,,,1.901,21.0,21.0,149158.099,1609862.0,1609862.0
2007-05-01,,,,8.68,90.0,90.0,149006.32,1551478.0,1551478.0
2007-06-01,,,,40.415,440.0,440.0,152256.585,1658844.0,1658844.0
2007-07-01,,,,327.675,3750.0,3750.0,150217.325,1719230.0,1719230.0
2007-08-01,,,,63.191,738.0,738.0,164125.809,1917510.0,1917510.0
2007-09-01,,,,107.19,1207.0,1207.0,155067.81,1746374.0,1746374.0
2007-10-01,,,,2.467,28.0,28.0,161560.533,1823201.0,1823201.0
2007-11-01,,,,4.546,51.0,51.0,159051.454,1777467.0,1777467.0
2007-12-01,,,,292.172,3287.0,3287.0,161247.828,1814097.0,1814097.0
2008-01-01,,,,256.963,2892.0,2892.0,159789.037,1798410.0,1798410.0
2008-02-01,,,,252.299,2850.0,2850.0,115705.701,1306890.0,1306890.0
2008-03-01,,,,1553.17,17870.0,17870.0,54873.83,631335.0,631335.0
2008-04-01,,,,349.50300000000004,3942.0,3942.0,147323.497,1661519.0,1661519.0
2008-05-01,,,,123.983,1384.0,1384.0,157639.017,1759395.0,1759395.0
2008-06-01,,,,34.145,385.0,385.0,151061.855,1701254.0,1701254.0
2008-07-01,,,,328.32300000000004,3784.0,3784.0,156879.677,1808288.0,1808288.0
2008-08-01,,,,82.039,924.0,924.0,162762.961,1833532.0,1833532.0
2008-09-01,,,,29.744,326.0,326.0,157925.256,1730636.0,1730636.0
2008-10-01,,,,97.521,1073.0,1073.0,160272.479,1763908.0,1763908.0
2008-11-01,,,,105.759,1144.0,1144.0,152843.241,1652897.0,1652897.0
2008-12-01,,,,226.74200000000002,2455.0,2455.0,162343.258,1757892.0,1757892.0
2009-01-01,,,,467.579,5070.0,5070.0,160600.421,1741575.0,1741575.0
2009-02-01,,,,673.6360000000001,7258.0,7258.0,136872.364,1474779.0,1474779.0
2009-03-01,,,,554.399,5918.0,5918.0,155681.601,1661956.0,1661956.0
2009-04-01,,,,462.754,4978.0,4978.0,154434.246,1661372.0,1661372.0
2009-05-01,,,,487.87800000000004,5322.0,5322.0,158852.122,1732804.0,1732804.0
2009-06-01,,,,493.15200000000004,5414.0,5414.0,149301.848,1639104.0,1639104.0
2009-07-01,,,,101.61800000000001,1144.0,1144.0,153608.382,1730039.0,1730039.0
2009-08-01,,,,17.845,201.0,201.0,158752.155,1788558.0,1788558.0
2009-09-01,,,,767.316,8706.0,8706.0,139359.684,1581102.0,1581102.0
