measured_on,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,6509.67,70381.0,79511.0,22307.09,241194.0,272485.0,7778.43,0.0,0.0
2003-02-01,4579.0,47314.0,54698.0,22221.0,229594.0,265424.0,7362.0,0.0,0.0
2003-03-01,935.0,9976.0,11340.0,28703.0,306207.0,348057.0,8049.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,24642.0,264235.0,297904.0,6712.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,9508.0,87781.0,115179.0,2503.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,21793.0,223344.0,254768.0,6574.0,238.0,238.0
2003-07-01,0.0,0.0,0.0,26948.0,314770.0,330475.0,8338.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,24620.0,299410.0,299410.0,8101.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,17529.0,204228.0,204228.0,5663.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,21665.0,260340.0,260340.0,7111.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,25989.0,307493.0,307493.0,8713.0,185.0,185.0
2003-12-01,0.0,0.0,0.0,38076.0,345162.0,345162.0,9642.0,394.0,394.0
2004-01-01,14821.87,188439.0,188439.0,6168.001,78419.0,78419.0,2436.626,529.0,529.0
2004-02-01,40.797000000000004,519.0,519.0,7996.162,101662.0,101662.0,2286.3070000000002,496.0,496.0
2004-03-01,89.15,1133.0,1133.0,7859.738,99927.0,99927.0,2141.431,465.0,465.0
2004-04-01,13.599,173.0,173.0,9285.767,118058.0,118058.0,3089.43,671.0,671.0
2004-05-01,180.566,2296.0,2296.0,13704.302,174234.0,174234.0,5058.774,1098.0,1098.0
2004-06-01,5.855,74.0,74.0,12801.34,162754.0,162754.0,4968.401,1079.0,1079.0
2004-07-01,4.344,55.0,55.0,14585.829000000002,185442.0,185442.0,5544.427000000001,1204.0,1204.0
2004-08-01,2.267,29.0,29.0,17372.992,220877.0,220877.0,3777.683,820.0,820.0
2004-09-01,1.5110000000000001,19.0,19.0,12140.223,154349.0,154349.0,4823.025000000001,1047.0,1047.0
2004-10-01,10.388,132.0,132.0,7330.549,93199.0,93199.0,4460.126,968.0,968.0
2004-11-01,81.406,1035.0,1035.0,9985.889000000001,126959.0,126959.0,3656.869,794.0,794.0
2004-12-01,3096.2470000000003,39364.0,39364.0,11971.208,152200.0,152200.0,4427.9,961.0,961.0
2005-01-01,0.0,0.0,0.0,2343.396,30497.73,30497.73,700.558,9.93,9.93
2005-02-01,0.0,0.0,0.0,2077.481,27037.03,27037.03,621.063,8.8,8.8
2005-03-01,0.0,0.0,0.0,2479.109,32263.95,32263.95,741.13,10.5,10.5
2005-04-01,0.0,0.0,0.0,2541.695,33078.47,33078.47,759.84,10.77,10.77
2005-05-01,0.0,0.0,0.0,2061.9230000000002,26834.55,26834.55,616.412,8.73,8.73
2005-06-01,0.0,0.0,0.0,3507.9410000000003,45653.5,45653.5,1048.699,14.86,14.86
2005-07-01,0.0,0.0,0.0,4520.475,58830.97,58830.97,1351.396,19.15,19.15
2005-08-01,0.0,0.0,0.0,4833.0650000000005,62899.1,62899.1,1444.844,20.47,20.47
2005-09-01,0.0,0.0,0.0,3197.117,41608.33,41608.33,955.778,13.54,13.54
2005-10-01,0.0,0.0,0.0,2210.973,28774.33,28774.33,660.97,9.36,9.36
2005-11-01,0.0,0.0,0.0,1984.5970000000002,25828.21,25828.21,593.295,8.41,8.41
2005-12-01,0.0,0.0,0.0,2144.228,27905.69,27905.69,641.017,9.08,9.08
