measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,1312.22,21428.0,21428.0,,,
2003-02-01,41749.0,662484.0,663000.0,1478.0,22859.0,22859.0,16747.0,265742.0,265948.0
2003-03-01,39850.529,655774.0,657216.0,1003.52,15680.0,15680.0,18245.7,300256.0,300917.0
2003-04-01,,,,1227.94,20521.0,20521.0,,,
2003-06-01,,,,115.64,608.0,608.0,,,
2003-12-01,,,,255.0,2582.0,2582.0,,,
2004-01-01,28588.20233,176988.08,894601.44,260.231,2990.69,3763.3,4151.83167,25703.78,129921.94
2004-02-01,24633.77954,152506.46,770879.28,161.78300000000002,1859.28,2339.61,4559.93546,28230.32,142696.73
2004-03-01,17834.52265,110412.61,558208.32,154.419,1774.64,2233.11,9230.88635,57147.94,288920.41
2004-04-01,16546.0032,102435.45,517809.84,133.258,1531.46,1927.1,4324.4698,26772.57,135334.98
2004-05-01,22865.08976,141556.58,715479.36,535.06,6149.13,7737.7,2088.47224,12929.62,65351.1
2004-06-01,23824.29156,147494.96,745513.2,645.414,7417.37,9333.57,2935.32644,18172.45,91852.66
2004-07-01,25082.9074,155286.98,784873.44,866.839,9962.08,12535.69,2122.4386,13139.91,66413.58
2004-08-01,22659.35691,140282.91,709061.76,613.268,7047.94,8868.71,2872.32909,17782.44,89881.58
2004-09-01,22689.58589,140470.06,709998.96,416.687,4788.75,6025.87,2522.38211,15615.94,78929.99
2004-10-01,14641.62785,90645.56,458191.2,152.165,1748.75,2200.53,2806.47515,17374.74,87825.09
2004-11-01,19411.78001,120177.33,607415.04,143.324,1647.14,2072.66,1559.10799,9652.36,48786.13
2004-12-01,21894.75758,135549.31,685112.16,257.97200000000004,2964.72,3730.63,1842.28942,11405.52,57647.36
2005-01-01,16827.83906,104180.28,670309.39,141.577,1627.06,3260.63,6247.34094,38676.96,248852.59
2005-02-01,15301.89279,94733.23,608610.55,125.512,1442.43,2890.63,5546.75921,34339.7,220614.29
2005-03-01,16289.89111,100849.87,652391.28,149.776,1721.29,3449.47,6573.58489,40696.72,263264.47
2005-04-01,13197.87071,81707.33,536711.49,153.55700000000002,1764.75,3536.56,6637.17129,41090.38,269910.67
2005-05-01,12678.71645,78493.28,509889.82,124.572,1431.63,2868.99,5444.62555,33707.39,218962.16
2005-06-01,15921.87467,98571.5,653570.84,211.93300000000002,2435.63,4881.0,9075.07733,56183.33,372519.32
2005-07-01,17564.94191,108743.65,729194.38,273.106,3138.66,6289.85,11563.36009,71588.16,480043.56
2005-08-01,17290.62333,107045.36,722255.87,291.99100000000004,3355.69,6724.79,12286.79767,76066.93,513238.39
2005-09-01,15956.10645,98783.43,650641.07,193.155,2219.82,4448.51,8326.07755,51546.32,339511.9
2005-10-01,15259.74809,94472.31,609297.13,133.577,1535.12,3076.38,5880.28191,36404.52,234790.17
2005-11-01,15070.83871,93302.79,598352.48,119.9,1377.94,2761.4,5308.22429,32862.94,210750.66
2005-12-01,17452.86544,108049.79,690188.77,129.544,1488.78,2983.51,5757.92856,35647.04,227702.3
2006-01-01,20721.18161,128283.77,708972.31,1829.7820000000002,21028.65,229796.87,31.29439,193.74,1070.73
2006-02-01,19480.98408,120605.76,666592.43,1824.449,20967.35,229127.08,31.20092,193.16,1067.62
2006-03-01,19020.38824,117754.23,650939.1,1990.375,22874.24,249965.27,34.032759999999996,210.7,1164.71
2006-04-01,19043.28321,117895.98,651559.11,1673.4360000000001,19231.84,210161.76,28.62079,177.19,979.25
2006-05-01,20029.82015,124003.58,685243.01,1623.3490000000002,18656.22,203871.5,27.766849999999998,171.9,949.94
2006-06-01,20483.76646,126813.94,700986.23,2076.576,23864.9,260790.96,35.508539999999996,219.83,1215.16
2006-07-01,21496.75511,133085.29,736128.52,3109.8030000000003,35739.2,390550.9,53.14189,329.0,1819.78
2006-08-01,21490.04819,133043.78,735806.39,2927.7960000000003,33647.49,367693.18,50.03781,309.78,1713.26
2006-09-01,19416.27465,120205.15,664510.49,2076.686,23866.16,260804.8,35.507349999999995,219.82,1215.22
2006-10-01,19005.42126,117661.58,650594.38,2316.016,26616.65,290861.55,39.59074,245.1,1355.27
2006-11-01,19273.49626,119321.22,659588.72,1992.083,22893.88,250179.81,34.06274,210.88,1165.71
2006-12-01,20545.40163,127195.52,703025.81,1946.548,22370.57,244461.14,33.28837,206.09,1139.07
2007-01-01,26379.901,163307.0,901788.0,88.059,1012.0,1390.0,19.706,122.0,674.0
2007-02-01,22375.822,138533.0,802135.0,170.102,1955.0,2686.0,1386.8020000000001,8586.0,49715.0
2007-03-01,22279.92,137933.0,825644.0,107.878,1240.0,1704.0,561.7760000000001,3478.0,20818.0
2007-04-01,17519.471,108457.0,579109.0,115.5,1327.0,1823.0,1966.9370000000001,12177.0,65017.0
2007-05-01,23295.917,144220.0,816172.0,170.692,1962.0,2695.0,0.0,0.0,0.0
2007-06-01,22977.154,142242.0,816596.0,205.22,2359.0,3240.0,12.428,77.0,442.0
2007-07-01,23059.917,142759.0,718762.0,246.94,2838.0,3899.0,316.666,1960.0,9870.0
2007-08-01,21096.996,130607.0,740226.0,571.034,6563.0,9015.0,1552.64,9613.0,54477.0
2007-09-01,22482.436,139199.0,778383.0,199.537,2294.0,3150.0,39.48,244.0,1367.0
2007-10-01,18176.111,40381.0,40381.0,184.404,2119.0,2911.0,7943.089,17647.0,17647.0
2007-11-01,21474.128,132954.0,866369.0,80.595,926.0,1273.0,2719.67,16838.0,109725.0
2007-12-01,27046.821,167452.0,852733.0,92.479,1063.0,1460.0,409.11600000000004,2532.0,12899.0
2008-01-01,26545.772,164343.0,852324.0,3.8200000000000003,44.0,84.0,1846.458,11431.0,59286.0
2008-02-01,25065.163,155177.0,812498.0,3.0340000000000003,35.0,68.0,1155.829,7156.0,37467.0
2008-03-01,26784.594,165822.0,861922.0,2.2030000000000003,25.0,49.0,587.797,3639.0,18915.0
2008-04-01,11838.611,73292.0,438820.0,1.685,19.0,38.0,6509.841,40302.0,241300.0
2008-05-01,23384.106,144770.0,779331.0,1.4060000000000001,16.0,31.0,1527.996,9460.0,50924.0
2008-06-01,23153.164,143340.0,773024.0,5.189,60.0,116.0,332.894,2061.0,11114.0
2008-07-01,24827.597,153706.0,815249.0,8.935,103.0,200.0,0.0,0.0,0.0
2008-08-01,24636.096,152521.0,828975.0,5.583,64.0,125.0,125.24000000000001,775.0,4214.0
2008-09-01,23339.739,144495.0,769077.0,3.2510000000000003,37.0,73.0,780.116,4830.0,25706.0
2008-10-01,25210.25,156075.0,817846.0,1.685,19.0,38.0,42.759,265.0,1387.0
2008-11-01,26883.779000000002,166436.0,863781.0,1.683,19.0,38.0,30.549000000000003,189.0,982.0
2008-12-01,20870.021,129205.0,707002.0,3.6660000000000004,42.0,82.0,3310.3340000000003,20494.0,112142.0
2009-01-01,25038.482,155012.0,643403.0,82.22800000000001,945.0,1432.0,9.983,62.0,257.0
2009-02-01,22466.936,22145.0,22145.0,47.291000000000004,543.0,822.0,813.6170000000001,802.0,802.0
2009-03-01,0.0,0.0,0.0,57.93,666.0,1008.0,23827.924,856.0,856.0
2009-04-01,0.0,0.0,0.0,56.873000000000005,654.0,989.0,20036.659,684.0,684.0
2009-05-01,0.0,0.0,0.0,50.081,576.0,871.0,23288.235,796.0,796.0
2009-06-01,0.0,0.0,0.0,101.531,1167.0,1766.0,23158.595,784.0,784.0
2009-07-01,0.0,0.0,0.0,62.157000000000004,714.0,1081.0,23624.34,803.0,803.0
2009-08-01,0.0,0.0,0.0,109.69800000000001,1261.0,1908.0,21526.085,765.0,765.0
2009-09-01,0.0,0.0,0.0,68.876,792.0,1198.0,22276.079,752.0,752.0
2009-10-01,26029.316,161146.0,577226.0,22.894000000000002,263.0,398.0,15.941,99.0,354.0
2009-11-01,26233.763,162412.0,745291.0,17.187,198.0,299.0,6.435,40.0,183.0
2009-12-01,25486.354,157785.0,797412.0,20.034000000000002,230.0,348.0,527.2130000000001,3264.0,16495.0
2010-01-01,29329.863,181580.0,854070.0,82.85000000000001,933.0,1460.0,5.1370000000000005,32.0,150.0
2010-02-01,26232.149,162402.0,841980.0,55.248000000000005,622.0,973.0,1.851,11.0,59.0
2010-03-01,29395.153,181984.0,915827.0,42.726,481.0,752.0,0.8470000000000001,5.0,26.0
2010-04-01,23636.846,146334.0,236911.0,41.363,466.0,728.0,59.154,366.0,593.0
2010-05-01,25620.287,158614.0,684349.0,105.605,1189.0,1859.0,6.713,42.0,179.0
2010-06-01,22857.078,141507.0,735938.0,187.145,2108.0,3294.0,0.922,6.0,30.0
2010-07-01,25519.732,157991.0,839117.0,357.99100000000004,4032.0,6301.0,0.268,2.0,9.0
2010-08-01,25467.689,157669.0,811644.0,385.668,4344.0,6788.0,0.311,2.0,10.0
2010-09-01,24918.618000000002,154270.0,788282.0,81.934,923.0,1442.0,0.382,2.0,12.0
2010-10-01,25493.371,157828.0,802229.0,29.394000000000002,331.0,517.0,0.629,4.0,20.0
2010-11-01,25191.547,155960.0,795967.0,29.39,331.0,517.0,0.453,3.0,14.0
2010-12-01,25385.771,157162.0,854068.0,105.686,1190.0,1860.0,0.229,1.0,8.0
2011-01-01,14734.22,91219.0,841229.0,418.072,4709.0,6432.0,84.78,525.0,4840.0
2011-02-01,12858.716,79608.0,677677.0,287.392,3237.0,4421.0,131.284,813.0,6919.0
2011-03-01,14204.444,87939.0,794806.0,357.973,4032.0,5507.0,12.556,78.0,703.0
2011-04-01,22245.726,137722.0,764859.0,363.957,4100.0,5599.0,408.274,2528.0,14037.0
2011-05-01,9346.828,57866.0,368924.0,661.236,7448.0,10173.0,4072.172,25211.0,160731.0
2011-06-01,21624.524,133876.0,739792.0,622.816,7016.0,9581.0,97.476,603.0,3335.0
2011-07-01,23262.345,144016.0,741744.0,1847.895,20815.0,28429.0,21.655,134.0,690.0
2011-08-01,24006.45,148623.0,767415.0,1025.015,11546.0,15769.0,12.55,78.0,401.0
2011-09-01,22193.632,137400.0,729084.0,352.264,3968.0,5419.0,0.368,2.0,12.0
2011-10-01,22871.334,141595.0,774363.0,240.457,2709.0,3699.0,227.666,1409.0,7708.0
2011-11-01,23908.485,148016.0,777916.0,195.061,2197.0,3001.0,403.515,2498.0,13129.0
2011-12-01,26314.041,162909.0,856327.0,293.862,3310.0,4521.0,275.959,1708.0,8980.0
2012-01-01,27358.0,162648.0,883423.0,183.173,2063.0,2802.0,0.0,0.0,0.0
2012-02-01,23149.0,137625.0,783649.0,248.051,2794.0,3794.0,0.0,0.0,0.0
2012-03-01,24527.0,145817.0,803108.0,278.559,3137.0,4261.0,0.0,0.0,0.0
2012-04-01,16718.867,99396.0,274000.0,318.365,3586.0,4870.0,23.133,138.0,379.0
2012-05-01,25823.904,153527.0,632837.0,251.086,2828.0,3841.0,7.096,42.0,174.0
2012-06-01,25962.736,154353.0,532917.0,430.323,4847.0,6582.0,12.264,73.0,252.0
2012-07-01,25300.0,150413.0,755002.0,706.243,7954.0,10802.0,0.0,0.0,0.0
2012-08-01,24739.0,147078.0,743855.0,331.319,3732.0,5067.0,0.0,0.0,0.0
2012-09-01,22837.966,135776.0,687355.0,229.121,2580.0,3505.0,0.034,0.0,1.0
2012-10-01,24346.0,144741.0,728345.0,94.968,1070.0,1452.0,0.0,0.0,0.0
2012-11-01,23625.838,140460.0,737621.0,136.18,1534.0,2083.0,0.162,1.0,5.0
2012-12-01,25972.0,154408.0,790678.0,95.612,1077.0,1462.0,0.0,0.0,0.0
2013-01-01,26369.838,163254.0,824688.0,30.615,352.0,506.0,0.0,0.0,0.0
2013-02-01,22654.945,140256.0,724496.0,30.585,351.0,505.0,6.215,38.0,199.0
2013-03-01,14037.812,86907.0,456544.0,57.076,656.0,943.0,8684.806,53767.0,282451.0
2013-04-01,24372.414,150888.0,795846.0,49.144,565.0,812.0,0.0,0.0,0.0
2013-05-01,24435.794,151281.0,774253.0,35.79,411.0,591.0,0.0,0.0,0.0
2013-06-01,23056.482,142741.0,730921.0,33.338,383.0,551.0,27.21,168.0,863.0
2013-07-01,23675.236,146572.0,745323.0,90.646,1042.0,1497.0,0.0,0.0,0.0
2013-08-01,22225.184,137595.0,701476.0,63.046,725.0,1041.0,0.0,0.0,0.0
2013-09-01,21948.616,135883.0,694034.0,37.203,428.0,614.0,0.0,0.0,0.0
2013-10-01,24045.912,148867.0,756690.0,17.723,204.0,293.0,0.0,0.0,0.0
2013-11-01,25970.579,160783.0,801837.0,25.647,295.0,424.0,88.121,546.0,2721.0
2013-12-01,13627.004,84364.0,522753.0,24.087,277.0,398.0,7837.622,48522.0,300663.0
2014-01-01,4352.457,25876.0,151502.0,0.859,100.0,145.0,16653.543,99008.0,579683.0
2014-02-01,18017.239,107116.0,606591.0,0.21,24.0,36.0,5897.761,35063.0,198561.0
2014-03-01,20565.254,122264.0,650585.0,0.3,35.0,50.0,4098.746,24368.0,129664.0
2014-04-01,7171.431,42635.0,231795.0,0.263,30.0,44.0,15064.569,89561.0,486916.0
2014-05-01,26044.931,154841.0,839160.0,0.812,94.0,137.0,49.069,292.0,1581.0
2014-06-01,22386.986,133094.0,725946.0,0.706,82.0,118.0,836.014,4970.0,27110.0
2014-07-01,26096.698,155149.0,803326.0,0.507,59.0,85.0,72.302,430.0,2226.0
2014-08-01,25124.0,149366.0,780789.0,0.937,109.0,157.0,0.0,0.0,0.0
2014-09-01,24603.933,146275.0,745621.0,0.589,68.0,99.0,0.067,0.0,2.0
