measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2009-07-01,15265.554,173724.0,426432.0,59.067,672.0,1650.0,256.817,2923.0,7174.0,323.696,3684.0,9042.0,,,,10767.866,122540.0,300792.0
2009-08-01,19575.804,224556.0,608568.0,73.06700000000001,838.0,2272.0,252.447,2896.0,7848.0,118.098,1355.0,3671.0,,,,8947.584,102639.0,278160.0
2009-09-01,15191.319,172776.0,426432.0,58.78,669.0,1650.0,385.276,4382.0,10815.0,322.122,3664.0,9042.0,,,,10715.503,121871.0,300792.0
2009-10-01,21396.747,245688.0,661248.0,100.73100000000001,1157.0,3113.0,460.553,5288.0,14233.0,80.513,924.0,2488.0,,,,10881.456,124946.0,336282.0
2009-11-01,18987.113,218018.0,645468.0,75.232,864.0,2558.0,315.516,3623.0,10726.0,196.376,2255.0,6676.0,,,,9612.763,110378.0,326786.0
2009-12-01,11642.216,133739.0,464316.0,46.337,532.0,1848.0,306.127,3517.0,12209.0,131.758,1514.0,5255.0,,,,7810.562000000001,89723.0,311502.0
2010-01-01,12296.658,140089.0,464316.0,0.0,0.0,0.0,378.76500000000004,4315.0,14302.0,1135.8990000000001,12941.0,42891.0,,,,5203.678,59283.0,196488.0
2010-02-01,15192.24,174458.0,590544.0,0.0,0.0,0.0,278.43100000000004,3197.0,10823.0,140.257,1611.0,5452.0,,,,7236.072,83094.0,281276.0
2010-03-01,17455.511,200298.0,614484.0,0.0,0.0,0.0,157.65800000000002,1809.0,5550.0,89.135,1023.0,3138.0,,,,9313.696,106873.0,327869.0
2010-04-01,16005.056,183673.0,539904.0,0.0,0.0,0.0,102.658,1178.0,3463.0,31.292,359.0,1056.0,,,,8697.994,99817.0,293412.0
2010-05-01,13328.331,152966.0,460812.0,0.0,0.0,0.0,83.069,953.0,2872.0,365.54200000000003,4195.0,12638.0,,,,5694.058,65349.0,196866.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,101.67,1167.0,3213.0,0.0,0.0,0.0,,,,8252.33,94699.0,260793.0
2010-07-01,7830.915,89968.0,284724.0,0.0,0.0,0.0,101.846,1170.0,3703.0,43.868,504.0,1595.0,,,,5807.371,66720.0,211150.0
2010-08-01,19106.985,219324.0,635748.0,0.0,0.0,0.0,268.926,3087.0,8948.0,6.973000000000001,80.0,232.0,,,,10080.116,115707.0,335396.0
2010-09-01,17678.747,202518.0,591540.0,0.0,0.0,0.0,401.398,4598.0,13431.0,100.016,1146.0,3347.0,,,,10634.839,121827.0,355847.0
2010-10-01,17288.739,198462.0,619332.0,0.0,0.0,0.0,159.898,1836.0,5728.0,143.127,1643.0,5127.0,,,,9676.236,111076.0,346630.0
2010-11-01,15532.999,179002.0,598584.0,0.0,0.0,0.0,415.45300000000003,4788.0,16010.0,331.56800000000004,3821.0,12777.0,,,,7504.9800000000005,86487.0,289214.0
2010-12-01,14730.453000000001,169809.0,635460.0,0.0,0.0,0.0,839.144,9673.0,36200.0,68.165,786.0,2941.0,,,,6090.238,70207.0,262728.0
2011-01-01,14668.529,168240.0,554544.0,0.0,0.0,0.0,919.402,10545.0,34758.0,717.386,8228.0,27121.0,,,,7007.683,80374.0,264926.0
2011-02-01,14865.015,170279.0,511716.0,0.0,0.0,0.0,388.477,4450.0,13373.0,149.953,1718.0,5162.0,,,,7430.555,85117.0,255791.0
2011-03-01,15615.221,178880.0,580392.0,0.0,0.0,0.0,567.257,6498.0,21084.0,156.827,1797.0,5829.0,,,,6504.695,74514.0,241769.0
2011-04-01,2912.61,33396.0,116544.0,0.0,0.0,0.0,185.687,2129.0,7430.0,20.583,236.0,824.0,,,,1177.12,13497.0,47101.0
2011-05-01,2964.946,33959.0,137448.0,0.0,0.0,0.0,61.328,702.0,2843.0,0.0,0.0,0.0,,,,1362.726,15608.0,63173.0
2011-06-01,14865.403,170243.0,552624.0,0.0,0.0,0.0,258.183,2957.0,9598.0,587.564,6729.0,21843.0,,,,7767.85,88960.0,288771.0
2011-07-01,5566.495,63786.0,198864.0,0.0,0.0,0.0,338.277,3876.0,12085.0,39.776,456.0,1421.0,,,,7866.452,90142.0,281030.0
2011-08-01,15934.097,182493.0,517392.0,0.0,0.0,0.0,262.852,3010.0,8535.0,767.362,8789.0,24917.0,,,,9731.689,111457.0,315995.0
2011-09-01,18657.14,213655.0,620352.0,0.0,0.0,0.0,312.751,3582.0,10399.0,165.539,1896.0,5504.0,,,,9176.57,105087.0,305122.0
2011-10-01,18306.354,209587.0,620868.0,0.0,0.0,0.0,204.037,2336.0,6920.0,69.26,793.0,2349.0,,,,8517.349,97514.0,288870.0
2011-11-01,16766.354,192031.0,586032.0,0.0,0.0,0.0,391.47,4484.0,13683.0,100.89,1156.0,3526.0,,,,7895.286,90428.0,275963.0
2011-12-01,18378.844,210471.0,636228.0,0.0,0.0,0.0,188.287,2156.0,6518.0,36.693,420.0,1270.0,,,,9219.176,105576.0,319144.0
