measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2006-09-01,,,,64.038,640.0,640.0,,,,96985.811,1034091.0,1034091.0
2006-10-01,,,,67.645,676.0,676.0,,,,100316.546,1069604.0,1069604.0
2006-11-01,,,,79.65400000000001,796.0,796.0,,,,99188.652,1057578.0,1057578.0
2006-12-01,,,,88.257,882.0,882.0,,,,107379.988,1144917.0,1144917.0
2007-01-01,,,,20.435,217.0,217.0,,,,128579.565,1362907.0,1362907.0
2007-02-01,,,,24.124000000000002,257.0,257.0,,,,119315.876,1268627.0,1268627.0
2007-03-01,,,,120.84100000000001,1277.0,1277.0,,,,125082.159,1321612.0,1321612.0
2007-04-01,,,,15.124,160.0,160.0,,,,123409.876,1302336.0,1302336.0
2007-05-01,,,,126.997,1340.0,1340.0,,,,122232.003,1289244.0,1289244.0
2007-06-01,,,,128.457,1357.0,1357.0,,,,118211.543,1248399.0,1248399.0
2007-07-01,,,,11.401,120.0,120.0,,,,126369.599,1326821.0,1326821.0
2007-08-01,,,,28.515,302.0,302.0,,,,124662.485,1320742.0,1320742.0
2007-09-01,,,,32.403,342.0,342.0,,,,121500.597,1282390.0,1282390.0
2007-10-01,,,,616.7470000000001,6498.0,6498.0,,,,99040.253,1043481.0,1043481.0
2007-11-01,,,,88.596,929.0,929.0,,,,117976.404,1237215.0,1237215.0
2007-12-01,,,,9.727,103.0,103.0,,,,127622.273,1346176.0,1346176.0
2008-01-01,,,,36.484,388.0,388.0,,,,127703.516,1356683.0,1356683.0
2008-02-01,,,,32.891,348.0,348.0,,,,119611.109,1264440.0,1264440.0
2008-03-01,,,,18.547,194.0,194.0,,,,125208.453,1308350.0,1308350.0
2008-04-01,,,,15.498000000000001,165.0,165.0,,,,119626.50200000001,1275919.0,1275919.0
2008-05-01,,,,35.738,376.0,376.0,,,,120827.262,1271894.0,1271894.0
2008-06-01,,,,70.25500000000001,735.0,735.0,,,,117995.745,1234967.0,1234967.0
2008-07-01,,,,40.315000000000005,428.0,428.0,,,,123910.685,1313961.0,1313961.0
2008-08-01,,,,52.223,553.0,553.0,,,,120272.777,1273365.0,1273365.0
2008-09-01,,,,17.034000000000002,182.0,182.0,,,,117481.966,1258025.0,1258025.0
2008-10-01,,,,60.544000000000004,638.0,638.0,,,,118562.456,1250171.0,1250171.0
2008-11-01,,,,39.958,416.0,416.0,,,,119582.042,1245266.0,1245266.0
2008-12-01,,,,43.164,456.0,456.0,,,,124700.836,1317384.0,1317384.0
2009-01-01,,,,74.477,792.0,792.0,,,,127549.523,1356904.0,1356904.0
2009-02-01,,,,14.07,148.0,148.0,,,,114086.93,1201654.0,1201654.0
2009-03-01,,,,207.443,2200.0,2200.0,,,,114693.557,1216475.0,1216475.0
2009-04-01,,,,74.183,792.0,792.0,,,,109509.817,1169606.0,1169606.0
2009-05-01,,,,130.89600000000002,1397.0,1397.0,,,,111753.104,1192271.0,1192271.0
2009-06-01,,,,204.794,2183.0,2183.0,,,,99057.206,1055946.0,1055946.0
2009-07-01,,,,43.302,462.0,462.0,,,,117311.698,1250822.0,1250822.0
2009-08-01,,,,26.98,279.0,279.0,,,,79931.02,827462.0,827462.0
2009-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-10-01,,,,499.884,5250.0,5250.0,,,,64130.116,673483.0,673483.0
2009-11-01,,,,158.116,1642.0,1642.0,,,,112936.884,1172540.0,1172540.0
2009-12-01,,,,28.744,302.0,302.0,,,,126567.256,1330205.0,1330205.0
2010-01-01,,,,11.331000000000001,120.0,120.0,,,,122165.669,1290536.0,1290536.0
2010-02-01,,,,8.649000000000001,91.0,91.0,,,,113695.351,1198817.0,1198817.0
2010-03-01,,,,25.369,268.0,268.0,,,,115254.631,1217128.0,1217128.0
2010-04-01,,,,348.939,3745.0,3745.0,,,,66395.061,712568.0,712568.0
2010-05-01,,,,15.223,160.0,160.0,,,,126927.777,1330691.0,1330691.0
2010-06-01,,,,10.402000000000001,108.0,108.0,,,,116517.598,1213071.0,1213071.0
2010-07-01,,,,10.975,114.0,114.0,,,,122866.025,1276187.0,1276187.0
2010-08-01,,,,10.352,108.0,108.0,,,,123237.648,1289219.0,1289219.0
2010-09-01,,,,72.072,758.0,758.0,,,,100158.928,1053539.0,1053539.0
2010-10-01,,,,9.863000000000001,103.0,103.0,,,,109727.137,1141473.0,1141473.0
2010-11-01,,,,18.821,200.0,200.0,,,,111264.179,1179401.0,1179401.0
2010-12-01,,,,15.085,160.0,160.0,,,,122557.915,1296642.0,1296642.0
2011-01-01,0.0,0.0,0.0,7.495,80.0,80.0,,,,122277.51,1301938.0,1301938.0
2011-02-01,0.0,0.0,0.0,56.718,604.0,604.0,,,,102556.28,1092510.0,1092510.0
2011-03-01,0.0,0.0,0.0,11.274,120.0,120.0,,,,117244.73,1244786.0,1244786.0
2011-04-01,0.0,0.0,0.0,8.579,91.0,91.0,,,,105612.42,1122680.0,1122680.0
2011-05-01,0.0,0.0,0.0,396.53,4315.0,4315.0,,,,83030.47,903509.0,903509.0
2011-06-01,0.0,0.0,0.0,138.224,1471.0,1471.0,,,,96121.776,1022664.0,1022664.0
2011-07-01,0.0,0.0,0.0,23.301,245.0,245.0,,,,121771.7,1280889.0,1280889.0
2011-08-01,0.0,0.0,0.0,3.756,40.0,40.0,,,,118321.24,1257024.0,1257024.0
2011-09-01,0.0,0.0,0.0,156.529,1664.0,1664.0,,,,93436.471,993524.0,993524.0
2011-10-01,0.0,0.0,0.0,3.273,34.0,34.0,,,,109299.73,1141953.0,1141953.0
2011-11-01,0.0,0.0,0.0,246.771,2639.0,2639.0,,,,95185.229,1017959.0,1017959.0
2011-12-01,0.0,0.0,0.0,127.96,1368.0,1368.0,,,,98404.04,1052025.0,1052025.0
2012-01-01,0.0,0.0,0.0,56.176,599.0,599.0,,,,108012.82,1150762.0,1150762.0
2012-02-01,0.0,0.0,0.0,79.497,844.0,844.0,,,,103104.5,1094118.0,1094118.0
2012-03-01,0.0,0.0,0.0,62.072,661.0,661.0,,,,102443.93,1091256.0,1091256.0
2012-04-01,0.0,0.0,0.0,119.98,1277.0,1277.0,,,,96756.02,1029658.0,1029658.0
2012-05-01,0.0,0.0,0.0,83.435,889.0,889.0,,,,108077.57,1151831.0,1151831.0
2012-06-01,0.0,0.0,0.0,168.289,1778.0,1778.0,,,,91972.711,971923.0,971923.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,119169.0,1246579.0,1246579.0
2012-08-01,0.0,0.0,0.0,13.831,148.0,148.0,,,,112959.17,1210356.0,1210356.0
2012-09-01,0.0,0.0,0.0,82.924,884.0,884.0,,,,105062.08,1119362.0,1119362.0
2012-10-01,0.0,0.0,0.0,125.941,1357.0,1357.0,,,,85205.059,917805.0,917805.0
2012-11-01,0.0,0.0,0.0,107.273,1157.0,1157.0,,,,99651.727,1074895.0,1074895.0
2012-12-01,0.0,0.0,0.0,24.767,268.0,268.0,,,,109626.23,1185786.0,1185786.0
2013-01-01,0.0,0.0,0.0,12.312,131.0,131.0,,,,125006.69,1331083.0,1331083.0
2013-02-01,0.0,0.0,0.0,1.083,11.0,11.0,,,,113652.92,1196861.0,1196861.0
2013-03-01,0.0,0.0,0.0,83.968,889.0,889.0,,,,117181.03,1240913.0,1240913.0
2013-04-01,0.0,0.0,0.0,11.765,125.0,125.0,,,,111642.24,1189965.0,1189965.0
2013-05-01,0.0,0.0,0.0,136.416,1482.0,1482.0,,,,92950.584,1009800.0,1009800.0
2013-06-01,0.0,0.0,0.0,92.989,1020.0,1020.0,,,,83366.011,914714.0,914714.0
2013-07-01,0.0,0.0,0.0,105.46,1112.0,1112.0,,,,120219.54,1267064.0,1267064.0
2013-08-01,0.0,0.0,0.0,63.645,678.0,678.0,,,,120877.36,1288251.0,1288251.0
2013-09-01,0.0,0.0,0.0,6.347,68.0,68.0,,,,16850.653,181596.0,181596.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,618.457,7171.0,7171.0,,,,55482.543,643283.0,643283.0
2013-12-01,0.0,0.0,0.0,215.337,2297.0,2297.0,,,,112613.66,1201303.0,1201303.0
2014-01-01,0.0,0.0,0.0,68.677,730.0,730.0,,,,120824.32,1283587.0,1283587.0
2014-02-01,0.0,0.0,0.0,69.596,741.0,741.0,,,,115311.4,1227744.0,1227744.0
2014-03-01,0.0,0.0,0.0,15.595,165.0,165.0,,,,122073.41,1293909.0,1293909.0
2014-04-01,0.0,0.0,0.0,22.947,245.0,245.0,,,,106521.05,1137743.0,1137743.0
2014-05-01,0.0,0.0,0.0,40.026,422.0,422.0,,,,123099.97,1297238.0,1297238.0
2014-06-01,0.0,0.0,0.0,145.419,1556.0,1556.0,,,,107347.58,1148704.0,1148704.0
2014-07-01,0.0,0.0,0.0,11.237,120.0,120.0,,,,122786.76,1307918.0,1307918.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,127381.0,1361008.0,1361008.0
2014-09-01,0.0,0.0,0.0,49.398,530.0,530.0,,,,83542.602,896515.0,896515.0
2014-10-01,0.0,0.0,0.0,94.041,1060.0,1060.0,,,,55736.959,628367.0,628367.0
2014-11-01,0.0,0.0,0.0,114.388,1243.0,1243.0,,,,97401.612,1058072.0,1058072.0
2014-12-01,0.0,0.0,0.0,29.931,319.0,319.0,,,,124620.07,1329016.0,1329016.0
2015-01-01,0.0,0.0,0.0,70.238,752.0,752.0,,,,119298.76,1277940.0,1277940.0
2015-02-01,0.0,0.0,0.0,13.831,148.0,148.0,,,,112001.17,1200091.0,1200091.0
2015-03-01,0.0,0.0,0.0,77.86,838.0,838.0,,,,107189.14,1153528.0,1153528.0
2015-04-01,0.0,0.0,0.0,152.364,1699.0,1699.0,,,,40364.636,449997.0,449997.0
2015-05-01,0.0,0.0,0.0,56.19,627.0,627.0,,,,78086.81,871345.0,871345.0
2015-06-01,0.0,0.0,0.0,276.336,2918.0,2918.0,,,,90830.664,959269.0,959269.0
2015-07-01,0.0,0.0,0.0,248.295,2616.0,2616.0,,,,115304.71,1214974.0,1214974.0
2015-08-01,0.0,0.0,0.0,171.177,1807.0,1807.0,,,,115933.82,1223767.0,1223767.0
2015-09-01,0.0,0.0,0.0,53.542,570.0,570.0,,,,95807.458,1019954.0,1019954.0
2015-10-01,0.0,0.0,0.0,121.493,1334.0,1334.0,,,,63100.507,692742.0,692742.0
2015-11-01,0.0,0.0,0.0,35.842,393.0,393.0,,,,66555.158,730322.0,730322.0
2015-12-01,0.0,0.0,0.0,200.848,2257.0,2257.0,,,,65743.152,738845.0,738845.0
2016-01-01,0.0,0.0,0.0,42.564,456.0,456.0,,,,110700.44,1185976.0,1185976.0
2016-02-01,0.0,0.0,0.0,186.119,2001.0,2001.0,,,,84641.881,909865.0,909865.0
2016-03-01,0.0,0.0,0.0,75.356,815.0,815.0,,,,64479.644,697456.0,697456.0
2016-04-01,0.0,0.0,0.0,314.056,3830.0,3830.0,,,,11545.944,140821.0,140821.0
2016-05-01,0.0,0.0,0.0,271.271,2924.0,2924.0,,,,82082.729,884791.0,884791.0
2016-06-01,0.0,0.0,0.0,73.771,781.0,781.0,,,,108561.23,1149171.0,1149171.0
2016-07-01,0.0,0.0,0.0,38.914,410.0,410.0,,,,126535.09,1334479.0,1334479.0
2016-08-01,0.0,0.0,0.0,46.413,490.0,490.0,,,,127016.59,1341522.0,1341522.0
2016-09-01,0.0,0.0,0.0,294.186,3158.0,3158.0,,,,70372.814,755383.0,755383.0
2016-10-01,0.0,0.0,0.0,58.835,627.0,627.0,,,,98426.165,1048913.0,1048913.0
2016-11-01,0.0,0.0,0.0,121.364,1283.0,1283.0,,,,84957.636,897780.0,897780.0
2016-12-01,0.0,0.0,0.0,87.894,952.0,952.0,,,,102985.11,1115343.0,1115343.0
2017-01-01,0.0,0.0,0.0,92.334,1020.0,1020.0,,,,88990.666,983358.0,983358.0
2017-02-01,0.0,0.0,0.0,81.308,889.0,889.0,,,,85026.692,929870.0,929870.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
