measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2011-01-01,1497.945,18290.0,71379.0,22280.226,272037.0,1061682.0
2011-02-01,244.574,2986.0,11747.0,20644.111,252061.0,991540.0
2011-03-01,2473.467,30201.0,121888.0,20865.971,254770.0,1028235.0
2011-04-01,329.662,4025.0,15118.0,23206.321,283345.0,1064186.0
2011-05-01,2095.417,25585.0,95328.0,22547.177,275297.0,1025751.0
2011-06-01,1637.023,19988.0,81186.0,22161.64,270590.0,1099071.0
2011-07-01,9646.809,117786.0,454972.0,15425.204,188339.0,727499.0
2011-08-01,2163.032,26410.0,102755.0,21381.335,261062.0,1015719.0
2011-09-01,2561.465,31275.0,145804.0,16573.223,202356.0,943381.0
2011-10-01,1459.078,17815.0,70948.0,21801.184,266188.0,1060083.0
2011-11-01,999.109,12199.0,47507.0,22221.098,271316.0,1056604.0
2011-12-01,2440.931,29803.0,122530.0,21436.91,261741.0,1076090.0
2012-01-01,596.269,7280.0,33683.0,20082.831,245208.0,1134484.0
2012-02-01,461.951,5640.0,27092.0,17494.4,213603.0,1025996.0
2012-03-01,339.322,4143.0,19469.0,19687.735,240384.0,1129589.0
2012-04-01,1662.453,20298.0,96542.0,17093.119,208704.0,992635.0
2012-05-01,7269.459,88759.0,394897.0,11773.011,143746.0,639542.0
2012-06-01,1509.886,18435.0,92308.0,16641.147,203185.0,1017372.0
2012-07-01,439.59,5367.0,23074.0,20177.1,246359.0,1059084.0
2012-08-01,1424.542,17393.0,79709.0,19710.057,240656.0,1102863.0
2012-09-01,4733.344,57793.0,233547.0,15635.57,190907.0,771473.0
2012-10-01,4816.347,58807.0,225217.0,16599.563,202678.0,776212.0
2012-11-01,1162.323,14192.0,69334.0,17837.299,217790.0,1064012.0
2012-12-01,1751.388,21384.0,89813.0,21718.46,265178.0,1113743.0
2013-01-01,254.195,3104.0,12624.0,22693.086,277078.0,1126969.0
2013-02-01,1799.366,21970.0,91161.0,18534.15,226299.0,938995.0
2013-03-01,519.701,6345.0,25951.0,21887.315,267240.0,1092914.0
2013-04-01,2927.16,35740.0,147155.0,19045.781,232545.0,957472.0
2013-05-01,2604.364,31799.0,124626.0,22423.868,273791.0,1073048.0
2013-06-01,916.964,11196.0,39847.0,21583.202,263527.0,937907.0
2013-07-01,5725.344,69905.0,282865.0,17543.301,214200.0,866740.0
2013-08-01,3166.915,38667.0,148708.0,20541.394,250807.0,964557.0
2013-09-01,3370.089,41148.0,164096.0,17622.924,215173.0,858094.0
2013-10-01,2306.212,28158.0,111660.0,22804.921,278444.0,1104149.0
2013-11-01,2830.975,34566.0,129561.0,21729.648,265315.0,994468.0
2013-12-01,2423.443,29590.0,119263.0,23831.563,290979.0,1172806.0
2014-01-01,2032.885,23121.0,91077.0,24206.115,275304.0,1084478.0
2014-02-01,2535.076,28832.0,117553.0,21237.924,241546.0,984812.0
2014-03-01,1196.196,13605.0,49279.0,25624.804,291439.0,1055642.0
2014-04-01,2543.095,28923.0,115309.0,23137.905,263155.0,1049121.0
2014-05-01,2284.071,25978.0,102590.0,23512.929,267420.0,1056094.0
2014-06-01,1479.005,16821.0,69941.0,23144.995,263236.0,1094516.0
2014-07-01,615.225,6997.0,27090.0,25527.775,290336.0,1124045.0
2014-08-01,1333.741,15169.0,62417.0,24349.259,276932.0,1139506.0
2014-09-01,5178.467,58896.0,248071.0,15919.533,181058.0,762615.0
2014-10-01,1340.424,15245.0,68778.0,23637.576,268838.0,1212853.0
2014-11-01,1103.371,12549.0,55765.0,22985.629,261423.0,1161715.0
2014-12-01,2129.941,24225.0,113857.0,20678.059,235178.0,1105354.0
2015-01-01,2221.816,25269.0,119281.0,20360.184,231563.0,1093058.0
2015-02-01,1115.695,12689.0,54306.0,20823.305,236830.0,1013570.0
2015-03-01,1298.915,14773.0,58383.0,22828.085,259631.0,1026067.0
2015-04-01,1556.723,17705.0,71715.0,21852.277,248533.0,1006692.0
2015-05-01,2471.941,28114.0,115917.0,22393.059,254684.0,1050079.0
2015-06-01,3427.398,38981.0,154102.0,21232.602,241485.0,954657.0
2015-07-01,803.578,9139.0,36518.0,23342.422,265481.0,1060788.0
2015-08-01,8321.64,94645.0,381956.0,17501.36,199049.0,803297.0
2015-09-01,7338.532,83464.0,458030.0,15341.468,174484.0,957529.0
2015-10-01,2511.557,28565.0,144825.0,17938.443,204020.0,1034392.0
2015-11-01,2809.579,31954.0,167609.0,17585.421,200005.0,1049080.0
2015-12-01,5151.507,58590.0,299811.0,14893.493,169389.0,866781.0
2016-01-01,2496.754,10783.0,152520.0,16919.246,73074.0,1033551.0
2016-02-01,4501.836,19443.0,283552.0,13349.164,57655.0,840808.0
2016-03-01,4082.395,17632.0,262731.0,14738.605,63656.0,948532.0
2016-04-01,4986.946,21539.0,314642.0,12985.054,56082.0,819267.0
2016-05-01,8728.803,37700.0,422188.0,16320.197,70487.0,789362.0
2016-06-01,4851.667,20954.0,282078.0,18741.333,80944.0,1089629.0
2016-07-01,3623.316,15649.0,163058.0,22798.684,98467.0,1025999.0
2016-08-01,3546.428,15317.0,160099.0,22055.572,95258.0,995669.0
2016-09-01,4039.775,17448.0,169868.0,18978.225,81967.0,798013.0
2016-10-01,5318.956,22973.0,256008.0,21547.044,93061.0,1037086.0
2016-11-01,6080.419,26261.0,291827.0,20193.581,87216.0,969180.0
2016-12-01,4632.717,20009.0,235561.0,21630.283,93421.0,1099839.0
2017-01-01,3112.215,13442.0,173618.0,17108.785,73893.0,954430.0
2017-02-01,1906.225,8233.0,138907.0,12833.775,55429.0,935201.0
2017-03-01,5695.794,24600.0,366029.0,13398.206,57867.0,861009.0
2017-04-01,6528.178,28195.0,392816.0,12304.822,53144.0,740410.0
2017-05-01,8561.063,36975.0,418153.0,16644.937,71889.0,812998.0
2017-06-01,4515.637,19503.0,191848.0,20602.363,88981.0,875295.0
2017-07-01,3017.632,13033.0,143623.0,21435.368,92579.0,1020210.0
2017-08-01,6818.93,29451.0,314192.0,17161.07,74118.0,790722.0
2017-09-01,4420.579,19092.0,194203.0,20408.421,88144.0,896573.0
2017-10-01,4225.687,18251.0,215198.0,21790.313,94112.0,1109699.0
