measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,,,,3913.0,40073.03,40073.03
2003-02-01,,,,2685.0,27497.09,27497.09
2003-03-01,,,,5398.0,55280.92,55280.92
2003-04-01,,,,10674.0,109312.43,109312.43
2003-05-01,,,,10019.0,102604.58,102604.58
2003-06-01,,,,6396.0,65501.44,65501.44
2003-07-01,,,,2064.0,21137.42,21137.42
2003-08-01,,,,6619.0,67785.18,67785.18
2003-09-01,,,,4477.0,45848.96,45848.96
2003-10-01,,,,8919.0,91339.48,91339.48
2003-11-01,,,,10930.0,111934.13,111934.13
2003-12-01,,,,10537.0,107909.42,107909.42
2004-01-01,,,,9119.397,91394.6,91394.6
2004-02-01,,,,8561.339,85801.74,85801.74
2004-03-01,,,,7643.65,76604.66,76604.66
2004-04-01,,,,6895.314,69104.84,69104.84
2004-05-01,,,,5922.237,59352.66,59352.66
2004-06-01,,,,4711.5960000000005,47219.62,47219.62
2004-07-01,,,,4951.253000000001,49621.46,49621.46
2004-08-01,,,,5995.294,60084.84,60084.84
2004-09-01,,,,6753.377,67682.34,67682.34
2004-10-01,,,,5546.363,55585.65,55585.65
2004-11-01,,,,4866.401,48771.07,48771.07
2004-12-01,,,,6175.778,61893.65,61893.65
2005-01-01,,,,9016.877,90159.75,90159.75
2005-02-01,,,,7327.309,73265.76,73265.76
2005-03-01,,,,8005.8330000000005,80050.32,80050.32
2005-04-01,,,,10036.148,100351.44,100351.44
2005-05-01,,,,7435.938,74351.95,74351.95
2005-06-01,,,,6662.166,66615.0,66615.0
2005-07-01,,,,5656.56,56559.94,56559.94
2005-08-01,,,,4460.1230000000005,44596.77,44596.77
2005-09-01,,,,3852.819,38524.34,38524.34
2005-10-01,,,,7836.733,78359.49,78359.49
2005-11-01,,,,8605.803,86049.43,86049.43
2005-12-01,,,,9101.691,91007.8,91007.8
2006-01-01,,,,4388.52,43530.0,43530.0
2006-02-01,,,,3957.148,39251.0,39251.0
2006-03-01,,,,3486.3030000000003,34581.0,34581.0
2006-04-01,,,,3794.7270000000003,37640.0,37640.0
2006-05-01,,,,4486.63,44503.0,44503.0
2006-06-01,,,,4408.406,43727.0,43727.0
2006-07-01,,,,4622.817,45854.0,45854.0
2006-08-01,,,,4589.411,45522.0,45522.0
2006-09-01,,,,2979.0710000000004,29549.0,29549.0
2006-10-01,,,,2626.262,26050.0,26050.0
2006-11-01,,,,3076.22,30513.0,30513.0
2006-12-01,,,,3257.4840000000004,32311.0,32311.0
2007-01-01,,,,4117.73,40700.0,40700.0
2007-02-01,,,,3667.8920000000003,36253.0,36253.0
2007-03-01,,,,3436.148,33963.0,33963.0
2007-04-01,,,,3860.367,38156.0,38156.0
2007-05-01,,,,4540.676,44880.0,44880.0
2007-06-01,,,,3490.077,34496.0,34496.0
2007-07-01,,,,2675.476,26444.0,26444.0
2007-08-01,,,,2665.021,26341.0,26341.0
2007-09-01,,,,2791.984,27596.0,27596.0
2007-10-01,,,,2683.07,26519.0,26519.0
2007-11-01,,,,3637.708,35955.0,35955.0
2007-12-01,,,,3945.851,39001.0,39001.0
2008-01-01,,,,5311.974,52344.0,52344.0
2008-02-01,,,,5428.514,53493.0,53493.0
2008-03-01,,,,5894.187,58081.0,58081.0
2008-04-01,,,,5308.703,52312.0,52312.0
2008-05-01,,,,5188.983,51132.0,51132.0
2008-06-01,,,,4876.293000000001,48051.0,48051.0
2008-07-01,,,,4643.242,45755.0,45755.0
2008-08-01,,,,5450.343,53708.0,53708.0
2008-09-01,,,,4370.02,43062.0,43062.0
2008-10-01,,,,3828.04,37722.0,37722.0
2008-11-01,,,,4836.335,47657.0,47657.0
2008-12-01,,,,5556.366,54752.0,54752.0
2009-01-01,,,,5427.381,52971.0,52971.0
2009-02-01,,,,4881.3150000000005,47642.0,47642.0
2009-03-01,,,,5215.329000000001,50902.0,50902.0
2009-04-01,,,,5163.784000000001,50399.0,50399.0
2009-05-01,,,,4986.84,48672.0,48672.0
2009-06-01,,,,4137.401,40381.0,40381.0
2009-07-01,,,,5059.433,49380.0,49380.0
2009-08-01,,,,5249.234,51233.0,51233.0
2009-09-01,,,,3501.3030000000003,34173.0,34173.0
2009-10-01,,,,3245.4950000000003,31676.0,31676.0
2009-11-01,,,,3680.166,35918.0,35918.0
2009-12-01,,,,5009.319,48891.0,48891.0
2010-01-01,,,,4541.564,44307.0,44307.0
2010-02-01,,,,4064.313,39651.0,39651.0
2010-03-01,,,,4649.261,45358.0,45358.0
2010-04-01,,,,5104.769,49802.0,49802.0
2010-05-01,,,,4012.246,39143.0,39143.0
2010-06-01,,,,3239.4950000000003,31605.0,31605.0
2010-07-01,,,,3108.248,30324.0,30324.0
2010-08-01,,,,2922.174,28509.0,28509.0
2010-09-01,,,,2913.8120000000004,28427.0,28427.0
2010-10-01,,,,3976.1710000000003,38792.0,38792.0
2010-11-01,,,,4012.29,39144.0,39144.0
2010-12-01,,,,3997.657,39001.0,39001.0
2011-01-01,,,,4949.835,48093.0,48093.0
2011-02-01,,,,4389.281,42646.0,42646.0
2011-03-01,,,,5069.245,49253.0,49253.0
2011-04-01,,,,4821.116,46842.0,46842.0
2011-05-01,,,,5122.736,49773.0,49773.0
2011-06-01,,,,4143.931,40262.0,40262.0
2011-07-01,,,,3366.846,32712.0,32712.0
2011-08-01,,,,3385.348,32892.0,32892.0
2011-09-01,,,,4772.48,46369.0,46369.0
2011-10-01,,,,4704.761,45711.0,45711.0
2011-11-01,,,,4130.375,40131.0,40131.0
2011-12-01,,,,4832.046,46948.0,46948.0
2012-01-01,,,,5004.338,47621.0,47621.0
2012-02-01,,,,4243.764,40384.0,40384.0
2012-03-01,,,,4461.867,42459.0,42459.0
2012-04-01,,,,3945.079,37541.0,37541.0
2012-05-01,,,,4626.509,44026.0,44026.0
2012-06-01,,,,4474.583,42580.0,42580.0
2012-07-01,,,,4011.819,38176.0,38176.0
2012-08-01,,,,3540.724,33694.0,33694.0
2012-09-01,,,,3625.817,34503.0,34503.0
2012-10-01,,,,4478.466,42617.0,42617.0
2012-11-01,,,,4473.173,42567.0,42567.0
2012-12-01,,,,4758.861,45285.0,45285.0
2013-01-01,,,,4119.377,39303.0,39303.0
2013-02-01,,,,3889.45,37109.0,37109.0
2013-03-01,,,,4112.766,39240.0,39240.0
2013-04-01,,,,3883.881,37056.0,37056.0
2013-05-01,,,,4055.798,38696.0,38696.0
2013-06-01,,,,4888.338,46640.0,46640.0
2013-07-01,,,,3993.687,38104.0,38104.0
2013-08-01,,,,2950.754,28153.0,28153.0
2013-09-01,,,,3298.079,31467.0,31467.0
2013-10-01,,,,3134.209,29903.0,29903.0
2013-11-01,,,,2892.267,27595.0,27595.0
2013-12-01,,,,3051.394,29113.0,29113.0
2014-01-01,,,,4331.193,41190.0,41190.0
2014-02-01,,,,3757.15,35730.0,35730.0
2014-03-01,,,,3285.347,31244.0,31244.0
2014-04-01,,,,4234.231,40268.0,40268.0
2014-05-01,,,,5172.3,49189.0,49189.0
2014-06-01,,,,4330.242,41181.0,41181.0
2014-07-01,,,,4159.88,39560.0,39560.0
2014-08-01,,,,4160.861,39570.0,39570.0
2014-09-01,,,,3174.945,30194.0,30194.0
