measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2003-01-01,65.0,665.67,665.67
2003-02-01,1283.0,13139.2,13139.2
2003-03-01,449.0,4598.21,4598.21
2003-04-01,1447.0,14818.73,14818.73
2003-05-01,25.0,256.03,256.03
2003-06-01,253.0,2590.97,2590.97
2003-07-01,906.0,9278.35,9278.35
2003-08-01,353.0,3615.07,3615.07
2003-09-01,0.0,0.0,0.0
2003-10-01,328.0,3359.05,3359.05
2003-11-01,1453.0,14880.17,14880.17
2003-12-01,2923.0,29934.44,29934.44
2004-01-01,881.904,8838.44,8838.44
2004-02-01,1459.3590000000002,14625.7,14625.7
2004-03-01,2727.766,27337.67,27337.67
2004-04-01,4081.2960000000003,40902.75,40902.75
2004-05-01,1962.4270000000001,19667.44,19667.44
2004-06-01,1607.365,16109.01,16109.01
2004-07-01,786.811,7885.42,7885.42
2004-08-01,707.823,7093.8,7093.8
2004-09-01,0.0,0.0,0.0
2004-10-01,357.363,3581.49,3581.49
2004-11-01,1296.7820000000002,12996.35,12996.35
2004-12-01,2743.1040000000003,27491.39,27491.39
2005-01-01,848.1210000000001,8480.36,8480.36
2005-02-01,1026.298,10261.95,10261.95
2005-03-01,1118.2540000000001,11181.42,11181.42
2005-04-01,1858.82,18586.34,18586.34
2005-05-01,2654.376,26541.11,26541.11
2005-06-01,2862.1130000000003,28618.26,28618.26
2005-07-01,2991.318,29910.18,29910.18
2005-08-01,2520.759,25205.07,25205.07
2005-09-01,1529.315,15291.62,15291.62
2005-10-01,884.298,8842.1,8842.1
2005-11-01,761.187,7611.11,7611.11
2005-12-01,686.142,6860.73,6860.73
2006-01-01,2428.115,24084.0,24084.0
2006-02-01,2130.282,21130.0,21130.0
2006-03-01,2289.6020000000003,22711.0,22711.0
2006-04-01,2764.13,27417.0,27417.0
2006-05-01,2982.8650000000002,29587.0,29587.0
2006-06-01,3080.875,30559.0,30559.0
2006-07-01,2517.462,24971.0,24971.0
2006-08-01,2064.206,20475.0,20475.0
