measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed
2002-01-01,914.027,-7110.0,54221.0,9753.294,-75870.0,578607.0
2002-02-01,804.741,-6260.0,47738.0,8587.132,-66798.0,509425.0
2002-03-01,782.863,-6089.0,46440.0,8353.679,-64982.0,495576.0
2002-04-01,801.113,-6231.0,47523.0,8548.421,-66497.0,507128.0
2002-05-01,826.312,-6427.0,49018.0,8817.312,-68589.0,523080.0
2002-06-01,896.611,-6974.0,53188.0,9567.451000000001,-74424.0,567582.0
2002-07-01,1028.626,-8001.0,61019.0,10976.14,-85382.0,651151.0
2002-08-01,1039.371,-8085.0,61657.0,11090.796,-86274.0,657953.0
2002-09-01,873.389,-6794.0,51811.0,9319.66,-72497.0,552882.0
2002-10-01,893.783,-6952.0,53020.0,9537.278,-74190.0,565792.0
2002-11-01,878.975,-6837.0,52142.0,9379.262,-72960.0,556417.0
2002-12-01,973.1880000000001,-7570.0,57731.0,10384.575,-80781.0,616057.0
2003-01-01,1127.777,78424.0,78424.0,8993.382,625377.0,625377.0
2003-02-01,973.306,67682.0,67682.0,7761.566000000001,539720.0,539720.0
2003-03-01,919.259,63924.0,63924.0,7330.568,509749.0,509749.0
2003-04-01,898.654,62491.0,62491.0,7166.255,498323.0,498323.0
2003-05-01,944.7710000000001,65698.0,65698.0,7534.0160000000005,523896.0,523896.0
2003-06-01,993.293,69072.0,69072.0,7920.946000000001,550802.0,550802.0
2003-07-01,1106.825,76967.0,76967.0,8826.3,613758.0,613758.0
2003-08-01,1152.337,80132.0,80132.0,9189.234,638996.0,638996.0
2003-09-01,942.567,65545.0,65545.0,7516.439,522674.0,522674.0
2003-10-01,947.464,65885.0,65885.0,7555.488,525389.0,525389.0
2003-11-01,947.124,65861.0,65861.0,7552.774,525201.0,525201.0
2003-12-01,1093.624,76049.0,76049.0,8721.032000000001,606438.0,606438.0
2004-01-01,2271.3360000000002,103440.0,103440.0,8316.645,521554.0,521554.0
2004-02-01,1624.4640000000002,73981.0,73981.0,10471.353,656680.0,656680.0
2004-03-01,3012.7560000000003,137206.0,137206.0,6899.853,432704.0,432704.0
2004-04-01,890.4430000000001,40552.0,40552.0,10900.171,683572.0,683572.0
2004-05-01,3689.411,168022.0,168022.0,9809.424,615169.0,615169.0
2004-06-01,2192.262,99839.0,99839.0,5736.194,359728.0,359728.0
2004-07-01,3633.625,165481.0,165481.0,4022.7470000000003,252275.0,252275.0
2004-08-01,3130.201,142555.0,142555.0,8444.443000000001,529568.0,529568.0
2004-09-01,2333.3160000000003,106263.0,106263.0,7464.014,468083.0,468083.0
2004-10-01,1047.477,47704.0,47704.0,12166.173,762965.0,762965.0
2004-11-01,2447.8520000000003,111479.0,111479.0,9778.557,613233.0,613233.0
2004-12-01,1647.3390000000002,75023.0,75023.0,7339.907,460300.0,460300.0
2005-01-01,5423.62836,25093.49,383394.0,6861.42164,31745.73,485031.0
2005-02-01,1615.66579,7475.2,93430.0,9467.55421,43803.52,547485.5
2005-03-01,903.55614,4180.48,54043.0,11573.55386,53547.34,692231.0
2005-04-01,535.37963,2477.04,26501.0,13305.55037,61560.77,658617.5
2005-05-01,693.57049,3208.94,36612.0,10856.21951,50228.45,573075.0
2005-06-01,405.57988,1876.5,29157.0,7626.02012,35283.3,548232.0
2005-07-01,416.83286,1928.56,23019.0,10151.31714,46967.08,560592.0
2005-08-01,537.27938,2485.83,30429.0,9745.69062,45090.37,551950.5
2005-09-01,683.71771,3163.36,38337.62,9510.01229,43999.96,533248.25
2005-10-01,664.01716,3072.21,58687.13,6059.05284,28033.41,535510.93
2005-11-01,1629.15731,7537.62,93866.12,8809.01269,40756.65,507543.3
2005-12-01,1825.12781,8444.32,118825.76,8840.02219,40900.12,575533.61
