measured_on,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed
2003-01-01,4133.778,29735.0,44716.0
2003-02-01,5197.785,37389.0,56226.0
2003-03-01,5484.744000000001,39453.0,59330.0
2003-04-01,7857.062000000001,56517.0,84992.0
2003-05-01,8613.276,61957.0,93172.0
2003-06-01,7800.261,56109.0,84378.0
2003-07-01,9427.073,67811.0,101976.0
2003-08-01,8212.691,59076.0,88839.0
2003-09-01,5916.153,42556.0,63997.0
2003-10-01,4286.985000000001,30837.0,46374.0
2003-11-01,4623.772,33260.0,50017.0
2003-12-01,4602.42,33106.0,49786.0
2004-01-01,6714.987,43741.0,75872.39
2004-02-01,6714.987,43741.0,75872.39
2004-03-01,6714.987,43741.0,75872.39
2004-04-01,6714.987,43741.0,75872.39
2004-05-01,6714.987,43741.0,75872.39
2004-06-01,6714.987,43741.0,75872.39
2004-07-01,6714.987,43741.0,75872.39
2004-08-01,6714.987,43741.0,75872.39
2004-09-01,6714.987,43741.0,75872.39
2004-10-01,6714.987,43741.0,75872.39
2004-11-01,6714.987,43741.0,75872.39
2004-12-01,6714.987,43741.0,75872.39
2005-01-01,5512.698,35909.37,61360.64
2005-02-01,4887.15,31834.59,54397.79
2005-03-01,5831.957,37989.0,64914.23
2005-04-01,5979.187,38948.04,66553.01
2005-05-01,4850.552000000001,31596.19,53990.42
2005-06-01,8252.221,53754.45,91853.66
2005-07-01,10634.148,69270.16,118366.36
2005-08-01,11369.496,74060.18,126551.36
2005-09-01,7521.026000000001,48991.49,83714.88
2005-10-01,5201.1810000000005,33880.16,57893.2
2005-11-01,4668.647,30411.27,51965.68
2005-12-01,5044.167,32857.39,56145.52
2006-01-01,5468.15,35619.18,61154.29
2006-02-01,5452.212,35515.36,60976.04
2006-03-01,5948.069,38745.34,66521.57
2006-04-01,5000.921,32575.68,55928.93
2006-05-01,4851.241,31600.67,54254.95
2006-06-01,6205.6720000000005,40423.35,69402.54
2006-07-01,9293.385,60536.52,103934.67
2006-08-01,8749.472,56993.51,97851.71
2006-09-01,6206.001,40425.5,69406.22
2006-10-01,6921.219,45084.39,77405.02
2006-11-01,5953.173000000001,38778.59,66578.66
2006-12-01,5817.095,37892.19,65056.79
2007-01-01,3538.7690000000002,23828.0,41702.0
2007-02-01,4329.948,29156.0,51025.0
2007-03-01,1230.296,8284.0,14498.0
2007-04-01,1542.076,10384.0,18172.0
2007-05-01,921.226,6203.0,10856.0
2007-06-01,2503.728,16859.0,29505.0
2007-07-01,3698.1180000000004,24901.0,43579.0
2007-08-01,5470.019,36832.0,64460.0
2007-09-01,6273.822,42245.0,73932.0
2007-10-01,6499.774,43766.0,76595.0
2007-11-01,5751.488,38728.0,67777.0
2007-12-01,6143.734,41369.0,72399.0
2008-01-01,8446.193000000001,53410.0,88521.0
2008-02-01,7036.196,44493.0,73745.0
2008-03-01,6927.6050000000005,43807.0,72607.0
2008-04-01,7505.649,47462.0,78665.0
2008-05-01,1579.7240000000002,9989.0,16557.0
2008-06-01,174.137,1101.0,1825.0
2008-07-01,3350.761,21189.0,35119.0
2008-08-01,6766.003000000001,42785.0,70913.0
2008-09-01,6409.219,40529.0,67173.0
2008-10-01,5330.178,33705.0,55864.0
2008-11-01,4223.161,26705.0,44262.0
2008-12-01,6941.174,43893.0,72749.0
2009-01-01,5622.782,35533.0,66812.0
2009-02-01,6669.564,42148.0,79249.0
2009-03-01,3882.626,24536.0,46134.0
2009-04-01,2049.577,12952.0,24353.0
2009-05-01,2551.035,16121.0,30312.0
2009-06-01,653.601,4130.0,7766.0
2009-07-01,7583.691000000001,47925.0,90111.0
2009-08-01,11773.466,74402.0,139895.0
2009-09-01,9647.354000000001,60966.0,114632.0
2009-10-01,8472.256000000001,53540.0,100669.0
2009-11-01,5791.222000000001,36597.0,68812.0
2009-12-01,9699.826000000001,61298.0,115255.0
2010-01-01,5970.667,41062.0,72838.0
2010-02-01,8024.523,55187.0,97891.0
2010-03-01,8680.992,59701.0,105899.0
2010-04-01,7383.293000000001,50777.0,90069.0
2010-05-01,1224.568,8422.0,14938.0
2010-06-01,100.53200000000001,691.0,1226.0
2010-07-01,4558.518,31350.0,55609.0
2010-08-01,8635.819,59391.0,105348.0
2010-09-01,8562.226,58884.0,104450.0
2010-10-01,8621.059000000001,59289.0,105168.0
2010-11-01,5692.143,39146.0,69438.0
2010-12-01,5420.66,37279.0,66126.0
2011-01-01,5749.057,36629.0,64594.0
2011-02-01,4761.826,30339.0,53504.0
2011-03-01,940.166,5990.0,10564.0
2011-04-01,5177.447,32987.0,58174.0
2011-05-01,1305.617,8318.0,14670.0
2011-06-01,1531.291,9756.0,17206.0
2011-07-01,4335.685,27624.0,48716.0
2011-08-01,8912.27,56782.0,100138.0
2011-09-01,11768.744,74981.0,132233.0
2011-10-01,5350.271,34088.0,60115.0
2011-11-01,13686.078,87197.0,153776.0
2011-12-01,16778.548,106900.0,188523.0
2012-01-01,7656.601,48386.0,86198.0
2012-02-01,7801.776,49303.0,87832.0
2012-03-01,5108.862,32286.0,57515.0
2012-04-01,2923.159,18473.0,32909.0
2012-05-01,975.028,6162.0,10977.0
2012-06-01,1465.46,9261.0,16498.0
2012-07-01,9815.612,62030.0,110504.0
2012-08-01,13404.323,84709.0,150905.0
2012-09-01,9207.531,58187.0,103658.0
2012-10-01,8567.679,54144.0,96454.0
2012-11-01,5734.205,36237.0,64555.0
2012-12-01,3849.764,24329.0,43340.0
2013-01-01,7992.728,50509.0,91530.0
2013-02-01,4171.856,26364.0,47775.0
2013-03-01,5470.159,34568.0,62643.0
2013-04-01,2494.152,15762.0,28563.0
2013-05-01,3677.91,23242.0,42119.0
2013-06-01,5116.178,32331.0,58589.0
2013-07-01,9004.492,56903.0,103118.0
2013-08-01,10400.848,65727.0,119108.0
2013-09-01,8760.964,55364.0,100329.0
2013-10-01,5085.418,32137.0,58237.0
2013-11-01,7346.422,46425.0,84130.0
2013-12-01,10535.873,66580.0,120655.0
2014-01-01,6926.77,45121.0,82391.0
2014-02-01,6172.11,40205.0,72108.0
2014-03-01,6675.54,43484.0,78550.0
2014-04-01,5526.09,35997.0,66575.0
2014-05-01,6338.95,41292.0,78955.0
2014-06-01,5975.2,38922.0,74964.0
2014-07-01,5364.1,34941.0,67745.0
2014-08-01,6548.47,42656.0,73364.0
2014-09-01,6048.92,39402.0,70955.0
2014-10-01,6422.37,41835.0,76607.0
2014-11-01,5985.87,38992.0,69474.0
2014-12-01,6732.77,43857.0,79328.0
2015-01-01,7069.0,44843.0,80570.0
2015-02-01,6079.0,38568.0,70575.0
2015-03-01,6599.0,41860.0,76280.0
2015-04-01,5878.0,37305.0,67720.0
2015-05-01,6462.0,40995.0,74025.0
2015-06-01,5952.0,37753.0,68775.0
2015-07-01,6164.0,39105.0,70581.0
2015-08-01,6445.0,40881.0,71753.0
2015-09-01,6323.0,40116.0,72107.0
2015-10-01,6550.0,41557.0,75106.0
2015-11-01,6074.0,38562.0,69471.0
2015-12-01,7082.0,44925.0,81011.0
2016-01-01,7042.0,77827.0,80719.0
2016-02-01,6403.0,70760.0,71145.0
2016-03-01,6526.0,72114.0,75894.0
2016-04-01,5416.0,59875.0,62338.0
2016-05-01,6434.0,71102.0,72431.0
2016-06-01,5720.0,63210.0,66930.0
2016-07-01,5807.0,64168.0,67789.0
2016-08-01,6301.0,67966.0,67966.0
2016-09-01,5966.0,65918.0,68928.0
2016-10-01,6121.0,67646.0,71825.0
2016-11-01,4105.0,45358.0,47159.0
2016-12-01,0.0,0.0,0.0
