measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2021-09-01,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0
2022-01-01,18.826,286.0,286.0
2022-02-01,16.76,256.0,256.0
2022-03-01,13.346,203.0,203.0
2022-04-01,13.913,212.0,212.0
2022-05-01,20.553,313.0,313.0
2022-06-01,25.019,380.0,380.0
2022-07-01,29.482,449.0,449.0
2022-08-01,29.635,451.0,451.0
2022-09-01,24.981,380.0,380.0
2022-10-01,19.307,294.0,294.0
2022-11-01,18.096,276.0,276.0
2022-12-01,20.082,306.0,306.0
2023-01-01,12.175,186.0,186.0
2023-02-01,11.482,175.0,175.0
2023-03-01,11.332,173.0,173.0
2023-04-01,10.944,167.0,167.0
2023-05-01,15.625,238.0,238.0
2023-06-01,18.049,275.0,275.0
2023-07-01,19.795,301.0,301.0
2023-08-01,21.787,332.0,332.0
2023-09-01,18.355,280.0,280.0
2023-10-01,13.548,206.0,206.0
2023-11-01,12.561,191.0,191.0
2023-12-01,13.347,203.0,203.0
2024-01-01,21.342,313.0,313.0
2024-02-01,14.735,216.0,216.0
2024-03-01,16.721,245.0,245.0
2024-04-01,15.71,230.0,230.0
2024-05-01,20.99,308.0,308.0
2024-06-01,23.68,347.0,347.0
2024-07-01,25.597,376.0,376.0
2024-08-01,28.922,425.0,425.0
2024-09-01,23.998,352.0,352.0
2024-10-01,20.787,305.0,305.0
2024-11-01,16.653,245.0,245.0
2024-12-01,17.865,262.0,262.0
