measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,24.173000000000002,137.71,186.06,,,,334.512,2476.7,21861.54
2004-02-01,24.173000000000002,137.71,186.06,,,,369.824,2738.15,24169.35
2004-03-01,24.173000000000002,137.71,186.06,,,,385.71200000000005,2855.78,25207.63
2004-04-01,24.173000000000002,137.71,186.06,,,,267.579,1981.14,17487.24
2004-05-01,24.173000000000002,137.71,186.06,,,,339.689,2515.02,22199.87
2004-06-01,24.173000000000002,137.71,186.06,,,,299.66700000000003,2218.71,19584.35
2004-07-01,24.173000000000002,137.71,186.06,,,,311.011,2302.7,20325.67
2004-08-01,24.173000000000002,137.71,186.06,,,,380.278,2815.55,24852.54
2004-09-01,24.173000000000002,137.71,186.06,,,,387.308,2867.6,25311.95
2004-10-01,24.173000000000002,137.71,186.06,,,,371.723,2752.2,24293.37
2004-11-01,24.173000000000002,137.71,186.06,,,,377.471,2794.76,24669.01
2004-12-01,24.173000000000002,137.71,186.06,,,,496.576,3676.61,32452.96
2005-01-01,25.738,146.62,325.03,,,,569.042,4213.14,38500.44
2005-02-01,5.924,33.75,74.82,,,,528.104,3910.04,35730.64
2005-03-01,5.0840000000000005,28.96,64.21,,,,570.965,4227.38,38630.57
2005-04-01,5.087000000000001,28.98,64.26,,,,490.90200000000004,3634.6,33213.62
2005-05-01,5.1290000000000004,29.22,64.79,,,,544.789,4033.57,36859.57
