measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed"
2003-01-01,1.329,14.0,14.0,8.567,89.0,89.0,15627.475,163212.0,163212.0
2003-02-01,1.227,13.0,13.0,7.904000000000001,82.0,82.0,14418.609,150587.0,150587.0
2003-03-01,1.352,14.0,14.0,8.714,91.0,91.0,15894.776,166004.0,166004.0
2003-04-01,1.2790000000000001,14.0,14.0,8.24,86.0,86.0,15031.46,156988.0,156988.0
2003-05-01,1.464,16.0,16.0,9.435,98.0,98.0,17210.764,179748.0,179748.0
2003-06-01,1.525,16.0,16.0,9.831000000000001,102.0,102.0,17931.895,187280.0,187280.0
2003-07-01,1.959,21.0,21.0,12.622,131.0,131.0,23022.925,240450.0,240450.0
2003-08-01,1.84,20.0,20.0,11.857000000000001,123.0,123.0,21629.231,225894.0,225894.0
2003-09-01,1.681,18.0,18.0,10.835,113.0,113.0,19765.019,206425.0,206425.0
2003-10-01,1.582,17.0,17.0,10.197000000000001,106.0,106.0,18600.625,194264.0,194264.0
2003-11-01,1.339,14.0,14.0,8.632,90.0,90.0,15745.427,164444.0,164444.0
