measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,12013.0,179632.0,708803.0,,,,0.0,0.0,0.0,3958.0,59180.0,233516.0,,,,,,,2419.0,36169.0,142721.0,,,,4221.0,63120.0,249062.0
2003-02-01,10977.0,141896.0,523127.0,,,,0.0,0.0,0.0,3671.0,47455.0,174955.0,,,,0.0,0.0,0.0,2818.0,36431.0,134311.0,,,,3286.0,42483.0,156622.0
2003-03-01,18907.0,238507.0,924336.0,,,,0.0,0.0,0.0,4244.0,53535.0,207475.0,,,,0.0,0.0,0.0,3867.0,48775.0,189028.0,,,,5296.0,66807.0,258908.0
2003-04-01,16937.0,156004.0,780013.0,,,,0.0,0.0,0.0,6629.0,61055.0,305272.0,,,,0.0,0.0,0.0,165.0,1524.0,7621.0,,,,5593.0,51514.0,257565.0
2003-05-01,15301.0,155520.0,772990.0,,,,0.0,0.0,0.0,2908.0,29558.0,146917.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,5911.0,60083.0,298630.0
2003-06-01,12179.0,305322.0,751744.0,,,,0.0,0.0,0.0,2849.0,71418.0,175840.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,8632.0,216398.0,532803.0
2003-07-01,15108.0,206662.0,775891.0,,,,0.0,0.0,0.0,3781.0,51721.0,194180.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4421.0,60472.0,227034.0
2003-08-01,17038.0,208503.0,867933.0,,,,0.0,0.0,0.0,4442.0,54356.0,226265.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4710.0,57636.0,239921.0
2003-09-01,16385.0,134672.0,790552.0,,,,0.0,0.0,0.0,3015.0,24781.0,145470.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,5329.0,43798.0,257103.0
2003-10-01,14973.0,175261.0,784280.0,,,,0.0,0.0,0.0,3252.0,38061.0,170319.0,,,,0.0,0.0,0.0,291.0,3406.0,15240.0,,,,5941.0,69537.0,311176.0
2003-11-01,14813.0,175153.0,755664.0,,,,0.0,0.0,0.0,1244.0,14713.0,63478.0,,,,0.0,0.0,0.0,4397.0,51987.0,224291.0,,,,5995.0,70881.0,305805.0
2003-12-01,9356.0,110183.0,477737.0,,,,0.0,0.0,0.0,248.0,2924.0,12674.0,,,,0.0,0.0,0.0,5932.0,69861.0,302907.0,,,,4761.0,56065.0,243090.0
2004-01-01,13313.28872,72488.66,710192.0,,,,0.0,0.0,0.0,219.27245,1193.9,11697.0,,,,0.0,0.0,0.0,5945.625,32372.95,317166.96,,,,5703.74183,31055.93,304263.8
