measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2010-05-01,6849.908,91406.0,124314.0,952.16,12706.0,17280.0,3629.9320000000002,48438.0,65877.0
2010-06-01,7133.301,95992.0,132725.0,143.06900000000002,1925.0,2662.0,3995.63,53769.0,74344.0
2010-07-01,6413.803,86569.0,117494.0,202.523,2734.0,3710.0,4125.674,55685.0,75578.0
2010-08-01,6328.501,85965.0,121760.0,392.20300000000003,5328.0,7546.0,4362.296,59256.0,83931.0
2010-09-01,7059.71,94671.0,129945.0,28.631,384.0,527.0,4660.659000000001,62500.0,85787.0
2010-10-01,7225.457,96657.0,134869.0,0.0,0.0,0.0,5249.543000000001,70224.0,97987.0
2010-11-01,5213.12,70246.0,99243.0,150.233,2024.0,2860.0,2824.647,38062.0,53773.0
2010-12-01,6565.22,89286.0,132926.0,145.00900000000001,1972.0,2936.0,4404.771000000001,59904.0,89183.0
2011-01-01,6858.322,93516.0,136419.0,52.888,721.0,1052.0,4059.79,55357.0,80754.0
2011-02-01,6749.645,91848.0,115916.0,245.958,3347.0,4224.0,3637.397,49497.0,62467.0
2011-03-01,7477.432,100622.0,159030.0,530.282,7136.0,11278.0,3778.286,50843.0,80356.0
2011-04-01,7523.75,100441.0,134614.0,18.332,245.0,328.0,3839.918,51262.0,68704.0
2011-05-01,6789.11,91731.0,128093.0,678.737,9171.0,12806.0,3112.153,42050.0,58718.0
2011-06-01,4256.607,57819.0,77565.0,492.035,6683.0,8966.0,2595.358,35253.0,47293.0
2011-07-01,5889.185,79716.0,106235.0,1691.451,22895.0,30512.0,3100.364,41966.0,55927.0
2011-08-01,6331.369,84587.0,109663.0,2007.158,26815.0,34765.0,4073.473,54421.0,70555.0
2011-09-01,6224.556,84082.0,114749.0,925.856,12506.0,17068.0,4469.588,60375.0,82396.0
2011-10-01,5700.573,77596.0,106537.0,68.704,935.0,1284.0,3563.723,48509.0,66602.0
2011-11-01,5925.991,79322.0,108917.0,1133.222,15169.0,20828.0,4448.787,59549.0,81766.0
2011-12-01,4653.56,62525.0,86374.0,2056.383,27630.0,38168.0,5360.057,72018.0,99487.0
2012-01-01,5404.819,72362.0,102700.0,1970.416,26381.0,37441.0,4764.765,63793.0,90538.0
2012-02-01,5998.404,81069.0,118251.0,582.488,7872.0,11483.0,4783.108,64644.0,94293.0
2012-03-01,5200.711,70631.0,103394.0,1302.618,17691.0,25897.0,2965.671,40277.0,58960.0
2012-04-01,7455.047,99171.0,137752.0,253.819,3376.0,4690.0,4500.134,59863.0,83152.0
2012-05-01,7196.084,96527.0,134809.0,366.24,4913.0,6861.0,4242.676,56911.0,79481.0
2012-06-01,5107.525,70000.0,98864.0,73.257,1004.0,1418.0,1486.218,20369.0,28768.0
2012-07-01,6810.611,90611.0,120235.0,1511.494,20109.0,26684.0,4134.895,55012.0,72998.0
2012-08-01,6834.695,91454.0,123603.0,1335.39,17869.0,24150.0,4463.915,59731.0,80728.0
2012-09-01,6181.729,83211.0,117556.0,939.912,12652.0,17874.0,3922.359,52798.0,74590.0
2012-10-01,6150.62,82672.0,114134.0,490.608,6594.0,9104.0,1872.772,25172.0,34752.0
2012-11-01,6858.258,90616.0,122509.0,731.905,9670.0,13074.0,4584.837,60578.0,81899.0
2012-12-01,5564.536,73532.0,107620.0,2871.572,37946.0,55537.0,3974.892,52526.0,76876.0
2013-01-01,4202.62,59140.0,102485.0,1125.232,15834.0,27440.0,1891.148,26612.0,46118.0
2013-02-01,6494.907,87174.0,130875.0,538.995,7234.0,10861.0,3803.098,51045.0,76634.0
2013-03-01,5345.986,72208.0,103358.0,861.288,11633.0,16652.0,4000.726,54038.0,77349.0
2013-04-01,5681.617,75908.0,104603.0,246.323,3291.0,4535.0,3986.06,53255.0,73386.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,6330.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,73.943,876.0,10321.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,9685.0,0.0,0.0,0.0
2014-02-01,1343.561,19976.0,45667.0,393.567,5852.0,13377.0,1321.872,19654.0,44929.0
2014-03-01,2967.711,40603.0,64196.0,533.295,7296.0,11536.0,6692.994,91572.0,144780.0
2014-04-01,2849.367,38885.0,54538.0,1325.303,18086.0,25367.0,7810.33,106588.0,149494.0
2014-05-01,3598.724,48912.0,57162.0,2281.111,31004.0,36233.0,6605.165,89774.0,104916.0
2014-06-01,4094.676,56271.0,80526.0,1596.458,21939.0,31396.0,4615.866,63433.0,90776.0
2014-07-01,3769.727,51688.0,73474.0,645.24,8847.0,12576.0,6632.033,90935.0,129261.0
2014-08-01,3669.705,50077.0,67980.0,973.679,13287.0,18037.0,8057.616,109954.0,149264.0
2014-09-01,4267.943,57403.0,78383.0,1443.794,19419.0,26516.0,6535.263,87898.0,120023.0
2014-10-01,3683.202,49122.0,66947.0,1054.287,14061.0,19163.0,4872.511,64983.0,88564.0
2014-11-01,4683.695,62691.0,90710.0,1244.529,16658.0,24103.0,6289.776,84188.0,121815.0
2014-12-01,6773.402,90529.0,133523.0,1151.889,15395.0,22707.0,4178.709,55850.0,82374.0
2015-01-01,5752.092,79201.0,119826.0,723.128,9957.0,15064.0,3674.78,50598.0,76552.0
2015-02-01,5251.066,71430.0,108305.0,657.975,8950.0,13571.0,5180.959,70476.0,106859.0
2015-03-01,6817.255,92988.0,123444.0,483.941,6601.0,8763.0,4424.804,60355.0,80123.0
2015-04-01,6718.522,92046.0,127197.0,532.635,7297.0,10084.0,4757.843,65184.0,90077.0
2015-05-01,2152.19,31332.0,47867.0,154.849,2254.0,3444.0,1324.961,19289.0,29468.0
2015-06-01,8508.893,116694.0,157316.0,1233.638,16919.0,22808.0,2320.469,31824.0,42902.0
2015-07-01,7272.436,99634.0,138485.0,1028.961,14097.0,19594.0,4866.603,66673.0,92672.0
2015-08-01,5751.448,78884.0,107171.0,890.536,12214.0,16594.0,6367.016,87327.0,118641.0
2015-09-01,5406.053,74786.0,102661.0,915.007,12658.0,17376.0,5114.94,70759.0,97133.0
2015-10-01,7235.54,99780.0,137730.0,426.789,5886.0,8124.0,3174.671,43780.0,60430.0
2015-11-01,8267.161,112134.0,158172.0,525.648,7130.0,10057.0,4089.191,55465.0,78237.0
2015-12-01,5814.613,79306.0,106170.0,987.718,13472.0,18035.0,6253.669,85295.0,114187.0
2016-01-01,6135.827,48604.0,120221.0,1394.708,11048.0,27327.0,5136.465,40687.0,100641.0
2016-02-01,4857.627,38477.0,98321.0,1057.232,8374.0,21399.0,4930.141,39052.0,99789.0
