measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2019-04-01,22143.412,246420.0,246420.0
2019-05-01,28839.789,320940.0,320940.0
2019-06-01,30631.049,340874.0,340874.0
2019-07-01,33907.431,377334.0,377334.0
2019-08-01,34328.446,382020.0,382020.0
2019-09-01,32652.858,363373.0,363373.0
2019-10-01,27675.864,307987.0,307987.0
2019-11-01,24118.965,268405.0,268405.0
2019-12-01,23224.186,258447.0,258447.0
2020-01-01,22762.547,239527.0,239527.0
2020-02-01,28271.656,297499.0,297499.0
2020-03-01,28684.989,301848.0,301848.0
2020-04-01,19626.553,206528.0,206528.0
2020-05-01,26603.292,279943.0,279943.0
2020-06-01,34431.044,362313.0,362313.0
2020-07-01,40796.048,429292.0,429292.0
2020-08-01,36907.051,388368.0,388368.0
2020-09-01,32092.691,337707.0,337707.0
2020-10-01,26983.963,283948.0,283948.0
2020-11-01,21619.368,227498.0,227498.0
2020-12-01,29633.798,311833.0,311833.0
2021-01-01,30884.04,317956.0,317956.0
2021-02-01,24794.322,255262.0,255262.0
2021-03-01,23650.447,243485.0,243485.0
2021-04-01,22122.436,227754.0,227754.0
2021-05-01,25511.077,262640.0,262640.0
2021-06-01,31482.786,324120.0,324120.0
2021-07-01,33143.704,341220.0,341220.0
2021-08-01,34777.894,358044.0,358044.0
2021-09-01,28895.365,297483.0,297483.0
2021-10-01,27256.891,280614.0,280614.0
2021-11-01,30536.315,314376.0,314376.0
2021-12-01,30688.723,315945.0,315945.0
2022-01-01,30191.511,320636.0,320636.0
2022-02-01,21708.296,230543.0,230543.0
2022-03-01,24759.642,262948.0,262948.0
2022-04-01,23539.092,249987.0,249987.0
2022-05-01,29885.524,317386.0,317386.0
2022-06-01,35281.49,374692.0,374692.0
2022-07-01,35820.963,380421.0,380421.0
2022-08-01,34203.842,363246.0,363246.0
2022-09-01,30316.883,321967.0,321967.0
2022-10-01,26202.614,278274.0,278274.0
2022-11-01,24820.746,263598.0,263598.0
2022-12-01,27857.397,295847.0,295847.0
2023-01-01,24183.743,241115.0,241115.0
2023-02-01,26353.147,262743.0,262743.0
2023-03-01,29647.63,295588.0,295588.0
2023-04-01,24485.663,244124.0,244124.0
2023-05-01,30607.921,305163.0,305163.0
2023-06-01,34589.405,344859.0,344859.0
2023-07-01,38223.433,381090.0,381090.0
2023-08-01,38301.409,381867.0,381867.0
2023-09-01,29786.725,296975.0,296975.0
2023-10-01,24015.273,239433.0,239433.0
2023-11-01,31027.199,309343.0,309343.0
2023-12-01,34292.972,341903.0,341903.0
2024-01-01,34354.602,351209.0,351209.0
2024-02-01,24067.335,246041.0,246041.0
2024-03-01,21982.178,224724.0,224724.0
2024-04-01,26739.804,273362.0,273362.0
2024-05-01,28962.855,296088.0,296088.0
2024-06-01,33443.347,341892.0,341892.0
2024-07-01,40888.03,417999.0,417999.0
2024-08-01,39055.647,399267.0,399267.0
2024-09-01,35174.446,359589.0,359589.0
2024-10-01,24052.159,245885.0,245885.0
2024-11-01,29034.169,296817.0,296817.0
2024-12-01,30080.588,307515.0,307515.0
