measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,65512.0,759989.0,759989.0,305.0,3540.0,3540.0,,,
2003-02-01,36362.0,433689.0,433689.0,286.0,3410.0,3410.0,,,
2003-03-01,12159.0,175739.0,175739.0,162.0,2344.0,2344.0,,,
2003-04-01,29323.0,350174.0,350174.0,569.0,6796.0,6796.0,,,
2003-05-01,31251.0,342265.0,342265.0,144.0,1575.0,1575.0,,,
2003-06-01,36511.0,410848.0,410848.0,387.0,4359.0,4359.0,,,
2003-07-01,55004.0,624445.0,624445.0,297.0,3369.0,3369.0,,,
2003-08-01,53067.0,617660.0,617660.0,518.0,6030.0,6030.0,,,
2003-09-01,37260.0,420637.0,420637.0,235.0,2653.0,2653.0,,,
2003-10-01,22887.0,274145.0,274145.0,348.0,4165.0,4165.0,,,
2003-11-01,38967.0,431808.0,431808.0,625.0,6927.0,6927.0,,,
2003-12-01,32609.0,380998.0,380998.0,939.0,10968.0,10968.0,,,
2004-01-01,34176.267,389188.0,389188.0,845.6320000000001,9629.0,9629.0,,,
2004-02-01,32459.966,369643.0,369643.0,274.994,3131.0,3131.0,,,
2004-03-01,30000.248,341633.0,341633.0,420.65200000000004,4790.0,4790.0,,,
2004-04-01,28580.909,325470.0,325470.0,308.058,3508.0,3508.0,,,
2004-05-01,27017.196,307663.0,307663.0,515.974,5875.0,5875.0,,,
2004-06-01,28697.527000000002,326798.0,326798.0,407.629,4642.0,4642.0,,,
2004-07-01,30988.117,352882.0,352882.0,414.184,4716.0,4716.0,,,
2004-08-01,32041.35,364876.0,364876.0,328.869,3745.0,3745.0,,,
2004-09-01,30143.615,343266.0,343266.0,124.096,1413.0,1413.0,,,
2004-10-01,21896.417,249349.0,249349.0,245.575,2796.0,2796.0,,,
2004-11-01,19899.715,226611.0,226611.0,288.492,3285.0,3285.0,,,
2004-12-01,30325.673,345339.0,345339.0,293.845,3346.0,3346.0,,,
2005-01-01,34095.922,402559.99,402559.99,742.408,8765.31,8765.31,,,
