measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,643.0,18758.0,18773.0,1602.0,46763.0,46800.0,9797.0,285996.0,286227.0
2003-03-01,,,,555.0,16592.0,16606.0,1549.0,46295.0,46332.0,8881.0,265394.0,265608.0
2003-04-01,,,,356.0,9967.0,9974.0,1295.0,36207.0,36234.0,9113.0,254793.0,254988.0
2003-05-01,,,,0.0,0.0,0.0,2029.0,51426.0,51462.0,9864.0,250023.0,250200.0
2003-06-01,,,,405.0,9983.0,9990.0,2310.0,56893.0,56934.0,8458.0,208317.0,208467.0
2003-07-01,,,,896.0,23003.0,23020.0,1846.0,47412.0,47448.0,6928.0,177931.0,178065.0
2003-08-01,,,,13.0,313.0,313.0,1680.0,40560.0,40590.0,9850.0,237842.0,238014.0
2003-09-01,,,,359.0,9121.0,9128.0,1821.0,46333.0,46368.0,8679.0,220811.0,220977.0
2003-10-01,,,,608.0,16698.0,16712.0,3406.0,93561.0,93636.0,6681.0,183535.0,183681.0
2003-11-01,,,,1799.0,16155.0,52582.0,1233.0,11077.0,36054.0,7032.0,63151.0,205560.0
2003-12-01,,,,1775.0,15983.0,54897.0,1010.0,9098.0,31248.0,7939.0,71506.0,245592.0
2004-01-01,375.21,3760.35,3760.35,861.77,48848.0,48848.0,1165.459,45234.0,45234.0,7834.091,253980.0,253980.0
2004-02-01,273.24,2738.41,2738.41,768.7090000000001,52113.0,52113.0,790.437,35460.0,35460.0,6918.383000000001,169686.0,169686.0
2004-03-01,393.03,3938.95,3938.95,972.993,22631.0,22631.0,1839.554,56250.0,56250.0,7468.425,190998.0,190998.0
2004-04-01,727.65,7292.51,7292.51,206.132,7866.0,7866.0,2296.484,51372.0,51372.0,8785.711000000001,164277.0,164277.0
2004-05-01,414.81,4157.23,4157.23,139.204,6576.0,6576.0,2957.7250000000004,77346.0,77346.0,7163.876,156600.0,156600.0
2004-06-01,709.83,7113.92,7113.92,320.38100000000003,13674.0,13674.0,3508.719,96768.0,96768.0,6557.505,151155.0,151155.0
2004-07-01,337.59,3383.33,3383.33,138.952,5512.0,5512.0,3090.105,77382.0,77382.0,7996.85,167400.0,167400.0
2004-08-01,249.48,2500.29,2500.29,8.059000000000001,297.0,297.0,2235.1710000000003,52218.0,52218.0,10183.052,198945.0,198945.0
2004-09-01,835.56,8373.98,8373.98,485.69,20069.0,20069.0,2364.263,61326.0,61326.0,7213.991,156393.0,156393.0
2004-10-01,1388.97,13920.26,13920.26,21.489,1034.0,1034.0,2514.1980000000003,65358.0,65358.0,8781.448,190854.0,190854.0
2004-11-01,1344.42,13473.78,13473.78,50.055,3042.0,3042.0,2762.483,71748.0,71748.0,6900.896000000001,149868.0,149868.0
2004-12-01,1131.57,11340.59,11340.59,140.686,11209.0,11209.0,3687.2470000000003,119574.0,119574.0,6297.4710000000005,170739.0,170739.0
2005-01-01,822.69,8226.08,8226.08,280.25909,3693.44,8553.0,4311.52704,56820.24,131580.0,5533.61787,72925.78,168876.0
2005-02-01,385.11,3850.72,3850.72,171.20702,2256.28,4465.0,2594.4478,34191.4,67662.0,6080.62918,80134.67,158580.0
