measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,8334.0,77559.0,77559.0,,,,,,,0.0,0.0,0.0,122755.0,1358510.0,1358510.0
2001-02-01,673.0,7471.0,7471.0,,,,,,,0.0,0.0,0.0,58097.0,604784.0,604784.0
2001-03-01,5227.0,52539.0,52539.0,,,,,,,2197.0,22211.0,22211.0,84251.0,927572.0,927572.0
2001-04-01,1587.0,18855.0,18855.0,,,,,,,1020.0,12141.0,12141.0,4645.0,91169.0,91169.0
2001-05-01,55.0,619.0,619.0,,,,,,,4371.0,48258.0,48258.0,33647.0,389363.0,389363.0
2001-06-01,34.0,360.0,360.0,,,,,,,7738.0,81921.0,81921.0,53234.0,572919.0,572919.0
2001-07-01,72.0,816.0,816.0,,,,,,,12789.0,143528.0,143528.0,41591.0,500397.0,500397.0
2001-08-01,190.0,2258.0,2258.0,,,,,,,41305.0,484765.0,484765.0,67451.0,727086.0,727086.0
2001-09-01,46.0,512.0,512.0,,,,,,,71337.0,799101.0,799101.0,2378.0,24467.0,24467.0
2001-10-01,47.0,495.0,495.0,,,,,,,37809.0,421652.0,421652.0,14501.0,158083.0,158083.0
2001-11-01,17.0,203.0,203.0,,,,,,,10156.0,119585.0,119585.0,25530.0,304052.0,304052.0
2001-12-01,74.0,845.0,845.0,,,,,,,12393.0,158333.0,158333.0,24175.0,283655.0,283655.0
2002-01-01,146.0,1712.0,1712.0,,,,,,,37732.0,446689.0,446689.0,15547.0,184514.0,184514.0
2002-02-01,226.0,2518.0,2518.0,,,,,,,17152.0,198010.0,198010.0,13613.0,164846.0,164846.0
2002-03-01,280.0,3096.0,3096.0,,,,,,,8018.0,89775.0,89775.0,28299.0,311270.0,311270.0
2002-04-01,120.0,1508.0,1508.0,,,,,,,2218.0,23931.0,23931.0,5468.0,93335.0,93335.0
2002-05-01,12.0,158.0,158.0,,,,,,,15374.0,187916.0,187916.0,1009.0,12329.0,12329.0
2002-06-01,14.0,158.0,158.0,,,,,,,31034.0,353538.0,353538.0,2736.0,30605.0,30605.0
2002-07-01,422.0,4728.0,4728.0,,,,,,,65422.0,725823.0,725823.0,10817.0,119196.0,119196.0
2002-08-01,606.0,6872.0,6872.0,,,,,,,80916.0,955500.0,955500.0,4686.0,56215.0,56215.0
2002-09-01,48.0,568.0,568.0,,,,,,,62876.0,726643.0,726643.0,562.0,6754.0,6754.0
2002-10-01,16.0,204.0,204.0,,,,,,,43264.0,529134.0,529134.0,1048.0,13167.0,13167.0
2002-11-01,6.0,68.0,68.0,0.0,0.0,0.0,,,,7701.0,93779.0,93779.0,2475.0,30303.0,30303.0
2002-12-01,116.0,1350.0,1350.0,966.0,10313.0,10313.0,,,,4355.0,48999.0,48999.0,24015.0,278870.0,278870.0
2003-01-01,50.5,533.0,533.0,1916.0,21114.5,21114.5,,,,130.5,1432.5,1432.5,51587.0,546393.0,546393.0
2003-02-01,36.5,351.5,351.5,3621.0,38880.0,38880.0,,,,156.0,1673.0,1673.0,43978.0,423814.0,423814.0
2003-03-01,63.0,760.0,760.0,0.0,0.0,0.0,,,,489.5,6133.5,6133.5,12781.0,154747.0,154747.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,864.0,9630.0,9630.0,1700.0,29308.0,29308.0
2003-05-01,7.0,113.5,113.5,0.0,0.0,0.0,,,,485.0,6432.0,6432.0,2844.0,45908.0,45908.0
2003-06-01,54.0,592.5,592.5,0.0,0.0,0.0,,,,1111.5,12329.0,12329.0,4821.0,53115.0,53115.0
2003-07-01,52.0,525.0,525.0,0.0,0.0,0.0,,,,380.0,4416.5,4416.5,29418.0,297814.0,297814.0
2003-08-01,164.5,1824.0,1824.0,0.0,0.0,0.0,,,,3664.0,40690.5,40690.5,22277.0,243810.0,243810.0
2003-09-01,3.0,49.5,49.5,0.0,0.0,0.0,,,,3978.9915,43289.0,43289.0,6798.924,113891.0,113891.0
2003-10-01,13.5,174.0,174.0,0.0,0.0,0.0,,,,1943.906,22840.5,22840.5,14613.845000000001,199427.0,199427.0
2003-11-01,25.0,299.5,299.5,0.0,0.0,0.0,,,,7182.0,85190.5,85190.5,25912.0,308927.0,308927.0
2003-12-01,17.0,213.0,213.0,0.0,0.0,0.0,,,,6250.0,80091.5,80091.5,21509.0,267246.0,267246.0
2004-01-01,35.5,521.5,521.5,0.0,0.0,0.0,,,,4918.5,80091.5,80091.5,18159.0,267246.0,267246.0
2004-02-01,8.5,147.5,147.5,0.0,0.0,0.0,,,,578.0,9767.5,9767.5,772.0,13047.0,13047.0
2004-03-01,0.0,8.5,8.5,0.0,0.0,0.0,,,,158.5,1791.5,1791.5,0.0,0.0,0.0
2004-04-01,0.0,19.5,19.5,0.0,0.0,0.0,,,,724.5,5553.0,5553.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,261.0,2898.5,2898.5,0.0,0.0,0.0
2004-06-01,5.0,58.5,58.5,0.0,0.0,0.0,,,,948.5,11544.5,11544.5,2952.0,35286.0,35286.0
2004-07-01,8.5,133.5,133.5,0.0,0.0,0.0,,,,600.5,7088.0,7088.0,761.0,12203.0,12203.0
2004-08-01,10.0,116.5,116.5,0.0,0.0,0.0,,,,2339.5,25010.0,25010.0,3570.0,40874.0,40874.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,412.0,4705.0,4705.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,77.0,848.0,848.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1140.5,9960.5,9960.5,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,260.0,2937.0,2937.0,,,,382.5,4315.0,4315.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,810.0,8649.585,8649.585,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,73.5,810.81,810.81,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,-6.0,0.0,0.0,2200.5,23218.65,23218.65,,,,68.0,703.0,703.0,-620.0,0.0,0.0
2005-04-01,-5.5,0.0,0.0,902.5,9828.945,9828.945,,,,136.5,1488.0,1488.0,-461.0,0.0,0.0
2005-05-01,-5.0,0.0,0.0,0.0,0.0,0.0,,,,-4.5,224.0,224.0,-400.0,0.0,0.0
2005-06-01,-4.5,0.0,0.0,123.5,1448.685,1448.685,,,,439.0,5079.0,5079.0,-400.0,0.0,0.0
2005-07-01,-4.5,0.0,0.0,1464.0,16394.805,16394.805,,,,0.0,0.0,0.0,-394.0,0.0,0.0
2005-08-01,-5.0,0.0,0.0,1394.0,15595.335,15595.335,,,,0.0,0.0,0.0,-339.0,0.0,0.0
2005-09-01,-4.5,0.0,0.0,205.0,2483.46,2483.46,,,,0.0,0.0,0.0,-296.0,0.0,0.0
2005-10-01,-2.5,0.0,0.0,329.5,4071.06,4071.06,,,,0.0,0.0,0.0,-294.0,0.0,0.0
2005-11-01,-2.5,0.0,0.0,127.5,1902.285,1902.285,,,,0.0,0.0,0.0,-312.0,0.0,0.0
2005-12-01,-2.5,0.0,0.0,97.5,5417.685,5417.685,,,,0.0,0.0,0.0,-383.0,0.0,0.0
2006-01-01,-2.5,0.0,0.0,1056.5,11521.5,11521.5,,,,1052.5,11480.0,11480.0,-484.0,0.0,0.0
2006-02-01,-3.0,0.0,0.0,580.0,7354.0,7354.0,,,,235.0,2783.5,2783.5,-362.0,0.0,0.0
2006-03-01,11.0,229.5,229.5,5.5,76.5,76.5,,,,401.0,5618.0,5618.0,-359.0,0.0,0.0
2006-04-01,-2.5,0.0,0.0,-108.0,0.0,0.0,,,,0.0,0.0,0.0,-350.0,0.0,0.0
2006-05-01,-2.5,0.0,0.0,0.0,0.0,0.0,,,,623.0,7360.0,7360.0,-351.0,0.0,0.0
2006-06-01,-1.5,822.0,822.0,2170.5,16069.0,16069.0,,,,3521.5,39514.0,39514.0,-272.0,0.0,0.0
2006-07-01,77.5,847.5,847.5,1629.0,17852.0,17852.0,,,,4203.0,46054.5,46054.5,-295.0,0.0,0.0
2006-08-01,27.0,289.0,289.0,1259.0,13426.5,13426.5,,,,1981.0,21131.0,21131.0,-284.0,0.0,0.0
2006-09-01,-1.0,85.0,85.0,827.5,9667.5,9667.5,,,,47.5,523.5,523.5,-174.0,0.0,0.0
2006-10-01,61.5,666.0,666.0,988.0,10688.0,10688.0,,,,1674.5,18110.0,18110.0,-292.0,0.0,0.0
2006-11-01,-6.0,0.0,0.0,685.5,7351.0,7351.0,,,,452.5,5029.5,5029.5,-298.0,0.0,0.0
2006-12-01,-5.0,17.0,17.0,85.5,983.5,983.5,,,,296.0,3207.5,3207.5,-343.0,0.0,0.0
2007-01-01,-36.352999999999994,360.0,360.0,264.22900000000004,4519.0,4519.0,0.0,0.0,0.0,-9.000999999999998,738.5,738.5,-124.75,0.0,0.0
2007-02-01,-37.169,210.0,210.0,272.8835,5182.5,5182.5,0.0,0.0,0.0,-12.464500000000001,606.0,606.0,-100.5,0.0,0.0
2007-03-01,-10.050999999999995,451.0,451.0,796.4580000000001,9695.5,9695.5,0.0,0.0,0.0,279.4685,3769.5,3769.5,-98.75,0.0,0.0
2007-04-01,14.693000000000005,510.5,510.5,411.807,4198.5,4198.5,0.0,0.0,0.0,-40.25,0.0,0.0,-80.5,0.0,0.0
2007-05-01,48.453,958.0,958.0,397.5735,4967.0,4967.0,0.0,0.0,0.0,3.972999999999999,447.5,447.5,-70.0,0.0,0.0
2007-06-01,5.692,538.5,538.5,245.308,3790.5,3790.5,0.0,0.0,0.0,-34.0,0.0,0.0,-68.0,0.0,0.0
2007-07-01,-43.5835,0.0,0.0,-43.5835,0.0,0.0,0.0,0.0,0.0,-43.5835,0.0,0.0,-68.5,0.0,0.0
2007-08-01,50.90650000000001,1091.5,1091.5,343.0935,4836.5,4836.5,0.0,0.0,0.0,-34.25,0.0,0.0,-68.5,0.0,0.0
2007-09-01,140.77200000000002,1956.0,1956.0,821.64,9727.0,9727.0,0.0,0.0,0.0,11.213500000000003,477.5,477.5,-61.25,0.0,0.0
2007-10-01,64.15050000000001,1114.0,1114.0,838.9195000000001,10115.5,10115.5,0.0,0.0,0.0,2.6799999999999997,400.0,400.0,-63.5,0.0,0.0
2007-11-01,-16.9225,170.0,170.0,69.25800000000001,954.0,954.0,0.0,0.0,0.0,-11.7105,217.5,217.5,-71.25,0.0,0.0
2007-12-01,-22.314,451.0,451.0,53.31400000000001,1987.5,1987.5,0.0,0.0,0.0,-44.5,0.0,0.0,-89.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,138.0,3698.0,3698.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,174.0,3687.0,3687.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,61.625,1763.0,1763.0,33.375,955.0,955.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,198.0,3521.0,3521.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,349.0,4876.0,4876.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,465.0,2994.0,2994.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,196.0,2807.0,2807.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,606.7810000000001,7267.0,7267.0,67.21900000000001,805.0,805.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1523.0,1523.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-21.956,444.0,444.0,-5.0440000000000005,102.0,102.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,697.0,9104.0,9104.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,939.0,11588.0,11588.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,819.0,10324.0,10324.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,12898.0,12898.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,660.0,8587.0,8587.0,0.0,0.0,0.0,,,
