measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2003-01-01,29.714000000000002,306.0,306.0,0.0,0.0,0.0,,,
2003-02-01,27.817,286.0,286.0,0.0,0.0,0.0,,,
2003-03-01,26.874000000000002,277.0,277.0,0.0,0.0,0.0,,,
2003-04-01,25.731,265.0,265.0,0.0,0.0,0.0,,,
2003-05-01,26.106,269.0,269.0,0.0,0.0,0.0,,,
2003-06-01,27.242,281.0,281.0,0.0,0.0,0.0,,,
2003-07-01,31.415,324.0,324.0,0.0,0.0,0.0,,,
2003-08-01,31.851000000000003,328.0,328.0,0.0,0.0,0.0,,,
2003-09-01,27.6,284.0,284.0,0.0,0.0,0.0,,,
2003-10-01,28.618000000000002,295.0,295.0,0.0,0.0,0.0,,,
2003-11-01,29.373,302.0,302.0,0.0,0.0,0.0,,,
2003-12-01,30.658,316.0,316.0,0.0,0.0,0.0,,,
2004-01-01,16.639,167.0,167.0,0.0,0.0,0.0,,,
2004-02-01,4.825,48.0,48.0,0.0,0.0,0.0,,,
2004-03-01,3.838,38.0,38.0,0.0,0.0,0.0,,,
2004-04-01,9.062000000000001,91.0,91.0,0.0,0.0,0.0,,,
2004-05-01,17.231,173.0,173.0,0.0,0.0,0.0,,,
2004-06-01,8.547,86.0,86.0,0.0,0.0,0.0,,,
2004-07-01,47.255,473.0,473.0,0.0,0.0,0.0,,,
2004-08-01,5.682,57.0,57.0,0.0,0.0,0.0,,,
2004-09-01,18.235,183.0,183.0,0.0,0.0,0.0,,,
2004-10-01,3.4610000000000003,35.0,35.0,0.0,0.0,0.0,,,
2004-11-01,4.583,46.0,46.0,0.0,0.0,0.0,,,
2004-12-01,21.64,217.0,217.0,0.0,0.0,0.0,,,
2005-01-01,99.70100000000001,964.67,964.67,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,34.254000000000005,331.43,331.43,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,37.966,367.35,367.35,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,45.988,444.96,444.96,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,42.711,413.26,413.26,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,55.435,536.37,536.37,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,56.426,545.95,545.95,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,66.287,641.36,641.36,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,43.392,419.85,419.85,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,48.188,466.25,466.25,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,38.739000000000004,374.82,374.82,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,81.912,792.55,792.55,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,37.255,364.0,364.0,,,,,,
2006-02-01,19.494,191.0,191.0,,,,,,
2006-03-01,16.376,160.0,160.0,,,,,,
2006-04-01,31.368000000000002,307.0,307.0,,,,,,
2006-05-01,29.321,287.0,287.0,,,,,,
2006-06-01,26.651,261.0,261.0,,,,,,
2006-07-01,38.605,378.0,378.0,,,,,,
2006-08-01,37.446000000000005,366.0,366.0,,,,,,
2006-09-01,17.203,168.0,168.0,,,,,,
2006-10-01,18.172,178.0,178.0,,,,,,
2006-11-01,21.398,209.0,209.0,,,,,,
2006-12-01,23.71,232.0,232.0,,,,,,
2007-01-01,57.12,559.0,559.0,,,,,,
2007-02-01,122.539,1197.0,1197.0,,,,,,
2007-03-01,19.958000000000002,194.0,194.0,,,,,,
2007-04-01,14.156,137.0,137.0,,,,,,
2007-05-01,17.46,171.0,171.0,,,,,,
2007-06-01,18.629,182.0,182.0,,,,,,
2007-07-01,14.751000000000001,143.0,143.0,,,,,,
2007-08-01,1.3070000000000002,11.0,11.0,,,,,,
2007-09-01,4.742,46.0,46.0,,,,,,
2007-10-01,4.162,40.0,40.0,,,,,,
2007-11-01,16.172,160.0,160.0,,,,,,
2007-12-01,26.006,257.0,257.0,,,,,,
2008-01-01,15.035,148.0,148.0,,,,,,
2008-02-01,19.218,188.0,188.0,,,,,,
2008-03-01,7.6000000000000005,74.0,74.0,,,,,,
2008-04-01,8.509,86.0,86.0,,,,,,
2008-05-01,3.515,34.0,34.0,,,,,,
2008-06-01,3.4850000000000003,34.0,34.0,,,,,,
2008-07-01,1.653,17.0,17.0,,,,,,
2008-08-01,2.013,17.0,17.0,,,,,,
2008-09-01,2.9290000000000003,29.0,29.0,,,,,,
2008-10-01,2.262,23.0,23.0,,,,,,
2008-11-01,7.569,74.0,74.0,,,,,,
2008-12-01,19.212,188.0,188.0,,,,,,
2009-01-01,42.589,416.0,416.0,,,,,,
2009-02-01,7.281000000000001,74.0,74.0,,,,,,
2009-03-01,4.303,40.0,40.0,,,,,,
2009-04-01,6.1160000000000005,63.0,63.0,,,,,,
2009-05-01,4.282,40.0,40.0,,,,,,
2009-06-01,4.175,40.0,40.0,,,,,,
2009-07-01,3.248,34.0,34.0,,,,,,
2009-08-01,4.094,40.0,40.0,,,,,,
2009-09-01,3.2670000000000003,34.0,34.0,,,,,,
2009-10-01,4.801,46.0,46.0,,,,,,
2009-11-01,2.362,23.0,23.0,,,,,,
2009-12-01,6.482,63.0,63.0,,,,,,
2010-01-01,35.945,342.0,342.0,,,,,,
2010-02-01,22.807000000000002,222.0,222.0,,,,,,
2010-03-01,6.035,57.0,57.0,,,,,,
2010-04-01,16.035,154.0,154.0,,,,,,
2010-05-01,23.845000000000002,234.0,234.0,,,,,,
2010-06-01,13.304,131.0,131.0,,,,,,
2010-07-01,13.966000000000001,137.0,137.0,,,,,,
2010-08-01,17.607,171.0,171.0,,,,,,
2010-09-01,17.951,177.0,177.0,,,,,,
2010-10-01,26.735000000000003,257.0,257.0,,,,,,
2010-11-01,12.215,120.0,120.0,,,,,,
2010-12-01,13.555000000000001,131.0,131.0,,,,,,
2011-01-01,7.693,154.0,154.0,,,,,,
2011-02-01,8.471,171.0,171.0,,,,,,
2011-03-01,13.635,274.0,274.0,,,,,,
2011-04-01,13.571,274.0,274.0,,,,,,
2011-05-01,6.408,131.0,131.0,,,,,,
2011-06-01,4.303,86.0,86.0,,,,,,
2011-07-01,10.373,211.0,211.0,,,,,,
2011-08-01,5.444,108.0,108.0,,,,,,
2011-09-01,6.954,143.0,143.0,,,,,,
2011-10-01,2.165,46.0,46.0,,,,,,
2011-11-01,11.908,239.0,239.0,,,,,,
2011-12-01,75.075,1511.0,1511.0,,,,,,
2012-01-01,2.751,23.0,23.0,,,,,,
2012-02-01,27.479,274.0,274.0,,,,,,
2012-03-01,6.522,68.0,68.0,,,,,,
2012-04-01,6.857,68.0,68.0,,,,,,
2012-05-01,86.85,872.0,872.0,,,,,,
2012-06-01,44.616,450.0,450.0,,,,,,
