measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,1546.0,26360.0,26360.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,1445.0,27934.0,27934.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,2477.0,37031.0,37031.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,-198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,-328.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,1293.0,24652.0,24652.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,-199.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,2402.0,43056.0,43056.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,-185.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,-194.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,-204.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,-230.0,0.0,0.0,-142.0,0.0,0.0
2004-01-01,1746.0,29151.0,29151.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,1035.0,18720.0,18720.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,2347.0,38633.0,38633.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,6944.0,111150.0,111150.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,13137.0,205189.0,205189.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,7179.0,116526.0,116526.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,5460.0,89862.0,89862.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,2766.0,48619.0,48619.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,84.0,4083.0,4083.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,-152.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,2259.0,35486.0,35486.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,2310.0,39516.0,39516.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,-234.0,1181.7,1181.7,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,-255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,-87.0,2480.4,2480.4,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,443.0,9775.35,9775.35,0.0,0.0,0.0,0.0,0.0,0.0
