measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,498650.0,4739471.0,4739471.0,86.0,820.0,820.0,,,,,,,,,,,,
2003-02-01,451815.0,4266195.0,4266195.0,72.0,681.0,681.0,0.0,0.0,0.0,,,,,,,,,
2003-03-01,485430.0,4527709.0,4527709.0,73.0,681.0,681.0,0.0,0.0,0.0,,,,,,,,,
2003-04-01,450129.0,4233755.0,4233755.0,572.0,5381.0,5381.0,0.0,0.0,0.0,,,,,,,,,
2003-05-01,439142.0,4141556.0,4141556.0,665.0,6272.0,6272.0,,,,,,,,,,,,
2003-06-01,469063.0,4409806.0,4409806.0,45.0,422.0,422.0,,,,,,,,,,,,
2003-07-01,496909.0,4655343.0,4655343.0,29.0,271.0,271.0,,,,,,,,,,,,
2003-08-01,403032.0,3839910.0,3839910.0,968.0,9223.0,9223.0,,,,,,,,,,,,
2003-09-01,471333.0,4449159.0,4449159.0,59.0,560.0,560.0,,,,,,,,,,,,
2003-10-01,288860.0,2773992.0,2773992.0,1735.0,16661.0,16661.0,,,,,,,,,,,,
2003-11-01,436450.0,4148980.0,4148980.0,642.0,6104.0,6104.0,,,,,,,,,,,,
2003-12-01,462716.0,4440573.0,4440573.0,472.0,4528.0,4528.0,,,,,,,,,,,,
2004-01-01,467783.0,4509432.0,4509432.0,1165.0,11232.0,11232.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-02-01,454764.0,4205465.0,4205465.0,236.0,2183.0,2183.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-03-01,457279.0,4383910.0,4383910.0,772.0,7092.0,7092.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-04-01,469865.0,4521637.0,4521637.0,212.0,2044.0,2044.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-05-01,486337.0,4543303.0,4543303.0,73.0,681.0,681.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-06-01,486212.0,4411129.0,4411129.0,199.0,1802.0,1802.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
