measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,108646.0,1255076.0,1255076.0,0.0,0.0,0.0,,,,,,,601.0,6943.0,6943.0,,,
2003-02-01,94703.0,1083382.0,1083382.0,0.0,0.0,0.0,,,,,,,152.0,1740.0,1740.0,,,
2003-03-01,112371.0,1270149.0,1270149.0,19.0,329.0,329.0,,,,,,,170.0,1917.0,1917.0,,,
2003-04-01,61161.0,724554.0,724554.0,0.0,0.0,0.0,,,,,,,112.0,1331.0,1331.0,,,
2003-05-01,41660.0,482744.0,482744.0,0.0,0.0,0.0,,,,,,,851.0,9861.0,9861.0,,,
2003-06-01,79345.0,939821.0,939821.0,0.0,0.0,0.0,,,,,,,410.0,4854.0,4854.0,,,
2003-07-01,92485.0,1074440.0,1074440.0,0.0,0.0,0.0,,,,,,,450.0,5225.0,5225.0,,,
2003-08-01,95559.0,1099876.0,1099876.0,14.0,312.0,312.0,,,,,,,336.0,3864.0,3864.0,,,
2003-09-01,69235.0,806945.0,806945.0,0.0,0.0,0.0,,,,,,,361.0,4213.0,4213.0,,,
2003-10-01,65872.0,768003.0,768003.0,0.0,0.0,0.0,,,,,,,426.0,4972.0,4972.0,,,
2003-11-01,72072.0,853724.0,853724.0,0.0,0.0,0.0,,,,,,,245.0,2902.0,2902.0,,,
2003-12-01,65114.0,912085.0,912085.0,0.0,0.0,0.0,,,,,,,421.0,4845.0,4845.0,,,
2004-01-01,109081.2,1229493.0,1229493.0,0.0,7.0,7.0,0.0,0.0,0.0,,,,321.171,3620.0,3620.0,,,
2004-02-01,93995.434,1059456.0,1059456.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,352.75,3976.0,3976.0,,,
2004-03-01,68063.886,767172.0,767172.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,714.219,8051.0,8051.0,,,
2004-04-01,63137.991,711651.0,711651.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,334.552,3771.0,3771.0,,,
2004-05-01,87240.353,983317.0,983317.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,161.55,1821.0,1821.0,,,
2004-06-01,90902.473,1024594.0,1024594.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,227.062,2559.0,2559.0,,,
2004-07-01,95701.768,1078688.0,1078688.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,164.17600000000002,1851.0,1851.0,,,
2004-08-01,86457.864,974497.0,974497.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,222.19,2505.0,2505.0,,,
2004-09-01,86572.136,975785.0,975785.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,195.11700000000002,2199.0,2199.0,,,
2004-10-01,55868.509,629714.0,629714.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,217.10600000000002,2447.0,2447.0,,,
2004-11-01,74063.777,834799.0,834799.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,120.601,1359.0,1359.0,,,
2004-12-01,83537.609,941582.0,941582.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,142.506,1606.0,1606.0,,,
2005-01-01,55128.06,655555.65,655555.65,86.059,1642.96,1642.96,,,,0.0,0.0,0.0,389.783,4635.38,4635.38,,,
2005-02-01,50053.769,595214.7,595214.7,19.809,378.18,378.18,,,,0.0,0.0,0.0,345.552,4109.38,4109.38,,,
2005-03-01,53654.422,638031.89,638031.89,16.999000000000002,324.52,324.52,,,,0.0,0.0,0.0,412.356,4903.83,4903.83,,,
2005-04-01,44140.594,524898.15,524898.15,17.008,324.71,324.71,,,,0.0,0.0,0.0,422.766,5027.63,5027.63,,,
2005-05-01,41934.72,498666.98,498666.98,17.149,327.38,327.38,,,,0.0,0.0,0.0,342.965,4078.61,4078.61,,,
2005-06-01,53751.434,639185.52,639185.52,20.773,396.58,396.58,,,,0.0,0.0,0.0,583.484,6938.92,6938.92,,,
2005-07-01,59970.91,713144.45,713144.45,39.342,751.08,751.08,,,,0.0,0.0,0.0,751.9010000000001,8941.77,8941.77,,,
2005-08-01,59400.263,706358.6,706358.6,34.845,665.24,665.24,,,,0.0,0.0,0.0,803.895,9560.09,9560.09,,,
2005-09-01,53510.477,636320.18,636320.18,19.389,370.15,370.15,,,,0.0,0.0,0.0,531.784,6324.09,6324.09,,,
2005-10-01,50110.237,595886.18,595886.18,27.183,518.96,518.96,,,,0.0,0.0,0.0,367.75600000000003,4373.44,4373.44,,,
2005-11-01,49210.126000000004,585182.51,585182.51,18.304000000000002,349.44,349.44,,,,0.0,0.0,0.0,330.103,3925.65,3925.65,,,
2005-12-01,56762.989,674997.42,674997.42,50.139,957.21,957.21,,,,0.0,0.0,0.0,356.654,4241.41,4241.41,,,
2006-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1274.0,18324.0,18324.0,25085.0,360941.0,360941.0
2006-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,585.0,7122.0,7122.0,54826.0,668089.0,668089.0
2006-03-01,,,,8.0,410.0,410.0,,,,0.0,0.0,0.0,506.0,6003.0,6003.0,67422.0,799588.0,799588.0
2006-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,497.0,5999.0,5999.0,68885.0,831042.0,831042.0
2006-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,667.0,7987.0,7987.0,57768.0,692197.0,692197.0
2006-06-01,,,,0.0,29.0,29.0,,,,0.0,0.0,0.0,357.0,4283.0,4283.0,65067.0,779653.0,779653.0
2006-07-01,,,,127.0,2376.0,2376.0,,,,0.0,0.0,0.0,207.0,2532.0,2532.0,73451.0,896870.0,896870.0
