measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other - Internal Combustion Engine (diesel, piston, reciprocating) - Other - Generation","Other - Internal Combustion Engine (diesel, piston, reciprocating) - Other - Quantity Consumed For Electricity","Other - Internal Combustion Engine (diesel, piston, reciprocating) - Other - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2010-01-01,,,,0.0,0.0,0.0,2.275,35.0,35.0,375.769,3666.0,3666.0
2010-02-01,,,,0.0,0.0,0.0,2.2560000000000002,35.0,35.0,234.193,2285.0,2285.0
2010-03-01,,,,0.0,0.0,0.0,2.773,47.0,47.0,383.132,3738.0,3738.0
2010-04-01,,,,0.0,0.0,0.0,2.373,41.0,41.0,411.62600000000003,4016.0,4016.0
2010-05-01,,,,0.0,0.0,0.0,2.738,47.0,47.0,375.617,3665.0,3665.0
2010-06-01,,,,0.0,0.0,0.0,2.6550000000000002,47.0,47.0,250.92600000000002,2448.0,2448.0
2010-07-01,,,,0.0,0.0,0.0,2.64,47.0,47.0,228.88,2233.0,2233.0
2010-08-01,,,,0.0,0.0,0.0,2.887,47.0,47.0,280.616,2738.0,2738.0
2010-09-01,,,,0.0,0.0,0.0,2.238,35.0,35.0,293.528,2864.0,2864.0
2010-10-01,,,,0.0,0.0,0.0,2.9650000000000003,53.0,53.0,368.78700000000003,3598.0,3598.0
2010-11-01,,,,0.0,0.0,0.0,2.686,47.0,47.0,431.206,4207.0,4207.0
2010-12-01,,,,0.0,0.0,0.0,2.5140000000000002,41.0,41.0,391.06,3815.0,3815.0
2011-01-01,,,,0.0,0.0,0.0,0.485,6.0,6.0,340.289,3306.0,3306.0
2011-02-01,,,,0.0,0.0,0.0,0.458,6.0,6.0,501.9,4876.0,4876.0
2011-03-01,,,,0.0,0.0,0.0,0.547,6.0,6.0,389.486,3784.0,3784.0
2011-04-01,,,,0.0,0.0,0.0,0.52,6.0,6.0,459.856,4468.0,4468.0
2011-05-01,,,,0.0,0.0,0.0,0.647,6.0,6.0,505.674,4913.0,4913.0
2011-06-01,,,,0.0,0.0,0.0,0.645,6.0,6.0,344.341,3346.0,3346.0
2011-07-01,,,,0.0,0.0,0.0,0.567,6.0,6.0,211.429,2054.0,2054.0
2011-08-01,,,,0.0,0.0,0.0,0.595,6.0,6.0,193.504,1880.0,1880.0
2011-09-01,,,,0.0,0.0,0.0,0.593,6.0,6.0,254.939,2477.0,2477.0
2011-10-01,,,,0.0,0.0,0.0,0.629,6.0,6.0,518.116,5034.0,5034.0
2011-11-01,,,,0.0,0.0,0.0,0.584,6.0,6.0,570.612,5544.0,5544.0
2011-12-01,,,,0.0,0.0,0.0,0.59,6.0,6.0,518.284,5036.0,5036.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,891.888,8487.0,8487.0
2012-02-01,0.0,12.0,12.0,0.0,0.0,0.0,,,,648.455,6171.0,6171.0
2012-03-01,0.0,6.0,6.0,0.0,0.0,0.0,,,,764.963,7279.0,7279.0
2012-04-01,0.0,6.0,6.0,0.0,0.0,0.0,,,,837.156,7966.0,7966.0
2012-05-01,0.0,35.0,35.0,0.0,0.0,0.0,,,,815.611,7761.0,7761.0
2012-06-01,0.0,23.0,23.0,0.0,0.0,0.0,,,,636.045,6053.0,6053.0
2012-07-01,0.0,58.0,58.0,0.0,0.0,0.0,,,,417.32,3971.0,3971.0
2012-08-01,0.0,6.0,6.0,0.0,0.0,0.0,,,,443.865,4224.0,4224.0
2012-09-01,0.0,6.0,6.0,0.0,0.0,0.0,,,,545.497,5191.0,5191.0
2012-10-01,0.0,12.0,12.0,0.0,0.0,0.0,,,,872.763,8305.0,8305.0
2012-11-01,0.0,6.0,6.0,0.0,0.0,0.0,,,,813.279,7739.0,7739.0
2012-12-01,0.0,6.0,6.0,0.0,0.0,0.0,,,,677.158,6444.0,6444.0
2013-01-01,3.468,23.0,23.0,0.0,0.0,0.0,,,,950.107,9065.0,9065.0
2013-02-01,0.349,6.0,6.0,0.0,0.0,0.0,,,,726.776,6934.0,6934.0
2013-03-01,0.927,6.0,6.0,0.0,0.0,0.0,,,,776.087,7405.0,7405.0
2013-04-01,0.999,12.0,12.0,0.0,0.0,0.0,,,,842.088,8034.0,8034.0
2013-05-01,3.47,35.0,35.0,0.0,0.0,0.0,,,,824.729,7869.0,7869.0
2013-06-01,2.635,23.0,23.0,0.0,0.0,0.0,,,,585.248,5584.0,5584.0
2013-07-01,3.025,29.0,29.0,0.0,0.0,0.0,,,,535.67,5111.0,5111.0
2013-08-01,0.942,12.0,12.0,0.0,0.0,0.0,,,,392.754,3747.0,3747.0
2013-09-01,7.554,70.0,70.0,0.0,0.0,0.0,,,,638.781,6095.0,6095.0
2013-10-01,4.66,46.0,46.0,0.0,0.0,0.0,,,,729.366,6959.0,6959.0
2013-11-01,3.502,35.0,35.0,0.0,0.0,0.0,,,,978.119,9332.0,9332.0
