measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,45977.0,753002.0,753002.0,22708.0,0.0,0.0,-78.0,0.0,0.0
2003-02-01,,,,70823.0,1160293.0,1160293.0,37857.0,0.0,0.0,-76.0,0.0,0.0
2003-03-01,,,,99288.0,1620128.0,1620128.0,53872.0,0.0,0.0,-82.0,0.0,0.0
2003-04-01,,,,50995.0,723060.0,723060.0,27806.0,64108.0,64108.0,-72.0,0.0,0.0
2003-05-01,,,,31395.0,499069.0,499069.0,17976.0,43857.0,43857.0,-80.0,0.0,0.0
2003-06-01,,,,69164.0,1098911.0,1098911.0,38894.0,68649.0,68649.0,-92.0,0.0,0.0
2003-07-01,,,,111453.0,1673585.0,1673585.0,68822.0,201929.0,201929.0,24873.0,283555.0,283555.0
2003-08-01,,,,90468.0,1404833.0,1404833.0,54282.0,134150.0,134150.0,10409.0,118405.0,118405.0
2003-09-01,,,,90707.0,1413743.0,1413743.0,55098.0,131702.0,131702.0,7667.0,87466.0,87466.0
2003-10-01,,,,77092.0,1218517.0,1218517.0,41844.0,79962.0,79962.0,-78.0,0.0,0.0
2003-11-01,,,,32661.0,486184.0,486184.0,16048.0,30661.0,30661.0,-76.0,0.0,0.0
2003-12-01,,,,-300.0,0.0,0.0,-150.0,0.0,0.0,-98.0,0.0,0.0
2004-01-01,,,,1979.0,33894.0,33894.0,718.0,2636.0,2636.0,0.0,0.0,0.0
2004-02-01,,,,58.0,10423.0,10423.0,-102.0,0.0,0.0,-168.0,53.0,53.0
2004-03-01,,,,88.0,1300.0,1300.0,-101.0,0.0,0.0,-70.0,156.0,156.0
2004-04-01,,,,3117.0,59591.0,59591.0,1788.0,13124.0,13124.0,0.0,0.0,0.0
2004-05-01,,,,16226.0,262579.0,262579.0,8317.0,13416.0,13416.0,-94.0,0.0,0.0
2004-06-01,,,,7627.0,124506.0,124506.0,4097.0,5310.0,5310.0,-94.0,0.0,0.0
2004-07-01,,,,59660.0,914022.0,914022.0,32561.0,60146.0,60146.0,7077.0,92538.0,92538.0
2004-08-01,,,,73746.0,1158858.0,1158858.0,38706.0,69806.0,69806.0,6127.0,73264.0,73264.0
2004-09-01,,,,53004.0,798148.0,798148.0,29576.0,65891.0,65891.0,4763.0,57253.0,57253.0
2004-10-01,,,,11366.0,180363.0,180363.0,5430.0,7619.0,7619.0,-78.0,0.0,0.0
2004-11-01,,,,35339.0,547296.0,547296.0,16152.0,19045.0,19045.0,-76.0,0.0,0.0
2004-12-01,,,,34576.0,516901.0,516901.0,15546.0,12709.0,12709.0,-111.0,0.0,0.0
2005-01-01,,,,33643.0,496112.11,496112.11,15747.0,21372.23,21372.23,-106.0,0.0,0.0
2005-02-01,,,,-282.0,759.93,759.93,-142.0,0.0,0.0,-96.0,0.0,0.0
2005-03-01,,,,-247.0,997.44,997.44,-41.0,0.0,0.0,-141.0,0.0,0.0
2005-04-01,,,,-283.0,0.0,0.0,-141.0,0.0,0.0,-100.0,0.0,0.0
2005-05-01,,,,2846.0,49608.0,49608.0,1284.0,1918.8,1918.8,-92.0,0.0,0.0
2005-06-01,,,,-314.0,0.0,0.0,-157.0,0.0,0.0,-78.0,0.0,0.0
2005-07-01,,,,65941.0,962111.33,962111.33,36635.0,94137.26,94137.26,23582.0,220384.41,220384.41
2005-08-01,,,,76012.0,1133135.3,1133135.3,42792.0,98156.85,98156.85,2440.0,24714.25,24714.25
2005-09-01,,,,3014.0,45802.35,45802.35,1600.0,2523.27,2523.27,1073.0,12930.45,12930.45
2005-10-01,,,,-298.0,0.0,0.0,-149.0,0.0,0.0,-112.0,0.0,0.0
2005-11-01,,,,44135.0,638577.84,638577.84,23422.0,62083.52,62083.52,2844.0,26508.23,26508.23
2005-12-01,,,,13865.0,216043.07,216043.07,6114.0,1824.11,1824.11,0.0,0.0,0.0
2006-01-01,,,,-298.0,158.0,158.0,-149.0,0.0,0.0,-101.0,0.0,0.0
2006-02-01,,,,-339.0,1412.0,1412.0,-144.0,0.0,0.0,-70.0,0.0,0.0
2006-03-01,,,,-296.0,228.0,228.0,-146.0,0.0,0.0,-84.0,0.0,0.0
2006-04-01,,,,2697.0,48870.0,48870.0,1214.0,585.0,585.0,-73.0,0.0,0.0
2006-05-01,,,,22340.0,343741.0,343741.0,11169.0,14981.0,14981.0,787.0,11316.0,11316.0
2006-06-01,,,,44674.0,685767.0,685767.0,22490.0,30436.0,30436.0,4704.0,58572.0,58572.0
2006-07-01,,,,108403.0,1593581.0,1593581.0,63821.0,183064.0,183064.0,35464.0,401777.0,401777.0
2006-08-01,,,,48407.0,744259.0,744259.0,25930.0,53397.0,53397.0,-104.0,0.0,0.0
2006-09-01,,,,65929.0,962159.0,962159.0,39190.0,134200.0,134200.0,4697.0,53378.0,53378.0
2006-10-01,,,,71986.0,1071570.0,1071570.0,38929.0,91429.0,91429.0,-106.0,0.0,0.0
2006-11-01,,,,32712.0,490695.0,490695.0,16492.0,32236.0,32236.0,-100.0,0.0,0.0
2006-12-01,,,,18751.0,287595.0,287595.0,8320.0,5890.0,5890.0,-114.0,0.0,0.0
2007-01-01,,,,-313.0,0.0,0.0,-157.0,0.0,0.0,-112.0,0.0,0.0
2007-02-01,,,,-264.0,0.0,0.0,-129.0,0.0,0.0,-96.0,0.0,0.0
2007-03-01,,,,-280.0,0.0,0.0,-140.0,0.0,0.0,-90.0,0.0,0.0
2007-04-01,,,,-276.0,0.0,0.0,-135.0,0.0,0.0,-75.0,0.0,0.0
2007-05-01,,,,32769.0,503864.0,503864.0,17455.0,33305.0,33305.0,-76.0,0.0,0.0
2007-06-01,,,,52940.0,788079.0,788079.0,29044.0,61700.0,61700.0,-81.0,0.0,0.0
2007-07-01,,,,96114.0,1412197.0,1412197.0,55426.0,135636.0,135636.0,3364.0,41993.0,41993.0
2007-08-01,,,,94116.0,1407038.0,1407038.0,53740.0,122232.0,122232.0,10432.0,117797.0,117797.0
2007-09-01,,,,39572.0,575466.0,575466.0,21626.0,42055.0,42055.0,-104.0,0.0,0.0
2007-10-01,,,,43892.0,672898.0,672898.0,22908.0,41460.0,41460.0,-81.0,0.0,0.0
2007-11-01,,,,37007.0,541796.0,541796.0,19136.0,30776.0,30776.0,-93.0,0.0,0.0
2007-12-01,,,,31239.0,462543.0,462543.0,14465.0,16658.0,16658.0,-90.0,0.0,0.0
2008-01-01,,,,31270.0,463927.0,463927.0,14461.0,12940.0,12940.0,-96.0,0.0,0.0
2008-02-01,,,,19677.0,290149.0,290149.0,8571.0,4360.0,4360.0,-96.0,0.0,0.0
2008-03-01,,,,1765.0,30561.0,30561.0,653.0,517.0,517.0,-77.0,0.0,0.0
2008-04-01,,,,22523.0,323238.0,323238.0,10459.0,6095.0,6095.0,-66.0,0.0,0.0
2008-05-01,,,,6567.0,104838.0,104838.0,3577.0,5732.0,5732.0,4010.0,53386.0,53386.0
2008-06-01,,,,19600.0,317202.0,317202.0,9905.0,16024.0,16024.0,-80.0,0.0,0.0
2008-07-01,,,,11521.0,189177.0,189177.0,6445.0,13534.0,13534.0,-94.0,0.0,0.0
2008-08-01,,,,57848.0,866898.0,866898.0,29069.0,66312.0,66312.0,1493.0,19779.0,19779.0
2008-09-01,,,,47960.0,714125.0,714125.0,28439.0,80965.0,80965.0,-76.0,0.0,0.0
2008-10-01,,,,77143.0,1116838.0,1116838.0,41499.0,98386.0,98386.0,-78.0,0.0,0.0
2008-11-01,,,,61071.0,924670.0,924670.0,29503.0,37677.0,37677.0,-68.0,0.0,0.0
2008-12-01,,,,19328.0,298456.0,298456.0,7830.0,2752.0,2752.0,-90.0,0.0,0.0
2009-01-01,,,,-292.0,0.0,0.0,-164.0,0.0,0.0,-82.0,0.0,0.0
2009-02-01,,,,-268.0,121.0,121.0,-132.0,0.0,0.0,-86.0,0.0,0.0
2009-03-01,,,,1485.0,32590.0,32590.0,533.0,9.0,9.0,-80.0,0.0,0.0
2009-04-01,,,,1909.0,38666.0,38666.0,777.0,153.0,153.0,648.0,11161.0,11161.0
2009-05-01,,,,7557.0,149483.0,149483.0,2902.0,2079.0,2079.0,409.0,7350.0,7350.0
2009-06-01,,,,-272.0,99.0,99.0,-136.0,0.0,0.0,-122.0,0.0,0.0
2009-07-01,,,,408.0,16242.0,16242.0,104.0,0.0,0.0,-140.0,0.0,0.0
2009-08-01,,,,-312.0,0.0,0.0,-156.0,0.0,0.0,-138.0,0.0,0.0
2009-09-01,,,,14873.0,278301.0,278301.0,6678.0,2503.0,2503.0,-88.0,0.0,0.0
2009-10-01,,,,-298.0,0.0,0.0,-149.0,0.0,0.0,-66.0,0.0,0.0
2009-11-01,,,,15415.0,251411.0,251411.0,7653.0,13399.0,13399.0,618.0,10795.0,10795.0
2009-12-01,,,,1859.0,36686.0,36686.0,663.0,1018.0,1018.0,-90.0,0.0,0.0
2010-01-01,,,,305.0,11528.0,11528.0,34.0,70.0,70.0,-82.0,0.0,0.0
2010-02-01,,,,-258.0,0.0,0.0,-129.0,0.0,0.0,-68.0,0.0,0.0
2010-03-01,,,,-343.0,1078.0,1078.0,-158.0,0.0,0.0,-80.0,0.0,0.0
2010-04-01,,,,-303.0,0.0,0.0,-153.0,0.0,0.0,-90.0,0.0,0.0
2010-05-01,,,,-308.0,0.0,0.0,-154.0,0.0,0.0,-88.0,0.0,0.0
2010-06-01,,,,-344.0,0.0,0.0,-172.0,0.0,0.0,-82.0,0.0,0.0
2010-07-01,,,,1933.0,45272.0,45272.0,942.0,163.0,163.0,-94.0,0.0,0.0
2010-08-01,,,,1729.0,43222.0,43222.0,644.0,238.0,238.0,-100.0,0.0,0.0
2010-09-01,,,,2574.0,58182.0,58182.0,1096.0,227.0,227.0,-70.0,0.0,0.0
2010-10-01,,,,-300.0,0.0,0.0,-150.0,0.0,0.0,1919.0,27012.0,27012.0
2010-11-01,,,,1834.0,41508.0,41508.0,575.0,2.0,2.0,241.0,4598.0,4598.0
2010-12-01,,,,-284.0,0.0,0.0,-140.0,0.0,0.0,-84.0,0.0,0.0
2011-01-01,,,,-282.0,0.0,0.0,-142.0,0.0,0.0,-88.0,0.0,0.0
2011-02-01,,,,-242.0,0.0,0.0,-71.0,0.0,0.0,-74.0,0.0,0.0
2011-03-01,,,,-116.0,4392.0,4392.0,-270.0,0.0,0.0,-68.0,0.0,0.0
2011-04-01,,,,274.0,16585.0,16585.0,30.0,54.0,54.0,-128.0,0.0,0.0
2011-05-01,,,,4492.0,80430.0,80430.0,1802.0,387.0,387.0,-175.0,0.0,0.0
2011-06-01,,,,2671.0,59524.0,59524.0,1153.0,260.0,260.0,701.0,12189.0,12189.0
2011-07-01,,,,2173.0,48638.0,48638.0,1172.0,3290.0,3290.0,-148.0,0.0,0.0
2011-08-01,,,,27250.0,457480.0,457480.0,16207.0,41584.0,41584.0,2523.0,33260.0,33260.0
2011-09-01,,,,20525.0,331758.0,331758.0,11635.0,28622.0,28622.0,1690.0,22558.0,22558.0
2011-10-01,,,,-499.0,274.0,274.0,-249.0,0.0,0.0,1015.0,13514.0,13514.0
2011-11-01,,,,-437.0,156.0,156.0,-218.0,0.0,0.0,342.0,4285.0,4285.0
2011-12-01,,,,-315.0,0.0,0.0,-157.0,0.0,0.0,-212.0,0.0,0.0
2012-01-01,,,,-320.0,286.0,286.0,-161.0,0.0,0.0,73.0,4107.0,4107.0
2012-02-01,,,,-202.0,4888.0,4888.0,-190.0,0.0,0.0,-162.0,0.0,0.0
2012-03-01,,,,-425.0,0.0,0.0,-212.0,0.0,0.0,-140.0,0.0,0.0
2012-04-01,,,,1050.0,27804.0,27804.0,512.0,249.0,249.0,152.0,5048.0,5048.0
2012-05-01,,,,26240.0,413518.0,413518.0,15275.0,36715.0,36715.0,-368.0,0.0,0.0
2012-06-01,,,,15615.0,250531.0,250531.0,8720.0,16794.0,16794.0,1884.0,30263.0,30263.0
2012-07-01,,,,20495.0,355290.0,355290.0,11917.0,18282.0,18282.0,3190.0,43639.0,43639.0
2012-08-01,,,,63776.0,1027413.0,1027413.0,40388.0,104729.0,104729.0,14674.0,179037.0,179037.0
2012-09-01,,,,70429.0,1134170.0,1134170.0,43731.0,110253.0,110253.0,-206.0,0.0,0.0
2012-10-01,,,,34759.0,547433.0,547433.0,20631.0,54863.0,54863.0,3492.0,42260.0,42260.0
2012-11-01,,,,37360.0,578097.0,578097.0,19618.0,40392.0,40392.0,985.0,15779.0,15779.0
2012-12-01,,,,18927.0,299878.0,299878.0,10074.0,19784.0,19784.0,-148.0,0.0,0.0
2013-01-01,,,,13120.0,212508.0,212508.0,5801.0,8954.0,8954.0,-278.0,0.0,0.0
2013-02-01,,,,9212.0,160679.0,160679.0,4771.0,9069.0,9069.0,-334.0,0.0,0.0
2013-03-01,,,,13414.0,211404.0,211404.0,7142.0,11511.0,11511.0,603.0,16403.0,16403.0
2013-04-01,,,,16016.0,269958.0,269958.0,7937.0,10003.0,10003.0,116.0,9428.0,9428.0
2013-05-01,,,,14302.0,244055.0,244055.0,7163.0,10015.0,10015.0,-302.0,0.0,0.0
2013-06-01,,,,13300.0,213259.0,213259.0,8572.0,27178.0,27178.0,-282.0,0.0,0.0
2013-07-01,,,,7622.0,128383.0,128383.0,4863.0,12392.0,12392.0,2333.0,32733.0,32733.0
