measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2009-01-01,5.885,57.0,57.0
2009-02-01,69.23400000000001,676.0,676.0
2009-03-01,174.291,1701.0,1701.0
2009-04-01,229.14600000000002,2236.0,2236.0
2009-05-01,251.40400000000002,2454.0,2454.0
2009-06-01,252.49900000000002,2464.0,2464.0
2009-07-01,291.353,2844.0,2844.0
2009-08-01,266.012,2596.0,2596.0
2009-09-01,213.252,2081.0,2081.0
2009-10-01,143.97,1405.0,1405.0
2009-11-01,77.515,757.0,757.0
2009-12-01,33.439,326.0,326.0
2010-01-01,5.511,54.0,54.0
2010-02-01,53.281000000000006,520.0,520.0
2010-03-01,129.949,1268.0,1268.0
2010-04-01,194.58100000000002,1898.0,1898.0
2010-05-01,274.913,2682.0,2682.0
2010-06-01,311.188,3036.0,3036.0
2010-07-01,300.154,2928.0,2928.0
2010-08-01,268.134,2616.0,2616.0
2010-09-01,217.96200000000002,2126.0,2126.0
2010-10-01,97.653,953.0,953.0
2010-11-01,83.49900000000001,815.0,815.0
2010-12-01,31.175,304.0,304.0
2011-01-01,1.105,11.0,11.0
2011-02-01,83.458,811.0,811.0
2011-03-01,119.396,1160.0,1160.0
2011-04-01,198.129,1925.0,1925.0
2011-05-01,243.175,2363.0,2363.0
2011-06-01,312.491,3036.0,3036.0
2011-07-01,268.78,2611.0,2611.0
2011-08-01,276.902,2690.0,2690.0
2011-09-01,191.113,1857.0,1857.0
2011-10-01,152.76,1484.0,1484.0
2011-11-01,54.245,527.0,527.0
2011-12-01,51.446,500.0,500.0
2012-01-01,5.824,55.0,55.0
2012-02-01,57.824,550.0,550.0
2012-03-01,141.772,1349.0,1349.0
2012-04-01,205.129,1952.0,1952.0
2012-05-01,281.962,2683.0,2683.0
2012-06-01,304.758,2900.0,2900.0
2012-07-01,263.528,2508.0,2508.0
2012-08-01,207.676,1976.0,1976.0
2012-09-01,194.451,1850.0,1850.0
2012-10-01,152.822,1454.0,1454.0
2012-11-01,78.151,744.0,744.0
