measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,267.23,3490.0,3490.0,7587.342000000001,69019.0,274599.0,6.158,54.0,216.0,72.934,643.0,2559.0
2003-02-01,236.73600000000002,3091.0,3091.0,6721.5380000000005,61143.0,243264.0,5.455,48.0,192.0,64.611,570.0,2267.0
2003-03-01,244.514,3193.0,3193.0,6942.368,63152.0,251256.0,5.635,50.0,198.0,66.73400000000001,589.0,2342.0
2003-04-01,214.71,2804.0,2804.0,6096.164000000001,55455.0,220631.0,4.948,44.0,174.0,58.6,517.0,2056.0
2003-05-01,210.717,2752.0,2752.0,5982.789000000001,54423.0,216528.0,4.856,43.0,171.0,57.51,507.0,2018.0
2003-06-01,200.508,2618.0,2618.0,5692.932000000001,51787.0,206037.0,4.62,41.0,162.0,54.724000000000004,483.0,1920.0
2003-07-01,214.59300000000002,2802.0,2802.0,6092.853,55425.0,220511.0,4.945,44.0,174.0,58.568000000000005,517.0,2055.0
2003-08-01,205.452,2683.0,2683.0,5833.3150000000005,53064.0,211118.0,4.734,42.0,166.0,56.073,495.0,1968.0
2003-09-01,219.76100000000002,2870.0,2870.0,6239.577,56759.0,225821.0,5.064,45.0,178.0,59.978,529.0,2105.0
2003-10-01,236.89800000000002,3094.0,3094.0,6726.145,61185.0,243431.0,5.4590000000000005,48.0,192.0,64.655,570.0,2269.0
2003-11-01,248.57600000000002,3246.0,3246.0,7057.704000000001,64201.0,255431.0,5.728000000000001,51.0,201.0,67.843,598.0,2381.0
2003-12-01,277.624,3625.0,3625.0,7882.453,71704.0,285280.0,6.398000000000001,56.0,225.0,75.771,668.0,2659.0
2004-01-01,682.08,8907.03,9628.0,8040.17976,41036.3,327516.64,0.0,0.0,0.0,51.30724,261.87,2090.0
2004-02-01,281.26,3219.0,3219.0,7047.1266000000005,35967.85,291136.95,0.0,0.0,0.0,62.934400000000004,321.21,2600.0
2004-03-01,53.9,688.8,688.8,7422.75762,37885.03,291127.88,0.0,0.0,0.0,63.74138,325.33,2500.0
