measured_on,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2014-01-01,14538.978,138266.0,138266.0
2014-02-01,12222.896,116240.0,116240.0
2014-03-01,13529.273,128663.0,128663.0
2014-04-01,12384.445,117776.0,117776.0
2014-05-01,12354.059,117487.0,117487.0
2014-06-01,11411.107,108520.0,108520.0
2014-07-01,10930.337,103948.0,103948.0
2014-08-01,11872.643,112909.0,112909.0
2014-09-01,11903.918,113206.0,113206.0
2014-10-01,11983.279,113961.0,113961.0
2014-11-01,13401.989,127453.0,127453.0
2014-12-01,13926.076,132437.0,132437.0
2015-01-01,12729.082,118622.0,118622.0
2015-02-01,12975.463,120918.0,120918.0
2015-03-01,14700.94,136998.0,136998.0
2015-04-01,14235.971,132665.0,132665.0
2015-05-01,14274.455,133024.0,133024.0
2015-06-01,11911.868,111007.0,111007.0
2015-07-01,13356.019,124465.0,124465.0
2015-08-01,12868.787,119924.0,119924.0
2015-09-01,14058.964,131015.0,131015.0
2015-10-01,14795.01,137875.0,137875.0
2015-11-01,17196.153,160251.0,160251.0
2015-12-01,17618.288,164185.0,164185.0
2016-01-01,16325.822,150720.0,150720.0
2016-02-01,15029.73,138754.0,138754.0
2016-03-01,15526.725,143343.0,143343.0
2016-04-01,14796.138,136598.0,136598.0
2016-05-01,15069.368,139120.0,139120.0
2016-06-01,12975.122,119786.0,119786.0
2016-07-01,12650.14,116786.0,116786.0
2016-08-01,12745.164,117663.0,117663.0
2016-09-01,13667.887,126182.0,126182.0
2016-10-01,14684.154,135564.0,135564.0
2016-11-01,15487.356,142979.0,142979.0
2016-12-01,16692.394,154104.0,154104.0
2017-01-01,15346.262,141385.0,141385.0
2017-02-01,13518.24,124544.0,124544.0
2017-03-01,15119.689,139298.0,139298.0
2017-04-01,14648.334,134955.0,134955.0
2017-05-01,14159.995,130456.0,130456.0
2017-06-01,13894.618,128011.0,128011.0
2017-07-01,14945.574,137694.0,137694.0
2017-08-01,14846.576,136782.0,136782.0
2017-09-01,14519.227,133766.0,133766.0
2017-10-01,13223.755,121830.0,121830.0
2017-11-01,14207.413,130893.0,130893.0
2017-12-01,14772.317,136097.0,136097.0
2018-01-01,14197.166,129251.0,129251.0
2018-02-01,13495.791,122866.0,122866.0
2018-03-01,14464.392,131684.0,131684.0
2018-04-01,12582.221,114549.0,114549.0
2018-05-01,14555.969,132518.0,132518.0
2018-06-01,13581.315,123644.0,123644.0
2018-07-01,14393.934,131042.0,131042.0
2018-08-01,14366.705,130794.0,130794.0
2018-09-01,13976.607,127243.0,127243.0
2018-10-01,13454.605,122491.0,122491.0
2018-11-01,14058.77,127991.0,127991.0
2018-12-01,14911.525,135755.0,135755.0
2019-01-01,13049.89,116209.0,116209.0
2019-02-01,12155.702,108247.0,108247.0
2019-03-01,13391.53,119252.0,119252.0
2019-04-01,11841.27,105447.0,105447.0
2019-05-01,12753.803,113573.0,113573.0
