measured_on,Anthracite Coal Generation,Anthracite Coal Quantity Consumed For Electricity,Anthracite Coal Total Fuel Consumed,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,,,,17432.0,227361.0,899088.0,,,,5958.0,74554.0,304136.0,3985.0,49706.0,203251.0
2001-02-01,,,,13946.0,182022.0,719424.0,,,,4630.0,57978.0,236389.0,3854.0,48117.0,196647.0
2001-03-01,,,,14427.0,188051.0,743976.0,,,,6766.0,84611.0,345327.0,1185.0,14770.0,60427.0
2001-04-01,,,,13330.0,174277.0,687948.0,,,,9667.0,121263.0,493776.0,426.0,5330.0,21755.0
2001-05-01,,,,6038.0,79156.0,311832.0,,,,6003.0,75514.0,306839.0,6.0,71.0,286.0
2001-06-01,,,,8562.0,111660.0,441612.0,,,,5020.0,62807.0,256256.0,0.0,0.0,0.0
2001-07-01,,,,10908.0,142348.0,562704.0,,,,6853.0,85799.0,349882.0,0.0,0.0,0.0
2001-08-01,,,,9091.0,118121.0,468432.0,,,,3549.0,44240.0,181010.0,0.0,0.0,0.0
2001-09-01,,,,6664.0,86776.0,343572.0,,,,3340.0,41731.0,170455.0,0.0,0.0,0.0
2001-10-01,,,,11068.0,144004.0,570528.0,,,,5029.0,62763.0,256539.0,0.0,0.0,0.0
2001-11-01,,,,7911.0,103194.0,408024.0,,,,4795.0,60019.0,244810.0,0.0,0.0,0.0
2001-12-01,,,,8747.0,114034.0,451104.0,,,,4969.0,62149.0,253625.0,0.0,0.0,0.0
2002-01-01,,,,8864.0,340631.0,835390.0,0.0,0.0,0.0,2948.0,113304.0,277874.0,0.0,0.0,0.0
2002-02-01,,,,10153.0,128448.0,507955.0,,,,3239.0,39328.0,160398.0,0.0,0.0,0.0
2002-03-01,,,,10725.0,135685.0,536573.0,41.0,1752.0,3840.0,3123.0,37920.0,154654.0,686.0,8303.0,33944.0
2002-04-01,,,,9503.0,120225.0,475436.0,0.0,0.0,0.0,2563.0,31120.0,126922.0,0.0,0.0,0.0
2002-05-01,,,,21.0,266.0,1051.0,0.0,0.0,0.0,14648.0,177857.0,725382.0,0.0,0.0,0.0
2002-06-01,,,,21.0,266.0,1051.0,0.0,0.0,0.0,12344.0,149881.0,611286.0,0.0,0.0,0.0
2002-07-01,,,,12138.0,449889.0,1002099.0,0.0,0.0,0.0,3101.0,114957.0,256058.0,0.0,0.0,0.0
2002-08-01,,,,12038.0,416063.0,963721.0,0.0,0.0,0.0,3201.0,110656.0,256310.0,0.0,0.0,0.0
2002-09-01,,,,11493.0,349348.0,872100.0,0.0,0.0,0.0,3558.0,108165.0,270018.0,0.0,0.0,0.0
2002-10-01,,,,10151.0,346562.0,850302.0,0.0,0.0,0.0,2875.0,98133.0,240773.0,0.0,0.0,0.0
2002-11-01,,,,10199.0,281670.0,765507.0,0.0,0.0,0.0,3312.0,101616.0,258726.0,0.0,0.0,0.0
2002-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,9594.0569,43493.64,427544.0,0.0,0.0,0.0,2014.40144,9132.08,89768.62,4392.06066,19910.94,195725.25
2004-02-01,,,,8931.96905,40492.13,408824.0,0.0,0.0,0.0,5419.425200000001,24568.39,248051.81,300.86275,1363.93,13770.75
2004-03-01,,,,8061.342500000001,36545.24,390717.6,0.0,0.0,0.0,5867.41027,26599.28,284381.97,0.39923,1.81,19.35
2004-04-01,,,,7480.14252,33910.43,419026.4,0.0,0.0,0.0,4005.04548,18156.45,224356.66,0.0,0.0,0.0
2004-05-01,,,,4553.40236,20642.37,401658.4,0.0,0.0,0.0,2661.33064,12064.86,234757.6,0.0,0.0,0.0
2004-06-01,,,,4819.59843,21849.14,410976.8,0.0,0.0,0.0,2494.04657,11306.5,212672.34,0.0,0.0,0.0
2004-07-01,,,,6607.51434,29954.46,381503.2,0.0,0.0,0.0,3575.50766,16209.18,206441.87,0.0,0.0,0.0
2004-08-01,,,,7849.00548,35582.64,412765.6,0.0,0.0,0.0,3734.13252,16928.29,196371.56,0.0,0.0,0.0
2004-09-01,,,,5787.50562,26237.04,311542.4,0.0,0.0,0.0,2978.11238,13500.96,160312.29,0.0,0.0,0.0
2004-10-01,,,,7923.10098,35918.54,398174.4,0.0,0.0,0.0,4029.83044,18268.81,202518.6,74.82558999999999,339.21,3760.35
2004-11-01,,,,8315.97072,37699.57,393276.0,0.0,0.0,0.0,3457.90431,15676.04,163530.01,1180.57198,5352.0,55831.2
2004-12-01,,,,9019.95442,40891.01,410248.8,0.0,0.0,0.0,5273.74323,23907.96,239862.28,385.44835,1747.39,17531.1
2005-01-01,,,,9452.53772,42852.08,419307.2,0.0,0.0,0.0,3392.79713,15380.89,150501.83,1559.16515,7068.31,69163.35
2005-02-01,,,,8174.80151,37059.6,375928.8,0.0,0.0,0.0,3109.09459,14094.75,142975.73,1360.3739,6167.11,62558.55
2005-03-01,,,,8646.7225,39199.0,411954.4,0.0,0.0,0.0,3520.68182,15960.64,167735.27,740.94767,3359.01,35300.85
2005-04-01,,,,6965.347000000001,31576.66,339736.8,0.0,0.0,0.0,4251.44446,19273.47,207365.42,460.45654,2087.43,22458.9
2005-05-01,,,,8293.19395,37596.32,404404.0,0.0,0.0,0.0,4601.71405,20861.38,224395.04,0.0,0.0,0.0
2005-06-01,,,,5744.2095,26040.76,296561.52,0.0,0.0,0.0,4233.3075,19191.25,218556.81,0.0,0.0,0.0
2005-07-01,,,,7835.79313,35522.74,381503.2,0.0,0.0,0.0,3107.66202,14088.26,151303.51,332.38786,1506.85,16183.05
2005-08-01,,,,6755.36086,30624.72,380889.6,0.0,0.0,0.0,3165.62335,14351.02,178488.32,581.8158000000001,2637.6,32804.7
2005-09-01,,,,6186.5397,28046.03,365381.4,0.0,0.0,0.0,2957.84058,13409.06,174692.15,604.58472,2740.82,35707.2
2005-10-01,,,,7695.88383,34888.47,451736.4,0.0,0.0,0.0,3991.92717,18096.98,234319.91,0.0,0.0,0.0
2005-11-01,,,,9333.60104,42312.89,450419.2,0.0,0.0,0.0,4754.96096,21556.11,229464.03,0.0,0.0,0.0
2005-12-01,,,,8203.68471,37190.53,404778.0,0.0,0.0,0.0,4474.80732,20286.06,220791.46,578.44897,2622.34,28541.25
