measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,54172.0,921072.0,921072.0,258.0,4512.0,4512.0,,,,,,
2003-02-01,47539.0,808008.0,808008.0,86.0,1502.0,1502.0,,,,,,
2003-03-01,26090.0,431448.0,431448.0,112.0,1902.0,1902.0,,,,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-05-01,32929.0,568968.0,568968.0,338.0,6020.0,6020.0,,,,,,
2003-06-01,52431.0,711960.0,711960.0,184.0,2569.0,2569.0,,,,,,
2003-07-01,55921.0,931704.0,931704.0,38.0,650.0,650.0,,,,,,
2003-08-01,56240.0,931704.0,931704.0,0.0,0.0,0.0,,,,,,
2003-09-01,31610.0,505896.0,505896.0,118.0,1949.0,1949.0,,,,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-12-01,39101.0,619200.0,619200.0,648.0,10562.0,10562.0,,,,,,
2004-01-01,54474.0,930672.0,930672.0,56.0,980.0,980.0,,,,,,
2004-02-01,52231.0,871296.0,871296.0,0.0,0.0,0.0,,,,,,
2004-03-01,50735.0,821784.0,821784.0,151.0,2511.0,2511.0,,,,,,
2004-04-01,34860.0,580608.0,580608.0,0.0,0.0,0.0,,,,,,
2004-05-01,50341.0,795960.0,795960.0,0.0,0.0,0.0,,,,,,
2004-06-01,54788.0,880008.0,880008.0,0.0,0.0,0.0,,,,,,
2004-07-01,54786.0,850032.0,850032.0,87.0,1392.0,1392.0,,,,,,
2004-08-01,54365.0,843480.0,843480.0,4.0,64.0,64.0,,,,,,
2004-09-01,51419.0,871248.0,871248.0,109.0,1908.0,1908.0,,,,,,
2004-10-01,15311.0,229128.0,229128.0,2.0,116.0,116.0,,,,,,
2004-11-01,35872.0,612600.0,612600.0,211.0,3706.0,3706.0,,,,,,
2004-12-01,52735.0,874560.0,874560.0,120.0,2053.0,2053.0,,,,,,
2005-01-01,52178.0,682138.0,682138.0,32.0,545.2,545.2,,,,,,
2005-02-01,50478.0,666007.0,666007.0,0.0,0.0,0.0,,,,,,
2005-03-01,55545.0,720640.8,720640.8,0.0,0.0,0.0,,,,,,
2005-04-01,54122.0,711007.1,711007.1,0.0,0.0,0.0,,,,,,
2005-05-01,39653.0,565593.9,565593.9,452.0,9181.4,9181.4,,,,,,
2005-06-01,54500.0,740936.0,740936.0,70.0,1374.6,1374.6,,,,,,
2005-07-01,52203.0,696031.4,696031.4,88.0,1693.6,1693.6,,,,,,
2005-08-01,52707.0,711019.8,711019.8,7.0,133.4,133.4,,,,,,
2005-09-01,47964.0,812275.0,812275.0,378.0,6327.8,6327.8,,,,,,
2005-10-01,16388.0,231180.0,231180.0,282.0,4822.2,4822.2,,,,,,
2005-11-01,37752.0,526500.0,526500.0,712.0,12049.8,12049.8,,,,,,
2005-12-01,47559.0,682300.0,682300.0,0.0,0.0,0.0,,,,,,
2006-01-01,47138.0,655020.0,655020.0,102.0,1721.0,1721.0,,,,,,
2006-02-01,46338.0,665160.0,665160.0,0.0,0.0,0.0,,,,,,
2006-03-01,52092.0,735700.0,735700.0,0.0,0.0,0.0,,,,,,
2006-04-01,36232.0,539380.0,539380.0,63.0,1134.0,1134.0,,,,,,
2006-05-01,37655.0,556080.0,556080.0,263.0,4725.0,4725.0,,,,,,
2006-06-01,34148.0,491200.0,491200.0,239.0,4172.0,4172.0,,,,,,
2006-07-01,47261.0,669780.0,669780.0,0.0,0.0,0.0,,,,,,
2006-08-01,44580.0,649960.0,649960.0,0.0,0.0,0.0,,,,,,
2006-09-01,42477.0,624920.0,624920.0,0.0,0.0,0.0,,,,,,
2006-10-01,28736.0,436180.0,436180.0,15.0,274.0,274.0,,,,,,
2006-11-01,6364.0,113640.0,113640.0,270.0,5865.0,5865.0,,,,,,
2006-12-01,31606.0,503916.0,503916.0,174.0,3209.0,3209.0,,,,,,
2007-01-01,47572.907,658728.0,658728.0,88.093,1220.0,1220.0,,,,,,
2007-02-01,40195.502,559524.0,559524.0,427.49800000000005,5951.0,5951.0,,,,,,
2007-03-01,46438.29,667821.0,667821.0,423.71,6093.0,6093.0,,,,,,
2007-04-01,44511.928,633255.0,633255.0,532.072,7570.0,7570.0,,,,,,
2007-05-01,54273.188,712100.0,712100.0,70.812,929.0,929.0,,,,,,
2007-06-01,53080.065,672840.0,672840.0,156.935,1989.0,1989.0,,,,,,
2007-07-01,52068.211,698200.0,698200.0,77.789,1043.0,1043.0,,,,,,
2007-08-01,55249.763,740000.0,740000.0,27.237000000000002,365.0,365.0,,,,,,
2007-09-01,49126.866,665120.0,665120.0,247.13400000000001,3346.0,3346.0,,,,,,
2007-10-01,9579.552,125816.0,125816.0,107.44800000000001,1411.0,1411.0,,,,,,
2007-11-01,37041.416,648225.0,648225.0,1249.584,21868.0,21868.0,,,,,,
2007-12-01,46270.075,659947.0,659947.0,232.925,3322.0,3322.0,,,,,,
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,47309.032,628536.0,628536.0,102.968,1368.0,1368.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,44751.307,599622.0,599622.0,82.693,1108.0,1108.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,43980.971,580934.0,580934.0,185.029,2444.0,2444.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,48400.0,642172.0,642172.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,48537.954,655013.0,655013.0,120.046,1620.0,1620.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,47015.538,609266.0,609266.0,194.46200000000002,2520.0,2520.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,54469.0,722922.0,722922.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,37283.112,499159.0,499159.0,542.888,7268.0,7268.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,51519.114,686276.0,686276.0,42.886,571.0,571.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,41384.0,507600.0,507600.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,37193.19,500695.0,500695.0,187.81,2528.0,2528.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,48834.592000000004,681459.0,681459.0,48.408,676.0,676.0
2009-01-01,,,,0.0,0.0,0.0,42756.864,616617.0,616617.0,271.136,3910.0,3910.0
2009-02-01,,,,0.0,0.0,0.0,37178.867,521207.0,521207.0,167.133,2343.0,2343.0
2009-03-01,,,,0.0,0.0,0.0,7629.0,99904.0,99904.0,0.0,0.0,0.0
2009-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,,,,0.0,0.0,0.0,12126.641,152108.0,152108.0,384.35900000000004,4821.0,4821.0
2009-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,,,,0.0,0.0,0.0,11808.961,150415.0,150415.0,173.03900000000002,2204.0,2204.0
2009-08-01,,,,0.0,0.0,0.0,5069.646000000001,77934.0,77934.0,138.354,2127.0,2127.0
2009-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
