measured_on,"Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,4500.0,0.0,0.0
2003-02-01,4020.0,0.0,0.0
2003-03-01,4150.0,0.0,0.0
2003-04-01,3780.0,0.0,0.0
2003-05-01,520.0,0.0,0.0
2003-06-01,0.0,0.0,0.0
2003-07-01,3460.0,0.0,0.0
2003-08-01,3200.0,0.0,0.0
2003-09-01,3970.0,0.0,0.0
2003-10-01,3670.0,0.0,0.0
2003-11-01,4310.0,0.0,0.0
2003-12-01,3070.0,0.0,0.0
2004-01-01,4532.216,45422.0,45422.0
2004-02-01,4557.1990000000005,45672.0,45672.0
2004-03-01,5071.718,50829.0,50829.0
2004-04-01,3932.4860000000003,39411.0,39411.0
2004-05-01,2823.288,28295.0,28295.0
2004-06-01,4699.858,47102.0,47102.0
2004-07-01,3894.137,39027.0,39027.0
2004-08-01,3705.4,37136.0,37136.0
2004-09-01,4562.838000000001,45729.0,45729.0
2004-10-01,3836.7270000000003,38452.0,38452.0
2004-11-01,4623.764,46339.0,46339.0
2004-12-01,4486.069,44959.0,44959.0
2005-01-01,4908.2,49077.0,49077.0
2005-02-01,4850.0,48495.0,48495.0
2005-03-01,3055.5,30552.0,30552.0
2005-04-01,3220.4,32201.0,32201.0
2005-05-01,4083.7,40833.0,40833.0
2005-06-01,2609.3,26090.0,26090.0
2005-07-01,3414.4,34141.0,34141.0
2005-08-01,3220.4,32201.0,32201.0
2005-09-01,3618.1,36177.0,36177.0
2005-10-01,3268.9,32686.0,32686.0
2005-11-01,3967.3,39669.0,39669.0
2005-12-01,5742.4,57418.0,57418.0
2006-01-01,3356.2,33290.0,33290.0
2006-02-01,4112.8,40795.0,40795.0
2006-03-01,4093.4,40602.0,40602.0
2006-04-01,3656.9,36273.0,36273.0
2006-05-01,533.5,5292.0,5292.0
2006-06-01,0.0,0.0,0.0
2006-07-01,3094.3,30692.0,30692.0
2006-08-01,2987.6,29634.0,29634.0
2006-09-01,2890.6,28672.0,28672.0
2006-10-01,3686.0,36561.0,36561.0
2006-11-01,3511.4,34830.0,34830.0
2006-12-01,3841.2,38101.0,38101.0
2007-01-01,4054.6,40076.0,40076.0
2007-02-01,4947.0,48896.0,48896.0
2007-03-01,4888.8,48321.0,48321.0
2007-04-01,4717.11,46624.0,46624.0
2007-05-01,4558.03,45052.0,45052.0
2007-06-01,3569.6,35282.0,35282.0
2007-07-01,3551.17,35100.0,35100.0
2007-08-01,3570.57,35292.0,35292.0
