measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,88765.67,865861.0,865861.0,0.0,0.0,0.0
2003-02-01,77219.76,782117.0,782117.0,0.0,0.0,0.0
2003-03-01,88766.64,852194.0,852194.0,0.0,0.0,0.0
2003-04-01,85428.87,839326.0,839326.0,0.0,0.0,0.0
2003-05-01,88765.67,864454.0,864454.0,0.0,0.0,0.0
2003-06-01,88269.0,820698.0,820698.0,0.0,0.0,0.0
2003-07-01,96135.0,860085.0,860085.0,0.0,0.0,0.0
2003-08-01,91434.0,871523.0,871523.0,0.0,0.0,0.0
2003-09-01,88556.0,826281.0,826281.0,0.0,0.0,0.0
2003-10-01,88870.0,872553.0,872553.0,0.0,0.0,0.0
2003-11-01,85900.29,866173.0,866173.0,0.0,0.0,0.0
2003-12-01,88557.0,896667.0,896667.0,0.0,0.0,0.0
2004-01-01,50622.025,633787.05,708434.74,32777.098,172678.78,172678.78
2004-02-01,46745.945,604003.79,654190.57,34526.034,181892.66,181892.66
2004-03-01,47200.651,606863.42,660553.99,34176.766,180052.62,180052.62
2004-04-01,45772.028,608409.97,640560.99,37666.637,198438.23,198438.23
2004-05-01,47724.57,650697.14,667886.03,42984.186,226452.54,226452.54
2004-06-01,48215.462,659004.05,674755.87,43792.971,230713.43,230713.43
2004-07-01,50807.357,701746.22,711028.38,47809.316,251872.65,251872.65
2004-08-01,49923.041,690966.0,698652.74,47302.934,249204.89,249204.89
2004-09-01,47796.916,655256.68,668898.48,43861.116,231072.44,231072.44
2004-10-01,47883.136,631172.62,670105.1,38200.139,201248.86,201248.86
2004-11-01,45171.519,587567.12,632157.11,34250.675,180442.0,180442.0
2004-12-01,47733.41,609449.67,668009.73,33593.918,176982.02,176982.02
2005-01-01,44099.642,544846.29,555598.33,29034.479,162357.43,162357.43
2005-02-01,39095.479,483020.4,492552.35,25739.82,143934.08,143934.08
2005-03-01,46653.599,576400.15,587774.86,30715.962,171760.08,171760.08
2005-04-01,47831.385,590951.58,602613.45,31491.397,176096.23,176096.23
2005-05-01,38802.702000000005,479403.18,488863.75,25547.061,142856.19,142856.19
2005-06-01,66014.86,815606.43,831701.65,43463.097,243040.59,243040.59
2005-07-01,85069.435,1051023.65,1071764.61,56008.316,313191.99,313191.99
2005-08-01,90951.955,1123701.54,1145876.72,59881.27,334849.11,334849.11
2005-09-01,60165.552,743338.88,758007.96,39612.01,221505.75,221505.75
2005-10-01,41607.614,514057.55,524202.0,27393.768,153182.77,153182.77
2005-11-01,37347.526,461424.63,470530.4,24588.996,137498.81,137498.81
2005-12-01,40351.56,498539.15,508377.35,26566.803,148558.47,148558.47
2006-01-01,44688.472,546707.06,565517.72,30513.986,180497.38,180497.38
2006-02-01,44558.218,545113.57,563869.41,30425.046,179971.29,179971.29
2006-03-01,48610.61,594689.47,615151.08,33192.083,196338.96,196338.96
2006-04-01,40870.044,499993.42,517196.79,27906.703,165074.7,165074.7
2006-05-01,39646.78,485028.33,501716.8,27071.44,160133.91,160133.91
2006-06-01,50715.877,620444.75,641792.53,34629.592000000004,204842.16,204842.16
2006-07-01,75950.22,929155.11,961124.74,51859.995,306764.03,306764.03
2006-08-01,71505.093,874774.58,904873.13,48824.793,288810.11,288810.11
2006-09-01,50718.566,620477.65,641826.57,34631.428,204853.03,204853.03
2006-10-01,56563.687,691985.34,715794.61,38622.568,228461.55,228461.55
2006-11-01,48652.33,595199.86,615679.03,33220.57,196507.47,196507.47
2006-12-01,47540.225,581594.67,601605.72,32461.207000000002,192015.66,192015.66
2007-01-01,58401.038,703236.0,703236.0,34256.0,165333.0,165333.0
2007-02-01,51049.822,609294.0,614717.0,29944.0,150417.0,150417.0
2007-03-01,61936.954,724541.0,745814.0,36330.0,197188.0,197188.0
2007-04-01,28143.526,336896.0,338890.0,16508.0,81929.0,81929.0
2007-05-01,2294.759,27632.0,27632.0,1346.0,2480.0,2480.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0
