measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2012-01-01,2250.863,25600.0,103775.0,1.311,15.0,62.0,406.69,4625.0,18743.0
2012-02-01,2050.959,23326.0,94525.0,1.276,15.0,57.0,423.537,4817.0,19520.0
2012-03-01,2037.569,23174.0,93900.0,1.124,13.0,51.0,470.088,5346.0,21665.0
2012-04-01,1949.01,22167.0,89825.0,3.632,41.0,170.0,595.668,6775.0,27454.0
2012-05-01,2266.474,25777.0,104450.0,2.194,25.0,102.0,564.96,6425.0,26037.0
2012-06-01,2372.202,26980.0,109325.0,1.784,20.0,79.0,591.373,6726.0,27255.0
2012-07-01,2918.81,33197.0,134525.0,1.963,22.0,91.0,813.097,9248.0,37474.0
2012-08-01,2885.134,32814.0,132975.0,1.461,17.0,68.0,437.621,4977.0,20169.0
2012-09-01,2314.604,26325.0,106675.0,1.116,13.0,51.0,301.802,3432.0,13910.0
2012-10-01,2192.734,24939.0,101050.0,1.956,22.0,91.0,230.554,2622.0,10626.0
2012-11-01,2387.501,27154.0,110025.0,1.507,17.0,68.0,232.269,2642.0,10705.0
2012-12-01,2486.076,28275.0,114575.0,1.344,15.0,62.0,150.737,1714.0,6947.0
2013-01-01,2477.015,29043.0,115325.0,2.042,24.0,102.0,255.067,2991.0,11880.0
2013-02-01,2401.203,28154.0,111825.0,1.271,15.0,57.0,219.86,2578.0,10239.0
