measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2004-07-01,66.84,795.0,795.0,0.0,0.0,0.0,,,,6.167000000000001,88.0,88.0,,,
2004-08-01,31.806,378.0,378.0,0.0,0.0,0.0,,,,6.167000000000001,88.0,88.0,,,
2004-09-01,75.729,900.0,900.0,0.0,0.0,0.0,,,,6.167000000000001,88.0,88.0,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.167000000000001,88.0,88.0,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.167000000000001,88.0,88.0,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.167000000000001,88.0,88.0,,,
2005-01-01,59.729000000000006,672.64,672.64,21.032,225.8,225.8,,,,28.213,294.52,294.52,,,
2005-02-01,20.521,231.1,231.1,16.826,180.64,180.64,,,,21.132,220.6,220.6,,,
2005-03-01,22.745,256.14,256.14,23.349,250.67,250.67,,,,17.906000000000002,186.92,186.92,,,
2005-04-01,27.551000000000002,310.26,310.26,22.164,237.95,237.95,,,,14.346,149.76,149.76,,,
2005-05-01,25.587,288.16,288.16,21.194000000000003,227.54,227.54,,,,11.21,117.02,117.02,,,
2005-06-01,33.21,374.0,374.0,40.009,429.52,429.52,,,,20.285,211.76,211.76,,,
2005-07-01,33.804,380.68,380.68,52.67,565.44,565.44,,,,24.769000000000002,258.56,258.56,,,
2005-08-01,39.711,447.21,447.21,52.322,561.71,561.71,,,,28.686,299.45,299.45,,,
2005-09-01,25.995,292.75,292.75,31.678,340.08,340.08,,,,21.144000000000002,220.72,220.72,,,
2005-10-01,28.868000000000002,325.1,325.1,22.461000000000002,241.14,241.14,,,,16.962,177.07,177.07,,,
2005-11-01,23.207,261.35,261.35,19.686,211.34,211.34,,,,14.702,153.47,153.47,,,
2005-12-01,49.072,552.62,552.62,24.609,264.19,264.19,,,,26.644000000000002,278.14,278.14,,,
2006-01-01,7.1690000000000005,158.0,158.0,10.893,101.0,101.0,,,,42.832,448.0,448.0,,,
2006-02-01,3.7510000000000003,83.0,83.0,12.314,114.0,114.0,,,,33.052,346.0,346.0,,,
2006-03-01,3.1510000000000002,69.0,69.0,16.226,150.0,150.0,,,,14.329,150.0,150.0,,,
2006-04-01,6.0360000000000005,133.0,133.0,13.428,125.0,125.0,,,,11.308,118.0,118.0,,,
2006-05-01,5.642,124.0,124.0,17.688000000000002,164.0,164.0,,,,8.388,88.0,88.0,,,
2006-06-01,5.128,113.0,113.0,22.784000000000002,211.0,211.0,,,,20.013,210.0,210.0,,,
2006-07-01,7.429,164.0,164.0,40.771,378.0,378.0,,,,42.608000000000004,446.0,446.0,,,
2006-08-01,7.206,159.0,159.0,36.229,336.0,336.0,,,,42.007000000000005,440.0,440.0,,,
2006-09-01,3.31,73.0,73.0,21.311,198.0,198.0,,,,9.667,101.0,101.0,,,
2006-10-01,3.4970000000000003,77.0,77.0,23.084,214.0,214.0,,,,18.901,198.0,198.0,,,
2006-11-01,4.118,91.0,91.0,15.519,144.0,144.0,,,,22.916,240.0,240.0,,,
2006-12-01,4.562,101.0,101.0,15.754000000000001,146.0,146.0,,,,23.978,251.0,251.0,,,
2007-01-01,3.873,82.0,82.0,37.399,811.0,811.0,2.962,62.0,62.0,13.091000000000001,283.0,283.0,,,
2007-02-01,20.956,455.0,455.0,60.056000000000004,1302.0,1302.0,2.815,62.0,62.0,70.82600000000001,1538.0,1538.0,,,
2007-03-01,6.856000000000001,146.0,146.0,40.282000000000004,873.0,873.0,3.444,73.0,73.0,23.173000000000002,504.0,504.0,,,
2007-04-01,4.074,87.0,87.0,39.529,857.0,857.0,4.348,94.0,94.0,13.77,301.0,301.0,,,
2007-05-01,11.051,239.0,239.0,50.561,1096.0,1096.0,5.748,125.0,125.0,37.349000000000004,812.0,812.0,,,
2007-06-01,10.237,222.0,222.0,65.453,1419.0,1419.0,5.354,114.0,114.0,34.599000000000004,750.0,750.0,,,
2007-07-01,10.361,227.0,227.0,60.197,1305.0,1305.0,5.649,125.0,125.0,35.017,756.0,756.0,,,
2007-08-01,23.178,501.0,501.0,100.358,2176.0,2176.0,5.407,120.0,120.0,78.33800000000001,1697.0,1697.0,,,
2007-09-01,10.727,233.0,233.0,47.85,1037.0,1037.0,5.578,120.0,120.0,36.255,787.0,787.0,,,
2007-10-01,14.405,315.0,315.0,49.791000000000004,1079.0,1079.0,5.904,130.0,130.0,48.685,1058.0,1058.0,,,
2007-11-01,2.8520000000000003,64.0,64.0,32.165,697.0,697.0,3.882,83.0,83.0,9.639000000000001,209.0,209.0,,,
2007-12-01,5.407,117.0,117.0,47.913000000000004,1039.0,1039.0,3.359,73.0,73.0,18.274,394.0,394.0,,,
2008-01-01,0.0,0.0,0.0,29.302000000000003,838.0,838.0,4.936,135.0,135.0,6.3500000000000005,185.0,185.0,,,
2008-02-01,0.0,0.0,0.0,22.094,630.0,630.0,4.352,125.0,125.0,7.982,228.0,228.0,,,
2008-03-01,0.0,0.0,0.0,26.896,767.0,767.0,4.737,135.0,135.0,12.973,369.0,369.0,,,
2008-04-01,0.0,0.0,0.0,13.056000000000001,372.0,372.0,5.487,156.0,156.0,5.535,160.0,160.0,,,
2008-05-01,0.0,0.0,0.0,10.724,306.0,306.0,5.952,172.0,172.0,7.9030000000000005,228.0,228.0,,,
2008-06-01,0.0,0.0,0.0,29.352,837.0,837.0,6.194,177.0,177.0,18.964000000000002,541.0,541.0,,,
2008-07-01,0.0,0.0,0.0,35.348,1008.0,1008.0,4.875,140.0,140.0,10.8,308.0,308.0,,,
2008-08-01,0.0,0.0,0.0,32.609,930.0,930.0,5.763,166.0,166.0,7.862,221.0,221.0,,,
2008-09-01,0.0,0.0,0.0,17.509,500.0,500.0,5.873,166.0,166.0,7.65,215.0,215.0,,,
2008-10-01,0.0,0.0,0.0,11.116,317.0,317.0,5.738,161.0,161.0,3.6390000000000002,105.0,105.0,,,
2008-11-01,0.0,0.0,0.0,11.717,334.0,334.0,4.303,125.0,125.0,5.696000000000001,160.0,160.0,,,
2008-12-01,0.0,0.0,0.0,17.357,495.0,495.0,4.311,125.0,125.0,7.045,203.0,203.0,,,
2009-01-01,0.0,0.0,0.0,1.346,42.0,42.0,0.6990000000000001,17.0,17.0,0.749,18.0,18.0,,,
2009-02-01,0.0,0.0,0.0,0.9770000000000001,31.0,31.0,0.69,23.0,23.0,0.35300000000000004,12.0,12.0,,,
2009-03-01,0.0,0.0,0.0,1.103,35.0,35.0,0.8470000000000001,28.0,28.0,0.534,18.0,18.0,,,
2009-04-01,0.0,0.0,0.0,0.667,21.0,21.0,0.805,28.0,28.0,0.535,18.0,18.0,,,
2009-05-01,0.0,0.0,0.0,0.546,17.0,17.0,1.106,34.0,34.0,0.8580000000000001,25.0,25.0,,,
2009-06-01,0.0,0.0,0.0,1.06,34.0,34.0,0.9660000000000001,28.0,28.0,0.95,31.0,31.0,,,
2009-07-01,0.0,0.0,0.0,0.777,25.0,25.0,1.028,34.0,34.0,0.548,18.0,18.0,,,
2009-08-01,0.0,0.0,0.0,1.9180000000000001,61.0,61.0,1.006,34.0,34.0,0.654,18.0,18.0,,,
2009-09-01,0.0,0.0,0.0,1.46,46.0,46.0,0.683,23.0,23.0,0.375,12.0,12.0,,,
2009-10-01,0.0,0.0,0.0,1.233,39.0,39.0,0.96,28.0,28.0,0.532,18.0,18.0,,,
2009-11-01,0.0,0.0,0.0,0.748,24.0,24.0,1.083,34.0,34.0,0.325,12.0,12.0,,,
2009-12-01,0.0,0.0,0.0,0.683,22.0,22.0,0.8220000000000001,28.0,28.0,0.374,12.0,12.0,,,
2010-01-01,2.4410000000000003,28.0,28.0,2.486,27.0,27.0,0.0,0.0,0.0,11.618,135.0,135.0,,,
2010-02-01,1.955,23.0,23.0,1.431,16.0,16.0,0.0,0.0,0.0,9.298,105.0,105.0,,,
2010-03-01,2.236,23.0,23.0,1.3900000000000001,16.0,16.0,0.0,0.0,0.0,10.632,117.0,117.0,,,
2010-04-01,2.2600000000000002,23.0,23.0,1.699,19.0,19.0,0.0,0.0,0.0,10.747,123.0,123.0,,,
2010-05-01,4.825,57.0,57.0,3.2590000000000003,37.0,37.0,0.0,0.0,0.0,22.942,258.0,258.0,,,
2010-06-01,3.4280000000000004,40.0,40.0,4.462000000000001,50.0,50.0,0.0,0.0,0.0,16.299,185.0,185.0,,,
2010-07-01,2.525,28.0,28.0,6.489,73.0,73.0,0.0,0.0,0.0,12.005,135.0,135.0,,,
2010-08-01,3.1340000000000003,34.0,34.0,6.277,71.0,71.0,0.0,0.0,0.0,14.901000000000002,166.0,166.0,,,
2010-09-01,2.426,28.0,28.0,1.997,22.0,22.0,0.0,0.0,0.0,11.536000000000001,129.0,129.0,,,
2010-10-01,1.276,17.0,17.0,2.3850000000000002,27.0,27.0,0.0,0.0,0.0,6.0680000000000005,68.0,68.0,,,
2010-11-01,1.625,17.0,17.0,2.091,24.0,24.0,0.0,0.0,0.0,7.726,86.0,86.0,,,
2010-12-01,3.012,34.0,34.0,3.798,43.0,43.0,0.0,0.0,0.0,14.321000000000002,160.0,160.0,,,
2011-01-01,8.366,96.0,96.0,25.201,284.0,284.0,0.0,0.0,0.0,88.436,1002.0,1002.0,,,
2011-02-01,5.942,68.0,68.0,17.761,202.0,202.0,0.0,0.0,0.0,62.81,713.0,713.0,,,
2011-03-01,7.176,79.0,79.0,20.342,231.0,231.0,0.0,0.0,0.0,75.85,861.0,861.0,,,
2011-04-01,21.297,243.0,243.0,14.228,162.0,162.0,0.0,0.0,0.0,225.114,2558.0,2558.0,,,
2011-05-01,10.536,119.0,119.0,18.881,214.0,214.0,0.0,0.0,0.0,111.371,1267.0,1267.0,,,
2011-06-01,11.82,136.0,136.0,19.964,227.0,227.0,0.0,0.0,0.0,124.945,1421.0,1421.0,,,
2011-07-01,13.292,153.0,153.0,49.201,559.0,559.0,0.0,0.0,0.0,140.497,1593.0,1593.0,,,
2011-08-01,12.09,136.0,136.0,32.094,365.0,365.0,0.0,0.0,0.0,127.797,1451.0,1451.0,,,
2011-09-01,5.364,62.0,62.0,11.682,133.0,133.0,0.0,0.0,0.0,56.704,646.0,646.0,,,
2011-10-01,7.497,85.0,85.0,15.916,181.0,181.0,0.0,0.0,0.0,79.246,898.0,898.0,,,
2011-11-01,4.47,51.0,51.0,21.994,250.0,250.0,0.0,0.0,0.0,47.246,535.0,535.0,,,
2011-12-01,6.126,68.0,68.0,26.992,307.0,307.0,0.0,0.0,0.0,64.752,738.0,738.0,,,
2012-01-01,6.868,79.0,79.0,22.795,253.0,253.0,0.0,0.0,0.0,56.777,627.0,627.0,,,
2012-02-01,6.687,73.0,73.0,23.739,263.0,263.0,0.0,0.0,0.0,55.283,609.0,609.0,,,
2012-03-01,5.887,68.0,68.0,26.348,292.0,292.0,0.0,0.0,0.0,48.667,541.0,541.0,,,
2012-04-01,19.03,209.0,209.0,33.387,369.0,369.0,0.0,0.0,0.0,157.322,1740.0,1740.0,,,
2012-05-01,11.496,130.0,130.0,31.665,350.0,350.0,0.0,0.0,0.0,95.039,1052.0,1052.0,,,
2012-06-01,9.345,102.0,102.0,33.146,367.0,367.0,0.0,0.0,0.0,77.26,855.0,855.0,,,
2012-07-01,10.283,113.0,113.0,45.573,504.0,504.0,0.0,0.0,0.0,85.015,941.0,941.0,,,
2012-08-01,7.655,85.0,85.0,24.528,271.0,271.0,0.0,0.0,0.0,63.284,701.0,701.0,,,
2012-09-01,5.846,62.0,62.0,16.916,187.0,187.0,0.0,0.0,0.0,48.333,535.0,535.0,,,
2012-10-01,10.25,113.0,113.0,12.922,143.0,143.0,0.0,0.0,0.0,84.735,935.0,935.0,,,
2012-11-01,7.898,85.0,85.0,13.018,144.0,144.0,0.0,0.0,0.0,65.296,726.0,726.0,,,
2012-12-01,7.042,79.0,79.0,8.449,94.0,94.0,0.0,0.0,0.0,58.216,646.0,646.0,,,
2013-01-01,0.122,23.0,23.0,2.635,478.0,478.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.076,11.0,11.0,2.27,412.0,412.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.072,11.0,11.0,3.677,668.0,668.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.087,17.0,17.0,3.794,689.0,689.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.164,28.0,28.0,4.681,850.0,850.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.172,34.0,34.0,3.368,612.0,612.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.09,17.0,17.0,4.801,872.0,872.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.088,17.0,17.0,4.226,767.0,767.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.104,17.0,17.0,2.537,461.0,461.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.072,11.0,11.0,2.81,510.0,510.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.08,17.0,17.0,2.736,497.0,497.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.118,23.0,23.0,3.22,585.0,585.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,-0.223,17.0,17.0,-8.571,463.0,463.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,-0.206,11.0,11.0,-8.019,434.0,434.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,-0.148,6.0,6.0,-6.2,335.0,335.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,-0.133,6.0,6.0,-5.764,312.0,312.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,-0.135,6.0,6.0,-6.036,326.0,326.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,-0.167,11.0,11.0,-6.268,339.0,339.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,-0.116,6.0,6.0,-3.999,216.0,216.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,-0.17,11.0,11.0,-6.55,354.0,354.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,-0.119,6.0,6.0,-5.341,289.0,289.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,-0.108,6.0,6.0,-5.913,320.0,320.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,-0.322,17.0,17.0,-4.832,261.0,261.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,-0.14,6.0,6.0,-6.52,352.0,352.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0,50.0,50.0,,,,0.0,0.0,0.0,,,
2015-02-01,0.0,0.0,0.0,0.0,53.0,53.0,,,,0.0,0.0,0.0,,,
2015-03-01,0.0,0.0,0.0,0.0,52.0,52.0,,,,0.0,0.0,0.0,,,
2015-04-01,0.0,0.0,0.0,0.0,38.0,38.0,,,,0.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,0.0,43.0,43.0,,,,0.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,0.0,50.0,50.0,,,,0.0,0.0,0.0,,,
2015-07-01,0.0,0.0,0.0,0.0,60.0,60.0,,,,0.0,0.0,0.0,,,
2015-08-01,0.0,0.0,0.0,0.0,51.0,51.0,,,,0.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,0.0,50.0,50.0,,,,0.0,0.0,0.0,,,
2015-10-01,0.0,0.0,0.0,0.0,57.0,57.0,,,,0.0,0.0,0.0,,,
2015-11-01,0.0,0.0,0.0,0.0,52.0,52.0,,,,0.0,0.0,0.0,,,
2015-12-01,0.0,29.0,29.0,0.0,62.0,62.0,,,,0.0,0.0,0.0,,,
2016-01-01,0.0,0.0,0.0,1.594,23.0,23.0,,,,0.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,1.611,22.0,22.0,,,,0.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,1.834,25.0,25.0,,,,0.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,2.107,29.0,29.0,,,,0.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,2.169,30.0,30.0,,,,0.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,2.063,29.0,29.0,,,,0.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,2.323,32.0,32.0,,,,0.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,2.774,38.0,38.0,,,,0.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,1.66,23.0,23.0,,,,0.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,1.606,22.0,22.0,,,,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,1.665,23.0,23.0,,,,0.0,0.0,0.0,,,
2016-12-01,2.105,29.0,29.0,1.489,21.0,21.0,,,,0.0,0.0,0.0,,,
2017-01-01,1.845,29.0,29.0,4.969,74.0,74.0,,,,0.0,0.0,0.0,,,
2017-02-01,1.191,17.0,17.0,4.056,60.0,60.0,,,,0.0,0.0,0.0,,,
2017-03-01,1.332,17.0,17.0,6.415,96.0,96.0,,,,0.0,0.0,0.0,,,
2017-04-01,1.562,23.0,23.0,4.569,68.0,68.0,,,,0.0,0.0,0.0,,,
2017-05-01,1.489,23.0,23.0,5.34,80.0,80.0,,,,0.0,0.0,0.0,,,
2017-06-01,1.404,23.0,23.0,5.989,89.0,89.0,,,,0.0,0.0,0.0,,,
2017-07-01,1.245,17.0,17.0,7.137,106.0,106.0,,,,0.0,0.0,0.0,,,
2017-08-01,1.979,29.0,29.0,6.364,95.0,95.0,,,,0.0,0.0,0.0,,,
2017-09-01,1.78,29.0,29.0,5.599,83.0,83.0,,,,0.0,0.0,0.0,,,
2017-10-01,1.691,23.0,23.0,6.149,92.0,92.0,,,,0.0,0.0,0.0,,,
2017-11-01,1.73,23.0,23.0,5.197,77.0,77.0,,,,0.0,0.0,0.0,,,
2017-12-01,3.507,52.0,52.0,6.461,96.0,96.0,,,,0.0,0.0,0.0,,,
2018-01-01,0.0,0.0,0.0,5.157,66.0,66.0,,,,0.0,0.0,0.0,,,
2018-02-01,0.0,0.0,0.0,4.469,56.0,56.0,,,,0.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,5.927,75.0,75.0,,,,0.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,4.933,62.0,62.0,,,,0.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,5.386,68.0,68.0,,,,0.0,0.0,0.0,,,
2018-06-01,0.0,0.0,0.0,4.711,59.0,59.0,,,,0.0,0.0,0.0,,,
2018-07-01,0.0,0.0,0.0,5.193,65.0,65.0,,,,0.0,0.0,0.0,,,
2018-08-01,0.0,0.0,0.0,5.393,68.0,68.0,,,,0.0,0.0,0.0,,,
2018-09-01,0.0,0.0,0.0,4.482,56.0,56.0,,,,0.0,0.0,0.0,,,
2018-10-01,0.0,0.0,0.0,4.247,54.0,54.0,,,,0.0,0.0,0.0,,,
2018-11-01,0.0,0.0,0.0,3.778,48.0,48.0,,,,0.0,0.0,0.0,,,
2018-12-01,4.163,52.0,52.0,4.161,52.0,52.0,,,,0.0,0.0,0.0,,,
2019-01-01,0.0,0.0,0.0,4.916,79.0,79.0,,,,0.0,0.0,0.0,,,
2019-02-01,0.0,0.0,0.0,4.204,67.0,67.0,,,,0.0,0.0,0.0,,,
2019-03-01,0.0,0.0,0.0,4.505,72.0,72.0,,,,0.0,0.0,0.0,,,
2019-04-01,0.0,0.0,0.0,4.65,74.0,74.0,,,,0.0,0.0,0.0,,,
2019-05-01,0.0,0.0,0.0,4.404,70.0,70.0,,,,0.0,0.0,0.0,,,
2019-06-01,0.0,0.0,0.0,4.586,73.0,73.0,,,,0.0,0.0,0.0,,,
2019-07-01,0.0,0.0,0.0,6.261,100.0,100.0,,,,0.0,0.0,0.0,,,
2019-08-01,0.0,0.0,0.0,5.863,93.0,93.0,,,,0.0,0.0,0.0,,,
2019-09-01,0.0,0.0,0.0,4.652,74.0,74.0,,,,0.0,0.0,0.0,,,
2019-10-01,0.0,0.0,0.0,5.476,87.0,87.0,,,,0.0,0.0,0.0,,,
2019-11-01,0.0,0.0,0.0,4.97,79.0,79.0,,,,0.0,0.0,0.0,,,
2019-12-01,3.294,52.0,52.0,5.219,83.0,83.0,,,,0.0,0.0,0.0,,,
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
