measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-01-01,525.407,7350.0,10819.0,185.341,2219.0,5000.0,1843.827,25794.0,37964.0,905.576,10841.0,24446.0
2013-02-01,167.712,2346.0,3454.0,59.162,708.0,1595.0,1890.317,26444.0,38923.0,928.41,11115.0,25062.0
2013-03-01,50.035,700.0,1029.0,17.65,211.0,479.0,1966.546,27511.0,40491.0,965.849,11563.0,26072.0
2013-04-01,38.642,541.0,798.0,13.631,163.0,369.0,1632.019,22831.0,33604.0,801.55,9596.0,21637.0
2013-05-01,88.479,1238.0,1821.0,31.212,374.0,842.0,1915.938,26803.0,39450.0,940.994,11265.0,25402.0
2013-06-01,151.068,2113.0,3113.0,53.29,638.0,1441.0,2229.531,31189.0,45907.0,1095.012,13109.0,29559.0
2013-07-01,438.602,6136.0,9031.0,154.72,1852.0,4175.0,3237.396,45289.0,66659.0,1590.015,19035.0,42921.0
2013-08-01,73.334,1026.0,1513.0,25.869,310.0,699.0,2398.868,33558.0,49394.0,1178.18,14105.0,31804.0
2013-09-01,96.48,1350.0,1986.0,34.034,407.0,919.0,1888.566,26420.0,38887.0,927.55,11104.0,25038.0
2013-10-01,32.152,450.0,660.0,11.342,136.0,308.0,1618.716,22645.0,33330.0,795.016,9518.0,21461.0
2013-11-01,34.719,486.0,715.0,12.247,147.0,330.0,1739.458,24334.0,35816.0,854.317,10228.0,23062.0
2013-12-01,82.897,1160.0,1705.0,29.243,350.0,792.0,2015.291,28192.0,41496.0,989.79,11850.0,26719.0
2014-01-01,1047.41,12540.0,15098.0,1620.04,19395.0,32769.0,2206.971,26422.0,31813.0,972.607,11644.0,19675.0
2014-02-01,373.069,4466.0,5379.0,577.032,6908.0,11671.0,2499.123,29920.0,36025.0,1101.356,13185.0,22278.0
2014-03-01,294.679,3528.0,4246.0,455.785,5457.0,9218.0,2654.632,31782.0,38267.0,1169.888,14006.0,23664.0
2014-04-01,7.701,92.0,110.0,11.912,143.0,242.0,2196.659,26299.0,31665.0,968.061,11590.0,19582.0
2014-05-01,6.748,81.0,99.0,10.438,125.0,209.0,2366.554,28333.0,34115.0,1042.933,12486.0,21096.0
2014-06-01,16.099,193.0,231.0,24.9,298.0,506.0,3111.793,37255.0,44857.0,1371.358,16418.0,27740.0
2014-07-01,26.507,317.0,380.0,40.999,491.0,831.0,3646.706,43659.0,52568.0,1607.092,19240.0,32508.0
2014-08-01,19.808,237.0,286.0,30.638,367.0,622.0,3338.538,39970.0,48126.0,1471.283,17614.0,29761.0
2014-09-01,14.334,172.0,209.0,22.171,265.0,451.0,3111.852,37256.0,44858.0,1371.383,16418.0,27740.0
2014-10-01,12.851,154.0,187.0,19.877,238.0,402.0,2622.07,31392.0,37798.0,1155.538,13834.0,23374.0
2014-11-01,19.06,228.0,275.0,29.48,353.0,594.0,2469.51,29565.0,35598.0,1088.305,13029.0,22014.0
2014-12-01,22.143,265.0,319.0,34.25,410.0,693.0,2688.183,32183.0,38751.0,1184.674,14183.0,23964.0
2015-01-01,391.157,4683.0,4972.0,652.679,7814.0,8124.0,2033.991,24351.0,25869.0,1012.566,12122.0,12596.0
2015-02-01,1412.99,16916.0,17974.0,2357.703,28227.0,29326.0,1701.085,20365.0,21636.0,846.838,10138.0,10534.0
2015-03-01,108.778,1302.0,1386.0,181.506,2173.0,2261.0,2335.596,27962.0,29706.0,1162.712,13920.0,14463.0
2015-04-01,13.373,160.0,171.0,22.315,267.0,275.0,1698.633,20336.0,21605.0,845.617,10124.0,10518.0
2015-05-01,19.002,227.0,242.0,31.707,380.0,396.0,2321.142,27789.0,29523.0,1155.516,13834.0,14374.0
2015-06-01,16.296,195.0,209.0,27.191,326.0,336.0,2290.636,27423.0,29135.0,1140.329,13652.0,14185.0
2015-07-01,41.742,500.0,534.0,69.651,834.0,869.0,3032.751,36308.0,38574.0,1509.771,18075.0,18780.0
2015-08-01,46.47,556.0,589.0,77.54,928.0,963.0,3053.742,36559.0,38840.0,1520.22,18200.0,18910.0
2015-09-01,39.495,473.0,501.0,65.901,789.0,820.0,2762.63,33074.0,35137.0,1375.298,16465.0,17107.0
2015-10-01,15.166,182.0,193.0,25.305,303.0,314.0,2299.378,27528.0,29246.0,1144.682,13704.0,14239.0
2015-11-01,6.931,83.0,88.0,11.565,138.0,143.0,1869.024,22376.0,23772.0,930.442,11139.0,11574.0
2015-12-01,18.295,219.0,231.0,30.528,365.0,380.0,1804.697,21606.0,22954.0,898.418,10756.0,11176.0
2016-01-01,41.581,515.0,556.0,60.433,748.0,996.0,2098.39,25988.0,28565.0,41.0,508.0,676.0
2016-02-01,101.391,1256.0,1381.0,147.36,1825.0,2431.0,1991.203,24660.0,27107.0,38.909,482.0,642.0
2016-03-01,7.16,89.0,99.0,10.406,129.0,171.0,2178.664,26982.0,29659.0,42.572,527.0,701.0
2016-04-01,7.152,89.0,99.0,10.395,129.0,171.0,2293.869,28409.0,31227.0,44.823,555.0,740.0
2016-05-01,3.543,44.0,50.0,5.149,64.0,83.0,2592.798,32111.0,35296.0,50.664,627.0,835.0
2016-06-01,4.414,55.0,61.0,6.415,79.0,105.0,2943.299,36452.0,40068.0,57.513,712.0,949.0
2016-07-01,26.999,334.0,369.0,39.24,486.0,649.0,3818.42,47290.0,51981.0,74.613,924.0,1230.0
2016-08-01,42.275,524.0,578.0,61.442,761.0,1012.0,4121.785,51047.0,56110.0,80.541,997.0,1328.0
2016-09-01,11.831,147.0,160.0,17.195,213.0,286.0,2984.896,36967.0,40635.0,58.326,722.0,962.0
2016-10-01,4.257,53.0,61.0,6.187,77.0,105.0,2177.665,26970.0,29645.0,42.552,527.0,701.0
2016-11-01,4.837,60.0,66.0,7.03,87.0,116.0,1984.347,24575.0,27014.0,38.775,480.0,640.0
2016-12-01,27.778,344.0,380.0,40.372,500.0,666.0,2307.446,28577.0,31412.0,45.088,558.0,744.0
2017-01-01,16.617,206.0,248.0,21.351,264.0,534.0,2249.056,27854.0,33018.0,58.574,725.0,1457.0
2017-02-01,13.841,171.0,204.0,17.785,220.0,440.0,1953.138,24190.0,28673.0,50.867,630.0,1265.0
2017-03-01,21.101,261.0,308.0,27.114,336.0,677.0,2130.825,26390.0,31282.0,55.495,687.0,1380.0
2017-04-01,19.962,247.0,292.0,25.65,318.0,638.0,1848.471,22893.0,27136.0,48.141,596.0,1197.0
2017-05-01,10.269,127.0,149.0,13.195,163.0,330.0,2001.162,24784.0,29379.0,52.118,645.0,1296.0
2017-06-01,7.919,98.0,116.0,10.176,126.0,253.0,2503.981,31012.0,36761.0,65.213,808.0,1622.0
2017-07-01,7.486,93.0,110.0,9.618,119.0,237.0,3186.815,39469.0,46785.0,82.996,1028.0,2064.0
2017-08-01,5.743,71.0,83.0,7.379,91.0,182.0,3015.201,37343.0,44265.0,78.527,972.0,1953.0
2017-09-01,6.238,77.0,94.0,8.015,99.0,198.0,2497.564,30932.0,36666.0,65.046,806.0,1617.0
2017-10-01,11.233,139.0,165.0,14.433,179.0,358.0,1999.811,24768.0,29359.0,52.082,645.0,1295.0
2017-11-01,13.036,161.0,193.0,16.75,207.0,418.0,1810.65,22425.0,26581.0,47.156,584.0,1173.0
2017-12-01,199.611,2472.0,2932.0,256.485,3176.0,6380.0,2182.27,27027.0,32037.0,56.834,704.0,1413.0
2018-01-01,580.377,7188.0,16671.0,449.676,5569.0,5704.0,1923.31,23820.0,55224.0,102.567,1270.0,1301.0
2018-02-01,12.176,151.0,352.0,9.434,117.0,121.0,1673.493,20726.0,48053.0,89.245,1105.0,1132.0
2018-03-01,12.135,150.0,347.0,9.402,116.0,121.0,1860.205,23038.0,53414.0,99.202,1229.0,1259.0
2018-04-01,9.65,120.0,275.0,7.477,93.0,94.0,1923.435,23821.0,55229.0,102.574,1270.0,1302.0
2018-05-01,2.291,28.0,66.0,1.775,22.0,22.0,2135.305,26445.0,61313.0,113.872,1410.0,1445.0
2018-06-01,5.9,73.0,171.0,4.572,57.0,61.0,2480.86,30725.0,71235.0,132.3,1639.0,1679.0
2018-07-01,5.433,67.0,154.0,4.209,52.0,55.0,3518.526,43576.0,101030.0,187.637,2324.0,2381.0
2018-08-01,4.679,58.0,132.0,3.626,44.0,44.0,3670.462,45458.0,105393.0,195.739,2424.0,2483.0
