measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,176.4,1090.0,10934.0,1669.3390000000002,10314.0,103481.0,282.64300000000003,1746.0,17519.0
2003-02-01,169.12300000000002,1045.0,10483.0,1600.469,9889.0,99212.0,270.982,1674.0,16796.0
2003-03-01,170.885,1056.0,10592.0,1617.144,9992.0,100246.0,273.80600000000004,1692.0,16971.0
2003-04-01,156.223,965.0,9683.0,1478.392,9135.0,91644.0,250.31300000000002,1546.0,15515.0
2003-05-01,159.013,982.0,9856.0,1504.8010000000002,9298.0,93282.0,254.78400000000002,1574.0,15792.0
2003-06-01,166.157,1027.0,10299.0,1572.4060000000002,9715.0,97472.0,266.231,1645.0,16501.0
2003-07-01,192.369,1189.0,11924.0,1820.46,11248.0,112849.0,308.23,1904.0,19105.0
2003-08-01,205.84900000000002,1272.0,12759.0,1948.0210000000002,12036.0,120756.0,329.82800000000003,2038.0,20443.0
2003-09-01,175.537,1085.0,10881.0,1661.174,10264.0,102975.0,281.261,1738.0,17433.0
2003-10-01,170.97400000000002,1056.0,10598.0,1617.986,9997.0,100298.0,273.94800000000004,1692.0,16980.0
2003-11-01,171.91400000000002,1062.0,10656.0,1626.8890000000001,10052.0,100850.0,275.456,1702.0,17073.0
2003-12-01,187.55700000000002,1159.0,11626.0,1774.9180000000001,10967.0,110026.0,300.519,1857.0,18627.0
2004-01-01,505.03468,2286.31,39101.46,1385.55078,6272.43,107273.94,214.95654,973.11,16642.65
2004-02-01,276.78223,1253.0,19013.07,1486.03699,6727.33,102080.7,228.39078,1033.93,15688.9
2004-03-01,310.41751,1405.27,19006.89,1515.91185,6862.58,92819.41,293.28264,1327.7,17957.72
2004-04-01,307.21958,1390.79,21655.96,1352.67749,6123.61,95350.46,209.49793,948.4,14767.54
2004-05-01,197.18262,892.65,11787.32,1647.52604,7458.4,98486.96,297.36933999999997,1346.2,17776.35
2004-06-01,160.78503,727.88,10708.37,1527.40328,6914.6,101725.89,221.33669,1002.0,14741.14
2004-07-01,176.20028,797.66,7843.09,2484.92434,11249.33,110609.84,706.74037,3199.43,31458.68
2004-08-01,167.86615,759.94,10376.26,1845.74105,8355.72,114090.24,300.8768,1362.08,18598.01
2004-09-01,185.56031000000002,840.04,10802.76,1693.81136,7667.93,98608.58,316.14833,1431.21,18405.2
2004-10-01,69.40742,314.21,3903.67,1923.10988,8705.97,108161.15,343.6427,1555.68,19327.44
2004-11-01,109.49874,495.7,6259.72,1955.84056,8854.15,111809.63,349.4567,1582.0,19977.41
2004-12-01,172.60545,781.39,9584.43,2093.03447,9475.23,116221.95,409.47408,1853.7,22737.26
2005-01-01,168.23307,761.6,11763.43,1490.91312,6749.41,104249.73,309.3618,1400.49,21631.63
2005-02-01,151.95821999999998,687.92,10428.59,1379.2333,6243.83,94654.03,292.52547,1324.27,20075.44
2005-03-01,180.81776,818.57,12444.69,1474.22733,6673.87,101462.94,315.36391,1427.66,21704.76
2005-04-01,187.49957,848.82,12758.86,1226.67232,5553.19,83471.87,274.23810000000003,1241.48,18661.19
2005-05-01,173.84145,786.99,10350.49,1331.88993,6029.5,79300.5,347.82862,1574.63,20709.66
2005-06-01,231.59923,1048.46,17609.24,1336.86937,6052.05,101646.51,263.6994,1193.78,20049.92
2005-07-01,291.04434,1317.57,22691.98,1454.55236,6584.8,113407.71,284.8023,1289.31,22205.3
2005-08-01,317.04729,1435.28,24261.12,1467.92466,6645.34,112328.66,298.76405,1352.51,22862.05
2005-09-01,226.07205,1023.43,16048.96,1425.41462,6452.89,101190.85,303.15733,1372.4,21521.28
2005-10-01,163.40237,739.73,11098.69,1395.1330600000001,6315.81,94760.86,302.01358,1367.22,20513.5
2005-11-01,151.92273,687.76,9962.33,1419.11731,6424.39,93058.59,318.59297,1442.28,20891.73
2005-12-01,156.98421,710.67,10763.64,1565.5414,7087.25,107341.52,329.16939,1490.16,22569.54
2006-01-01,184.64836,835.91,11030.2,1518.92769,6876.23,90735.04,569.53896,2578.32,34022.12
2006-02-01,178.43187,807.77,10998.05,1384.0858699999999,6265.8,85311.25,501.10126,2268.5,30886.5
2006-03-01,208.27307,942.86,11998.28,1446.10862,6546.57,83308.02,580.69231,2628.81,33452.76
2006-04-01,167.52787,758.4,10087.72,1384.82062,6269.12,83387.22,513.48651,2324.57,30919.68
2006-05-01,157.15332999999998,711.44,9785.79,1408.37455,6375.75,87698.16,495.36113,2242.51,30845.67
2006-06-01,193.60706,876.46,12517.91,1387.53767,6281.42,89713.01,476.26725999999996,2156.08,30793.66
2006-07-01,283.77675999999997,1284.67,18746.36,1426.1304,6456.14,94210.51,500.89884,2267.58,33089.5
2006-08-01,281.34727,1273.67,17649.19,1501.16142,6795.8,94169.33,558.56331,2528.63,35039.22
2006-09-01,210.38811,952.43,12518.57,1429.26959,6470.34,85044.78,551.0483,2494.61,32788.62
2006-10-01,241.95176,1095.32,13961.29,1442.97787,6532.4,83263.84,590.10837,2671.44,34050.9
2006-11-01,205.94895,932.34,12008.58,1447.72788,6553.91,84414.88,571.06817,2585.24,33298.14
2006-12-01,198.64648,899.28,11734.08,1523.17193,6895.44,89974.02,584.33059,2645.28,34516.5
2007-01-01,279.175,1226.0,13622.0,1813.238,7955.0,88475.0,638.1790000000001,2798.0,31134.0
2007-02-01,417.742,1834.0,20383.0,1458.787,6406.0,71174.0,499.146,2191.0,24358.0
2007-03-01,314.757,1382.0,15358.0,1396.0610000000001,6125.0,68112.0,557.986,2446.0,27227.0
2007-04-01,252.65200000000002,1109.0,12327.0,1623.6870000000001,7128.0,79218.0,551.905,2420.0,26928.0
2007-05-01,214.863,944.0,10484.0,1596.114,7005.0,77880.0,659.004,2895.0,32155.0
2007-06-01,299.97700000000003,1317.0,14637.0,1816.912,7973.0,88651.0,605.461,2658.0,29542.0
2007-07-01,334.062,1467.0,16300.0,1861.0980000000002,8166.0,90798.0,738.231,3238.0,36018.0
2007-08-01,484.03200000000004,2125.0,23617.0,1941.58,8518.0,94741.0,683.7130000000001,3001.0,33361.0
2007-09-01,186.99200000000002,821.0,9124.0,1755.606,7709.0,85659.0,617.557,2710.0,30131.0
2007-10-01,273.904,1203.0,13364.0,1737.5710000000001,7638.0,84779.0,720.537,3168.0,35156.0
2007-11-01,177.214,778.0,8647.0,1594.1860000000001,7005.0,77792.0,728.878,3203.0,35561.0
