measured_on,"Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 2","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 3","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 2","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 3","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 2","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 3"
2003-01-01,838931.0,140365.0,8742499.95,1462743.67,8742499.95,1462743.67
2003-02-01,701416.0,259624.0,7309456.14,2705541.7,7309456.14,2705541.7
2003-03-01,834978.0,831891.0,8701305.74,8669136.11,8701305.74,8669136.11
2003-04-01,810276.0,807839.0,8443886.2,8418490.22,8443886.2,8418490.22
2003-05-01,836140.0,829402.0,8713414.94,8643198.24,8713414.94,8643198.24
2003-06-01,738999.0,802035.0,7701108.58,8358006.74,7701108.58,8358006.74
2003-07-01,828821.0,830375.0,8637143.64,8653337.88,8637143.64,8653337.88
2003-08-01,833948.0,833845.0,8690572.11,8689498.75,8690572.11,8689498.75
2003-09-01,806668.0,805515.0,8406287.23,8394271.82,8406287.23,8394271.82
2003-10-01,833805.0,831181.0,8689081.91,8661737.2,8689081.91,8661737.2
2003-11-01,809521.0,792379.0,8436018.34,8257381.56,8436018.34,8257381.56
2003-12-01,838979.0,831817.0,8743000.16,8668364.96,8743000.16,8668364.96
2004-01-01,837927.0,637290.0,8737064.83,6645022.83,8737064.83,6645022.83
2004-02-01,224480.0,766842.0,2340652.96,7995861.53,2340652.96,7995861.53
2004-03-01,-13145.0,831733.0,-137062.92,8672479.99,-137062.92,8672479.99
2004-04-01,527254.0,806143.0,5497677.46,8405653.06,5497677.46,8405653.06
2004-05-01,833492.0,829588.0,8690821.08,8650114.08,8690821.08,8650114.08
2004-06-01,807206.0,730003.0,8416736.96,7611741.28,8416736.96,7611741.28
2004-07-01,836539.0,830382.0,8722592.15,8658393.11,8722592.15,8658393.11
2004-08-01,833616.0,826752.0,8692114.03,8620543.1,8692114.03,8620543.1
2004-09-01,805501.0,691506.0,8398958.93,7210333.06,8398958.93,7210333.06
2004-10-01,835011.0,-3062.0,8706659.7,-31927.47,8706659.7,-31927.47
2004-11-01,692740.0,0.0,7223199.98,0.0,7223199.98,0.0
2004-12-01,834257.0,35395.0,8698797.74,369063.67,8698797.74,369063.67
2005-01-01,783942.0,677869.0,8180434.77,7073563.02,8180434.77,7073563.02
2005-02-01,231691.0,753859.0,2417695.59,7866518.67,2417695.59,7866518.67
2005-03-01,615895.0,834361.0,6426864.33,8706557.04,6426864.33,8706557.04
2005-04-01,754654.0,810096.0,7874814.49,8453351.76,7874814.49,8453351.76
2005-05-01,828200.0,654086.0,8642267.0,6825387.41,8642267.0,6825387.41
2005-06-01,802495.0,807640.0,8374035.33,8427723.4,8374035.33,8427723.4
2005-07-01,828090.0,830178.0,8641119.15,8662907.43,8641119.15,8662907.43
2005-08-01,829873.0,834234.0,8659724.76,8705231.79,8659724.76,8705231.79
2005-09-01,808255.0,808404.0,8434140.93,8435695.74,8434140.93,8435695.74
2005-10-01,822095.0,834232.0,8578561.33,8705210.92,8578561.33,8705210.92
2005-11-01,807383.0,800683.0,8425041.61,8355127.11,8425041.61,8355127.11
