measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2013-01-01,22.118,268.0,284.0,0.0,0.0,0.0,1150.862,13925.0,14882.0
2013-02-01,7.06,85.0,93.0,0.0,0.0,0.0,1179.882,14276.0,15256.0
2013-03-01,2.106,25.0,29.0,0.0,0.0,0.0,1227.461,14851.0,15872.0
2013-04-01,1.627,20.0,23.0,0.0,0.0,0.0,1018.659,12325.0,13172.0
2013-05-01,3.724,45.0,46.0,0.0,0.0,0.0,1195.873,14469.0,15463.0
2013-06-01,6.359,77.0,81.0,0.0,0.0,0.0,1391.609,16838.0,17994.0
2013-07-01,18.462,223.0,238.0,0.0,0.0,0.0,2020.69,24449.0,26129.0
2013-08-01,3.087,37.0,41.0,0.0,0.0,0.0,1497.305,18116.0,19361.0
2013-09-01,4.061,49.0,52.0,0.0,0.0,0.0,1178.789,14263.0,15243.0
2013-10-01,1.353,16.0,17.0,0.0,0.0,0.0,1010.356,12225.0,13065.0
2013-11-01,1.461,17.0,17.0,0.0,0.0,0.0,1085.72,13136.0,14039.0
2013-12-01,3.489,42.0,46.0,0.0,0.0,0.0,1257.887,15220.0,16266.0
2014-01-01,30.5,369.0,406.0,0.0,0.0,0.0,932.801,11286.0,12183.0
2014-02-01,10.864,131.0,139.0,0.0,0.0,0.0,1056.278,12780.0,13797.0
2014-03-01,8.581,104.0,110.0,0.0,0.0,0.0,1122.006,13575.0,14655.0
2014-04-01,0.224,3.0,6.0,0.0,0.0,0.0,928.439,11233.0,12127.0
2014-05-01,0.197,0.0,0.0,0.0,0.0,0.0,1000.247,12102.0,13065.0
2014-06-01,0.469,6.0,6.0,0.0,0.0,0.0,1315.229,15913.0,17178.0
