measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other Gases-Combined Cycle Combustion Turbine Part Generation,Other Gases-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Gases-Combined Cycle Steam Part Generation,Other Gases-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Steam Part Total Fuel Consumed,Other-Combined Cycle Combustion Turbine Part Generation,Other-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other-Combined Cycle Steam Part Generation,Other-Combined Cycle Steam Part Quantity Consumed For Electricity,Other-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,129150.0,763198.0,1510462.0,14073.0,0.0,0.0,,,,,,,,,,5632.0,-23569.0,9016.0
2003-02-01,127929.0,845093.0,1489613.0,13304.0,0.0,0.0,,,,,,,,,,1132.0,7479.0,13184.0
2003-03-01,174214.0,1131144.0,1943454.0,22183.0,0.0,0.0,,,,,,,692.0,4492.0,7718.0,0.0,0.0,0.0
2003-04-01,176167.0,1437034.0,1984113.0,24580.0,0.0,0.0,,,,,,,852.0,6950.0,9595.0,0.0,0.0,0.0
2003-05-01,186126.0,1374605.0,2129029.0,30107.0,0.0,0.0,,,,,,,612.0,4522.0,7004.0,,,
2003-06-01,152110.0,1095872.0,1750743.0,23687.0,0.0,0.0,,,,,,,5185.0,37356.0,59680.0,,,
2003-07-01,165276.0,1240456.0,1919633.0,26550.0,0.0,0.0,,,,,,,3656.0,27440.0,42464.0,,,
2003-08-01,128695.0,1163249.0,1796461.0,30236.0,0.0,0.0,,,,,,,28497.0,257577.0,397788.0,,,
2003-09-01,92909.0,795985.0,1222075.0,13390.0,0.0,0.0,,,,,,,15195.0,130179.0,199863.0,,,
2003-10-01,89835.0,919831.0,1295658.0,16813.0,0.0,0.0,,,,,,,23832.0,244015.0,343715.0,,,
2003-11-01,87229.0,662168.0,1010407.0,13923.0,0.0,0.0,,,,,,,1180.0,8954.0,13663.0,,,
2003-12-01,77229.0,519488.0,859293.0,8600.0,0.0,0.0,,,,,,,270.0,1818.0,3008.0,,,
2004-01-01,77654.85974,476718.62,1364316.3,7732.3514000000005,0.0,0.0,6773.50381,41582.14,119003.52,674.46019,0.0,0.0,,,,,,
2004-02-01,65773.4659,426674.96,991145.22,10650.09291,0.0,0.0,6759.677500000001,43850.28,101862.08,1094.53246,0.0,0.0,,,,,,
2004-03-01,95726.0609,587255.42,1727863.68,9459.79411,0.0,0.0,4329.74767,26561.92,78152.32,427.87221,0.0,0.0,,,,,,
2004-04-01,97166.50746,595803.7,1519412.4,9550.74502,0.0,0.0,6737.81879,41314.83,105360.64,662.27748,0.0,0.0,,,,,,
2004-05-01,86923.02165,540219.26,1487647.56,9838.8441,0.0,0.0,7622.673900000001,47374.28,130458.56,862.81285,0.0,0.0,,,,,,
2004-06-01,91052.30879,574320.03,1573989.54,11817.35566,0.0,0.0,8506.52187,53655.6,147049.28,1104.03125,0.0,0.0,,,,,,
2004-07-01,146044.9123,935634.16,2024768.34,21541.1408,0.0,0.0,9512.0983,60939.09,131875.84,1403.00299,0.0,0.0,,,,,,
2004-08-01,124733.17316,798476.23,1526967.54,18285.88356,0.0,0.0,1764.54059,11295.66,21601.28,258.68166,0.0,0.0,,,,,,
2004-09-01,105772.31448,673836.4,1300641.78,14921.95495,0.0,0.0,1145.23844,7295.89,14082.56,161.56587,0.0,0.0,,,,,,
2004-10-01,111716.632,693000.04,1365702.48,12409.13397,0.0,0.0,1406.12349,8722.46,17189.44,156.1878,0.0,0.0,,,,,,
2004-11-01,78575.01173,468227.48,943593.84,5291.17921,0.0,0.0,118.36625,705.34,1421.44,7.970689999999999,0.0,0.0,,,,,,
2004-12-01,76001.80917,448265.23,887863.08,4288.53013,0.0,0.0,10.35428,61.07,120.96,0.58426,0.0,0.0,,,,,,
2005-01-01,76636.79,448824.78,887954.57,3754.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-02-01,67741.89,396402.86,788552.98,3260.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-03-01,78044.93571,464690.59,912890.48,5188.54277,0.0,0.0,174.89429,1041.35,2045.74,11.627229999999999,0.0,0.0,,,,,,
2005-04-01,74190.45,443349.73,892974.33,5220.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-05-01,78271.18713,475815.48,965311.37,6954.93578,0.0,0.0,1265.90287,7695.5,15612.26,112.48422,0.0,0.0,,,,,,
2005-06-01,91148.33931,546835.36,1121709.77,6798.57518,0.0,0.0,561.28069,3367.35,6907.36,41.864819999999995,0.0,0.0,,,,,,
2005-07-01,93365.40241,558837.64,1126494.37,6731.31112,0.0,0.0,316.22759,1892.78,3815.42,22.79888,0.0,0.0,,,,,,
