measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,35.65218,153.24,315.06,222.73341,957.37,1968.3,34.0614,146.41,301.0
2004-02-01,9.792349999999999,42.09,82.1,159.09034,683.82,1333.87,35.90031,154.31,301.0
2004-03-01,1.31915,5.67,11.31,73.09347,314.18,626.67,35.10838,150.91,301.0
2004-04-01,9.63398,41.41,80.66,160.45758,689.7,1343.46,35.95043,154.53,301.0
2004-05-01,10.73791,46.15,85.7,333.17525,1432.09,2659.21,37.71284,162.1,301.0
2004-06-01,14.62022,62.84,114.35,596.6217,2564.47,4666.21,38.48609,165.43,301.0
2004-07-01,20.80359,89.42,163.21,671.99277,2888.43,5271.92,38.36764,164.92,301.0
2004-08-01,22.64526,97.34,182.38,428.68509,1842.62,3452.48,37.374649999999995,160.65,301.0
2004-09-01,17.50383,75.24,144.32,263.96542999999997,1134.61,2176.36,36.50774,156.92,301.0
2004-10-01,24.968259999999997,107.32,204.81,352.43046,1514.86,2890.98,36.69428,157.72,301.0
2004-11-01,21.31475,91.62,175.4,305.31549,1312.34,2512.4,36.578759999999996,157.23,301.0
2004-12-01,23.50424,101.03,191.35,374.46987,1609.59,3048.62,36.97289,158.92,301.0
2005-01-01,51.481100000000005,221.28,469.3,163.73098,703.77,1492.56,41.42592,178.06,377.64
2005-02-01,13.66622,58.74,108.05,167.35478,719.34,1323.2,42.608000000000004,183.14,336.88
2005-03-01,11.902809999999999,51.16,92.7,202.75604,871.51,1579.01,49.40615,212.36,384.76
2005-04-01,11.91897,51.23,92.75,208.03326,894.19,1618.87,49.34177,212.09,383.97
2005-05-01,11.94144,51.33,93.53,167.6793,720.74,1313.29,53.89526,231.66,422.12
2005-06-01,14.60005,62.76,113.26,288.00716,1237.94,2234.3,53.906800000000004,231.71,418.2
2005-07-01,27.14314,116.67,214.55,364.24874,1565.66,2879.2,54.781119999999994,235.47,433.02
2005-08-01,24.25928,104.27,190.05,392.93971,1688.98,3078.31,55.024,236.51,431.06
2005-09-01,13.62124,58.55,105.72,262.35562,1127.69,2036.33,52.315149999999996,224.87,406.06
2005-10-01,18.49534,79.5,148.25,175.69132,755.17,1408.23,51.137339999999995,219.8,409.88
2005-11-01,12.687619999999999,54.54,99.85,160.62113,690.4,1264.04,52.457249999999995,225.48,412.82
2005-12-01,32.21197,138.46,273.43,160.89104,691.56,1365.72,48.74199,209.51,413.74
2006-01-01,9.81143,42.17,95.25,109.41523,470.3,1062.16,38.06734,163.63,369.54
2006-02-01,12.10568,52.03,119.42,107.36037,461.47,1059.07,33.55095,144.21,330.97
2006-03-01,20.949749999999998,90.05,217.38,111.34929,478.61,1155.39,28.635959999999997,123.09,297.13
2006-04-01,10.47256,45.01,103.06,98.70797999999999,424.28,971.41,27.45046,117.99,270.15
2006-05-01,7.39394,31.78,71.18,97.87966999999999,420.72,942.33,32.65639,140.37,314.4
2006-06-01,7.168209999999999,30.81,68.52,126.09819,542.01,1205.42,22.3686,96.15,213.83
2006-07-01,8.94861,38.46,84.99,190.0704,816.98,1805.2,29.86199,128.36,283.61
2006-08-01,9.479849999999999,40.75,90.42,178.17889,765.87,1699.54,29.22627,125.62,278.77
2006-09-01,5.585109999999999,24.01,52.83,127.43169,547.74,1205.48,27.404200000000003,117.79,259.24
2006-10-01,5.58103,23.99,52.61,142.61244,612.99,1344.41,31.512529999999998,135.45,297.07
2006-11-01,8.87749,38.16,85.54,120.00578,515.82,1156.38,33.86174,145.55,326.29
2006-12-01,9.82902,42.25,95.3,116.53855,500.92,1129.95,34.51343,148.35,334.64
2007-01-01,9.424000000000001,39.0,78.0,94.53200000000001,399.0,787.0,51.586000000000006,217.0,430.0
2007-02-01,18.79,78.0,155.0,182.606,770.0,1520.0,47.165,199.0,393.0
2007-03-01,12.123000000000001,50.0,100.0,115.80900000000001,488.0,964.0,50.308,212.0,419.0
2007-04-01,12.691,55.0,105.0,123.991,522.0,1032.0,60.456,255.0,503.0
2007-05-01,11.116,44.0,94.0,183.24,772.0,1525.0,72.96900000000001,307.0,607.0
2007-06-01,10.92,44.0,89.0,220.30700000000002,928.0,1834.0,71.248,300.0,593.0
2007-07-01,11.662,50.0,100.0,265.094,1116.0,2206.0,72.525,306.0,604.0
2007-08-01,13.825,61.0,116.0,613.013,2583.0,5102.0,72.445,305.0,603.0
2007-09-01,16.146,67.0,133.0,214.20600000000002,902.0,1783.0,67.183,283.0,559.0
2007-10-01,18.104,78.0,150.0,197.961,834.0,1648.0,80.662,340.0,671.0
2007-11-01,17.984,78.0,150.0,86.52,364.0,720.0,55.451,233.0,462.0
2007-12-01,14.384,61.0,122.0,99.277,418.0,826.0,50.278000000000006,212.0,419.0
2008-01-01,18.152,76.0,166.0,201.074,847.0,1804.0,11.951,50.0,109.0
2008-02-01,15.099,64.0,133.0,159.74,673.0,1433.0,11.771,50.0,106.0
2008-03-01,13.139000000000001,55.0,116.0,116.0,489.0,1041.0,7.3340000000000005,31.0,66.0
2008-04-01,13.401,56.0,122.0,88.723,374.0,796.0,13.22,56.0,118.0
2008-05-01,15.094000000000001,64.0,133.0,74.009,312.0,664.0,13.491000000000001,57.0,121.0
2008-06-01,10.724,45.0,94.0,273.202,1151.0,2451.0,13.129000000000001,55.0,118.0
2008-07-01,8.946,38.0,78.0,470.442,1982.0,4221.0,12.948,55.0,116.0
2008-08-01,12.729000000000001,54.0,116.0,293.966,1238.0,2638.0,13.491000000000001,57.0,121.0
2008-09-01,12.992,55.0,116.0,171.18,721.0,1536.0,13.582,57.0,122.0
2008-10-01,11.472000000000001,48.0,105.0,88.71000000000001,374.0,796.0,13.22,56.0,118.0
2008-11-01,14.254000000000001,60.0,128.0,88.583,373.0,794.0,12.676,53.0,114.0
2008-12-01,13.396,56.0,122.0,193.031,813.0,1733.0,13.129000000000001,55.0,118.0
2009-01-01,24.025,101.0,175.0,413.023,1740.0,3056.0,54.275,229.0,402.0
2009-02-01,9.524000000000001,40.0,70.0,237.535,1001.0,1757.0,42.523,179.0,315.0
2009-03-01,25.686,108.0,193.0,290.976,1226.0,2152.0,40.512,171.0,300.0
2009-04-01,20.438000000000002,86.0,152.0,285.665,1203.0,2112.0,36.028,152.0,267.0
2009-05-01,16.814,71.0,123.0,251.55200000000002,1060.0,1860.0,46.388000000000005,195.0,343.0
2009-06-01,22.074,93.0,164.0,509.98,2148.0,3771.0,38.966,164.0,288.0
2009-07-01,19.352,82.0,146.0,312.209,1315.0,2309.0,46.852000000000004,197.0,346.0
2009-08-01,18.466,78.0,134.0,551.004,2321.0,4075.0,45.461000000000006,191.0,336.0
2009-09-01,11.878,50.0,88.0,345.956,1457.0,2558.0,37.729,159.0,279.0
2009-10-01,18.695,79.0,140.0,114.997,484.0,850.0,54.12,228.0,400.0
2009-11-01,15.889000000000001,67.0,117.0,86.327,364.0,638.0,61.078,257.0,452.0
2009-12-01,14.306000000000001,60.0,105.0,100.629,424.0,745.0,59.068000000000005,249.0,437.0
2010-01-01,3.297,14.0,18.0,23.717000000000002,100.0,169.0,4.39,18.0,31.0
2010-02-01,2.966,12.0,23.0,15.816,67.0,112.0,4.003,17.0,29.0
2010-03-01,3.777,16.0,29.0,12.231,52.0,87.0,4.518,19.0,32.0
2010-04-01,3.487,15.0,23.0,11.841000000000001,50.0,84.0,3.979,17.0,29.0
2010-05-01,3.535,15.0,23.0,30.231,127.0,216.0,4.7170000000000005,20.0,34.0
2010-06-01,3.843,16.0,29.0,53.573,226.0,382.0,4.579000000000001,19.0,33.0
2010-07-01,3.419,14.0,23.0,102.48100000000001,432.0,730.0,4.267,18.0,31.0
2010-08-01,4.369,18.0,29.0,110.40400000000001,465.0,785.0,4.3950000000000005,19.0,31.0
2010-09-01,3.212,14.0,23.0,23.455000000000002,99.0,167.0,4.667,20.0,33.0
2010-10-01,3.152,13.0,23.0,8.414,35.0,60.0,3.216,14.0,23.0
2010-11-01,2.9850000000000003,13.0,23.0,8.413,35.0,60.0,4.329000000000001,18.0,31.0
2010-12-01,2.9850000000000003,13.0,23.0,30.254,127.0,216.0,4.083,17.0,29.0
2011-01-01,8.27,35.0,64.0,69.983,295.0,515.0,0.843,4.0,6.0
2011-02-01,4.003,17.0,29.0,48.108,203.0,356.0,0.658,3.0,5.0
2011-03-01,4.274,18.0,29.0,59.923,252.0,443.0,0.789,3.0,6.0
2011-04-01,3.666,15.0,29.0,60.925,257.0,450.0,0.789,3.0,6.0
2011-05-01,6.996,29.0,53.0,110.688,466.0,818.0,0.731,3.0,5.0
2011-06-01,6.253,26.0,47.0,104.257,439.0,770.0,0.7,3.0,5.0
2011-07-01,5.627,24.0,41.0,309.33,1303.0,2284.0,0.857,4.0,7.0
2011-08-01,3.382,14.0,23.0,171.583,723.0,1267.0,0.928,4.0,7.0
2011-09-01,4.795,20.0,35.0,58.968,248.0,436.0,0.899,4.0,7.0
2011-10-01,5.912,25.0,41.0,40.251,170.0,298.0,0.784,3.0,6.0
2011-11-01,5.147,22.0,41.0,32.652,138.0,241.0,0.776,3.0,6.0
2011-12-01,7.31,31.0,53.0,49.191,207.0,364.0,0.752,3.0,6.0
2012-01-01,6.899,29.0,53.0,18.512,78.0,139.0,24.291,102.0,181.0
2012-02-01,9.053,38.0,70.0,25.071,106.0,186.0,21.632,91.0,161.0
2012-03-01,6.572,28.0,47.0,28.155,119.0,209.0,22.873,96.0,170.0
