measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2013-01-01,505.504,8311.0,8311.0,61.405,586.0,586.0
2013-02-01,492.159,8092.0,8092.0,84.659,808.0,808.0
2013-03-01,503.952,8286.0,8286.0,109.464,1044.0,1044.0
2013-04-01,508.967,8368.0,8368.0,93.926,896.0,896.0
2013-05-01,553.737,9104.0,9104.0,138.085,1317.0,1317.0
2013-06-01,591.552,9726.0,9726.0,139.422,1330.0,1330.0
2013-07-01,602.554,9907.0,9907.0,130.079,1241.0,1241.0
2013-08-01,609.892,10028.0,10028.0,118.187,1128.0,1128.0
2013-09-01,530.436,8721.0,8721.0,123.464,1178.0,1178.0
2013-10-01,550.461,9050.0,9050.0,125.504,1197.0,1197.0
2013-11-01,512.018,8418.0,8418.0,80.463,768.0,768.0
2013-12-01,487.768,8020.0,8020.0,82.342,786.0,786.0
2014-01-01,497.067,7561.0,7561.0,54.201,515.0,515.0
2014-02-01,393.827,5991.0,5991.0,68.321,650.0,650.0
2014-03-01,524.449,7978.0,7978.0,102.623,976.0,976.0
2014-04-01,494.591,7524.0,7524.0,124.261,1182.0,1182.0
2014-05-01,563.812,8577.0,8577.0,147.248,1400.0,1400.0
2014-06-01,569.392,8662.0,8662.0,157.712,1500.0,1500.0
2014-07-01,575.106,8749.0,8749.0,148.595,1413.0,1413.0
2014-08-01,581.943,8853.0,8853.0,143.239,1362.0,1362.0
2014-09-01,558.16,8491.0,8491.0,127.312,1211.0,1211.0
2014-10-01,498.959,7590.0,7590.0,87.228,830.0,830.0
2014-11-01,511.352,7779.0,7779.0,78.005,742.0,742.0
2014-12-01,507.342,7718.0,7718.0,41.255,392.0,392.0
2015-01-01,281.139,5110.0,5110.0,45.026,420.0,420.0
2015-02-01,253.614,4610.0,4610.0,68.363,637.0,637.0
2015-03-01,235.571,4282.0,4282.0,62.738,585.0,585.0
2015-04-01,315.138,5728.0,5728.0,99.829,930.0,930.0
2015-05-01,322.609,5864.0,5864.0,128.009,1193.0,1193.0
2015-06-01,365.353,6641.0,6641.0,100.943,941.0,941.0
2015-07-01,331.059,6018.0,6018.0,120.101,1119.0,1119.0
2015-08-01,332.875,6051.0,6051.0,119.126,1110.0,1110.0
2015-09-01,328.534,5972.0,5972.0,98.854,921.0,921.0
2015-10-01,324.624,5901.0,5901.0,81.729,762.0,762.0
2015-11-01,316.948,5761.0,5761.0,66.358,618.0,618.0
2015-12-01,327.536,5954.0,5954.0,36.924,344.0,344.0
2016-01-01,329.178,6237.0,6237.0,68.372,631.0,631.0
2016-02-01,225.969,4281.0,4281.0,77.107,712.0,712.0
2016-03-01,298.459,5654.0,5654.0,108.668,1003.0,1003.0
2016-04-01,369.611,7002.0,7002.0,129.697,1197.0,1197.0
2016-05-01,420.406,7965.0,7965.0,123.568,1141.0,1141.0
2016-06-01,406.741,7706.0,7706.0,154.319,1425.0,1425.0
2016-07-01,386.578,7324.0,7324.0,153.826,1420.0,1420.0
2016-08-01,380.416,7207.0,7207.0,151.466,1398.0,1398.0
2016-09-01,350.054,6632.0,6632.0,122.265,1129.0,1129.0
2016-10-01,353.297,6693.0,6693.0,115.361,1065.0,1065.0
2016-11-01,378.449,7170.0,7170.0,85.455,789.0,789.0
2016-12-01,326.842,6192.0,6192.0,58.896,544.0,544.0
2017-01-01,385.158,7123.0,7123.0,71.549,659.0,659.0
2017-02-01,367.518,6797.0,6797.0,87.345,805.0,805.0
2017-03-01,375.936,6952.0,6952.0,107.531,991.0,991.0
2017-04-01,340.491,6297.0,6297.0,117.126,1079.0,1079.0
2017-05-01,345.5,6390.0,6390.0,128.043,1180.0,1180.0
2017-06-01,327.896,6064.0,6064.0,109.515,1009.0,1009.0
2017-07-01,339.292,6275.0,6275.0,122.214,1126.0,1126.0
2017-08-01,322.122,5957.0,5957.0,110.335,1017.0,1017.0
2017-09-01,299.373,5537.0,5537.0,105.956,976.0,976.0
2017-10-01,354.014,6547.0,6547.0,92.264,850.0,850.0
2017-11-01,365.423,6758.0,6758.0,81.494,751.0,751.0
2017-12-01,377.277,6977.0,6977.0,66.628,614.0,614.0
2018-01-01,497.666,7297.0,7297.0,90.93,828.0,828.0
2018-02-01,471.985,6921.0,6921.0,87.722,799.0,799.0
2018-03-01,502.318,7366.0,7366.0,129.787,1182.0,1182.0
2018-04-01,483.705,7093.0,7093.0,140.763,1282.0,1282.0
2018-05-01,437.508,6415.0,6415.0,124.401,1133.0,1133.0
2018-06-01,473.284,6940.0,6940.0,137.177,1249.0,1249.0
2018-07-01,475.592,6974.0,6974.0,132.176,1203.0,1203.0
2018-08-01,473.074,6937.0,6937.0,134.773,1227.0,1227.0
2018-09-01,388.736,5700.0,5700.0,110.237,1004.0,1004.0
2018-10-01,482.437,7074.0,7074.0,116.264,1058.0,1058.0
2018-11-01,488.138,7158.0,7158.0,84.593,770.0,770.0
2018-12-01,501.557,7354.0,7354.0,76.177,694.0,694.0
2019-01-01,161.162,2357.0,2357.0,65.777,586.0,586.0
2019-02-01,141.994,2076.0,2076.0,64.763,577.0,577.0
2019-03-01,153.373,2243.0,2243.0,100.571,896.0,896.0
2019-04-01,144.315,2111.0,2111.0,105.662,941.0,941.0
2019-05-01,154.664,2262.0,2262.0,113.958,1015.0,1015.0
2019-06-01,149.558,2187.0,2187.0,101.192,901.0,901.0
2019-07-01,151.842,2221.0,2221.0,107.754,960.0,960.0
2019-08-01,146.958,2149.0,2149.0,98.103,874.0,874.0
2019-09-01,143.891,2104.0,2104.0,100.46,895.0,895.0
2019-10-01,151.384,2214.0,2214.0,82.146,732.0,732.0
2019-11-01,143.629,2101.0,2101.0,73.503,655.0,655.0
2019-12-01,160.23,2344.0,2344.0,62.111,553.0,553.0
2020-01-01,166.126,2018.0,2018.0,33.39,293.0,293.0
2020-02-01,158.871,1929.0,1929.0,37.927,333.0,333.0
2020-03-01,176.82,2147.0,2147.0,48.182,422.0,422.0
2020-04-01,163.953,1991.0,1991.0,54.048,474.0,474.0
2020-05-01,161.316,1959.0,1959.0,61.784,542.0,542.0
2020-06-01,142.381,1729.0,1729.0,66.574,584.0,584.0
2020-07-01,154.446,1876.0,1876.0,66.144,580.0,580.0
2020-08-01,155.969,1894.0,1894.0,55.144,483.0,483.0
2020-09-01,144.148,1751.0,1751.0,48.932,429.0,429.0
2020-10-01,145.517,1767.0,1767.0,41.994,368.0,368.0
2020-11-01,150.651,1829.0,1829.0,37.924,332.0,332.0
2020-12-01,173.802,2110.0,2110.0,27.957,245.0,245.0
2021-01-01,0.0,0.0,0.0,51.275,453.0,453.0
2021-02-01,0.0,0.0,0.0,42.465,376.0,376.0
2021-03-01,0.0,0.0,0.0,91.568,810.0,810.0
2021-04-01,0.0,0.0,0.0,93.869,830.0,830.0
2021-05-01,0.0,0.0,0.0,94.731,838.0,838.0
2021-06-01,0.0,0.0,0.0,93.611,828.0,828.0
2021-07-01,0.0,0.0,0.0,84.731,749.0,749.0
2021-08-01,0.0,0.0,0.0,89.192,789.0,789.0
2021-09-01,0.0,0.0,0.0,90.682,802.0,802.0
2021-10-01,0.0,0.0,0.0,66.86,591.0,591.0
2021-11-01,0.0,0.0,0.0,63.295,560.0,560.0
2021-12-01,0.0,0.0,0.0,40.721,360.0,360.0
2022-01-01,0.0,0.0,0.0,48.413,165.0,165.0
2022-02-01,0.0,0.0,0.0,57.123,195.0,195.0
2022-03-01,0.0,0.0,0.0,87.685,299.0,299.0
2022-04-01,0.0,0.0,0.0,104.893,358.0,358.0
2022-05-01,0.0,0.0,0.0,97.094,331.0,331.0
2022-06-01,0.0,0.0,0.0,112.773,385.0,385.0
2022-07-01,0.0,0.0,0.0,101.103,345.0,345.0
2022-08-01,0.0,0.0,0.0,100.375,342.0,342.0
2022-09-01,0.0,0.0,0.0,92.593,316.0,316.0
2022-10-01,0.0,0.0,0.0,72.764,248.0,248.0
2022-11-01,0.0,0.0,0.0,68.051,232.0,232.0
2022-12-01,0.0,0.0,0.0,55.133,188.0,188.0
