measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,15873.637999999999,207346.0,207346.0,,,,4.3260000000000005,197.0,197.0,,,
2001-02-01,13902.563,181599.0,181599.0,,,,3.789,172.0,172.0,,,
2001-03-01,14314.73,186983.0,186983.0,,,,3.9010000000000002,177.0,177.0,,,
2001-04-01,12323.837,160977.0,160977.0,,,,3.359,153.0,153.0,,,
2001-05-01,13742.871,179513.0,179513.0,,,,3.745,170.0,170.0,,,
2001-06-01,15210.851999999999,198688.0,198688.0,,,,4.145,188.0,188.0,,,
2001-07-01,16579.909,216571.0,216571.0,,,,4.519,205.0,205.0,,,
2001-08-01,16861.974000000002,220256.0,220256.0,,,,4.595,209.0,209.0,,,
2001-09-01,14393.712,188015.0,188015.0,,,,3.923,178.0,178.0,,,
2001-10-01,14568.912,190303.0,190303.0,,,,3.971,181.0,181.0,,,
2001-11-01,13828.611,180633.0,180633.0,,,,3.769,171.0,171.0,,,
2001-12-01,14523.393,189709.0,189709.0,,,,3.958,180.0,180.0,,,
2002-01-01,20072.0,311298.0,311298.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-02-01,17953.0,243087.0,243087.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-03-01,14531.0,223278.0,223278.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-04-01,1034.0,16368.0,16368.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-05-01,17881.0,269688.0,269688.0,0.0,0.0,0.0,127.0,3175.0,3175.0,,,
2002-06-01,18762.0,282006.0,282006.0,0.0,0.0,0.0,37.0,1353.0,1353.0,,,
2002-07-01,19119.0,290631.0,290631.0,0.0,0.0,0.0,86.0,2469.0,2469.0,,,
2002-08-01,18223.0,281306.0,281306.0,0.0,0.0,0.0,22.0,478.0,478.0,,,
2002-09-01,17700.0,266076.0,266076.0,0.0,0.0,0.0,12.0,542.0,542.0,,,
2002-10-01,4400.0,71926.0,71926.0,0.0,0.0,0.0,40.0,785.0,785.0,,,
2002-11-01,10289.0,135557.0,135557.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-12-01,10673.0,205591.0,205591.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-01-01,15633.0,218351.0,218351.0,,,,0.0,0.0,0.0,,,
2003-02-01,12289.0,245848.0,245848.0,,,,0.0,0.0,0.0,,,
2003-03-01,19347.0,260752.0,260752.0,,,,0.0,0.0,0.0,,,
2003-04-01,1478.0,17079.0,17079.0,,,,0.0,0.0,0.0,,,
2003-05-01,13624.0,182750.0,182750.0,,,,0.0,0.0,0.0,,,
2003-06-01,18786.0,274504.0,274504.0,,,,,,,,,
2003-07-01,18347.0,260915.0,260915.0,,,,0.0,0.0,0.0,,,
2003-08-01,17639.0,255527.0,255527.0,,,,,,,,,
2003-09-01,18392.0,259844.0,259844.0,,,,,,,,,
2003-10-01,6774.0,97627.0,97627.0,,,,0.0,0.0,0.0,,,
2003-11-01,10870.0,159021.0,159021.0,,,,0.0,0.0,0.0,,,
2003-12-01,18987.0,269725.0,269725.0,,,,0.0,0.0,0.0,,,
2004-01-01,15641.121,230891.0,230891.0,,,,0.0,0.0,0.0,,,
2004-02-01,14210.296,209769.0,209769.0,,,,0.0,0.0,0.0,,,
2004-03-01,14445.76,213245.0,213245.0,,,,0.0,0.0,0.0,,,
2004-04-01,12926.307,190815.0,190815.0,,,,0.0,0.0,0.0,,,
2004-05-01,13851.754,204477.0,204477.0,,,,0.0,0.0,0.0,,,
2004-06-01,14357.797,211947.0,211947.0,,,,0.0,0.0,0.0,,,
2004-07-01,14331.11,211553.0,211553.0,,,,0.0,0.0,0.0,,,
2004-08-01,14279.624,210793.0,210793.0,,,,0.0,0.0,0.0,,,
2004-09-01,13913.904,205394.0,205394.0,,,,0.0,0.0,0.0,,,
2004-10-01,13981.209,206388.0,206388.0,,,,0.0,0.0,0.0,,,
2004-11-01,13521.244,199598.0,199598.0,,,,0.0,0.0,0.0,,,
2004-12-01,15460.873,228230.0,228230.0,,,,0.0,0.0,0.0,,,
2005-01-01,15333.506000000001,229207.93,229207.93,,,,2.9010000000000002,128.79,128.79,,,
2005-02-01,13350.363000000001,199563.57,199563.57,,,,2.321,103.04,103.04,,,
2005-03-01,13850.965,207046.65,207046.65,,,,3.221,142.98,142.98,,,
2005-04-01,12343.935,184519.28,184519.28,,,,3.057,135.72,135.72,,,
2005-05-01,13551.159,202565.09,202565.09,,,,2.923,129.79,129.79,,,
2005-06-01,15093.18,225615.5,225615.5,,,,5.518000000000001,245.0,245.0,,,
2005-07-01,15955.089,238499.44,238499.44,,,,7.265,322.53,322.53,,,
2005-08-01,16132.604,241153.0,241153.0,,,,7.2170000000000005,320.4,320.4,,,
2005-09-01,14784.187,220996.6,220996.6,,,,4.369,193.98,193.98,,,
2005-10-01,13960.896,208689.91,208689.91,,,,3.0980000000000003,137.54,137.54,,,
2005-11-01,13611.226,203462.98,203462.98,,,,2.715,120.55,120.55,,,
2005-12-01,15200.889,227225.55,227225.55,,,,3.394,150.69,150.69,,,
2006-01-01,16791.101000000002,238215.0,238215.0,,,,3.41,95.0,95.0,,,
2006-02-01,15991.681,226874.0,226874.0,,,,3.854,108.0,108.0,,,
2006-03-01,16340.539,231823.0,231823.0,,,,5.079000000000001,142.0,142.0,,,
2006-04-01,13902.16,197230.0,197230.0,,,,4.203,117.0,117.0,,,
2006-05-01,14856.958,210776.0,210776.0,,,,5.5360000000000005,154.0,154.0,,,
2006-06-01,16095.285,228344.0,228344.0,,,,7.132000000000001,199.0,199.0,,,
2006-07-01,18308.357,259741.0,259741.0,,,,12.762,356.0,356.0,,,
2006-08-01,18440.462,261615.0,261615.0,,,,11.34,316.0,316.0,,,
2006-09-01,15321.798,217370.0,217370.0,,,,6.67,186.0,186.0,,,
2006-10-01,15847.987000000001,224835.0,224835.0,,,,7.225,202.0,202.0,,,
2006-11-01,15669.803,222307.0,222307.0,,,,4.8580000000000005,136.0,136.0,,,
2006-12-01,16963.868000000002,240666.0,240666.0,,,,4.931,138.0,138.0,,,
2007-01-01,19617.0,275984.0,275984.0,,,,0.0,0.0,0.0,,,
2007-02-01,17889.0,235488.0,235488.0,,,,0.0,0.0,0.0,,,
2007-03-01,19165.0,241648.0,241648.0,,,,0.0,0.0,0.0,,,
2007-04-01,2894.0,60936.0,60936.0,,,,0.0,0.0,0.0,,,
2007-05-01,19404.0,268624.0,268624.0,,,,0.0,0.0,0.0,,,
2007-06-01,17398.0,256818.0,256818.0,,,,0.0,0.0,0.0,,,
