measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2022-02-01,-3.611,0.0,0.0,197.651,674.0,674.0
2022-03-01,-3.734,0.0,0.0,294.98,1006.0,1006.0
2022-04-01,-4.469,0.0,0.0,360.406,1230.0,1230.0
2022-05-01,-4.47,0.0,0.0,405.644,1384.0,1384.0
2022-06-01,-4.542,0.0,0.0,408.012,1392.0,1392.0
2022-07-01,-4.35,0.0,0.0,450.383,1537.0,1537.0
2022-08-01,-4.262,0.0,0.0,397.294,1356.0,1356.0
2022-09-01,-4.344,0.0,0.0,329.375,1124.0,1124.0
2022-10-01,-4.481,0.0,0.0,261.083,891.0,891.0
2022-11-01,-4.321,0.0,0.0,215.346,735.0,735.0
2022-12-01,-4.416,0.0,0.0,139.826,477.0,477.0
2023-01-01,-1.0,0.0,0.0,128.0,437.0,437.0
2023-02-01,-6.0,0.0,0.0,233.0,795.0,795.0
2023-03-01,-12.0,0.0,0.0,397.0,1355.0,1355.0
2023-04-01,-6.0,0.0,0.0,427.0,1457.0,1457.0
2023-05-01,-9.0,0.0,0.0,595.0,2030.0,2030.0
2023-06-01,-10.0,0.0,0.0,428.0,1460.0,1460.0
2023-07-01,-10.0,0.0,0.0,457.0,1559.0,1559.0
2023-08-01,-6.0,0.0,0.0,439.0,1498.0,1498.0
2023-09-01,-2.0,0.0,0.0,287.0,979.0,979.0
2023-10-01,0.0,0.0,0.0,324.0,1105.0,1105.0
2023-11-01,0.0,0.0,0.0,262.0,894.0,894.0
2023-12-01,0.0,0.0,0.0,158.0,539.0,539.0
2024-01-01,-4.0,0.0,0.0,105.0,358.0,358.0
2024-02-01,-8.0,0.0,0.0,334.0,1140.0,1140.0
2024-03-01,-11.0,0.0,0.0,362.0,1235.0,1235.0
2024-04-01,-8.0,0.0,0.0,419.0,1430.0,1430.0
2024-05-01,-11.0,0.0,0.0,476.0,1624.0,1624.0
2024-06-01,-6.0,0.0,0.0,507.0,1730.0,1730.0
2024-07-01,-10.0,0.0,0.0,481.0,1641.0,1641.0
2024-08-01,-12.0,0.0,0.0,437.0,1491.0,1491.0
2024-09-01,-7.0,0.0,0.0,412.0,1406.0,1406.0
2024-10-01,-14.0,0.0,0.0,355.0,1211.0,1211.0
2024-11-01,-7.0,0.0,0.0,256.0,873.0,873.0
2024-12-01,-10.0,0.0,0.0,176.0,601.0,601.0
