measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,72049.0,593418.0,922221.0,12806.0,103152.0,103152.0,,,,,,
2003-02-01,63703.0,511285.0,805641.0,10502.0,99284.0,99284.0,,,,,,
2003-03-01,69038.0,559343.0,872237.0,11251.0,93544.0,93544.0,,,,,,
2003-04-01,71203.0,604908.0,913223.0,11501.0,36312.0,36312.0,,,,,,
2003-05-01,71189.0,604501.0,907036.0,13152.0,82090.0,82090.0,,,,,,
2003-06-01,65152.0,573396.0,835296.0,11635.0,60017.0,60017.0,,,,,,
2003-07-01,52104.0,355358.0,662516.0,11462.0,108370.0,108370.0,,,,,,
2003-08-01,58741.0,436526.0,747015.0,11539.0,78452.0,78452.0,,,,,,
2003-09-01,41639.0,325457.0,523991.0,6221.0,38195.0,38195.0,,,,,,
2003-10-01,42879.0,341741.0,542522.0,5894.0,29933.0,29933.0,,,,,,
2003-11-01,36862.0,485483.0,485483.0,2323.0,-143015.0,51455.0,,,,,,
2003-12-01,41237.0,532248.0,532248.0,5146.0,26604.0,80391.0,,,,,,
2004-01-01,44832.562,525665.64,592312.03,4383.407,51395.82,61235.95,,,,,,
2004-02-01,44603.073000000004,522974.86,589280.1,4438.131,52037.47,62000.44,,,,,,
2004-03-01,48930.979,573719.93,646458.87,6593.066000000001,77304.26,92104.76,,,,,,
2004-04-01,39115.49,458632.48,516780.09,4926.89,57768.21,68828.39,,,,,,
2004-05-01,42001.252,492468.29,554905.77,4980.281,58394.22,69574.25,,,,,,
2004-06-01,37300.264,437348.8,492797.96,4981.327,58406.48,69588.85,,,,,,
2004-07-01,42264.152,495550.82,558379.1,5976.73,70077.68,83494.59,,,,,,
2004-08-01,44272.517,519099.06,584912.91,6358.526000000001,74554.26,88828.25,,,,,,
2004-09-01,38478.198000000004,451160.18,508360.41,5597.36,65629.52,78194.8,,,,,,
2004-10-01,31749.998,372271.45,419469.79,4663.206,54676.49,65144.73,,,,,,
2004-11-01,35678.665,418335.41,471373.97,4150.463000000001,48664.54,57981.74,,,,,,
2004-12-01,38398.64,450227.36,507309.32,3683.2830000000004,43186.81,51455.26,,,,,,
2005-01-01,,,,,,,29652.657,413865.28,420028.35,2702.286,11374.81,21326.02
2005-02-01,,,,,,,26764.616,373556.58,379119.4,2439.095,10266.96,19248.95
2005-03-01,,,,,,,28884.443,403143.23,409146.64,2632.2780000000002,11080.13,20773.52
2005-04-01,,,,,,,29023.166,405079.42,411111.65,2644.92,11133.34,20873.29
2005-05-01,,,,,,,31876.316,444901.13,451526.38,2904.9320000000002,12227.82,22925.26
2005-06-01,,,,,,,40943.272,571449.6,579959.33,3731.215,15705.92,29446.16
2005-07-01,,,,,,,52428.622,731751.85,742648.73,4777.8910000000005,20111.72,37706.35
2005-08-01,,,,,,,54332.74,758327.83,769620.46,4951.416,20842.14,39075.79
2005-09-01,,,,,,,40978.484,571941.06,580458.12,3734.424,15719.42,29471.49
2005-10-01,,,,,,,31807.222,443936.78,450547.66,2898.635,12201.31,22875.56
2005-11-01,,,,,,,28379.635000000002,396097.58,401996.07,2586.2740000000003,10886.48,20410.46
2005-12-01,,,,,,,32380.327,451935.66,458665.67,2950.8630000000003,12421.16,23287.74
2006-01-01,,,,,,,34994.798,481554.8,481554.8,4586.322,16551.69,16551.69
2006-02-01,,,,,,,30854.026,424574.66,424574.66,4043.6440000000002,14593.21,14593.21
2006-03-01,,,,,,,34175.008,470273.89,470273.89,4478.883,16163.95,16163.95
2006-04-01,,,,,,,32562.012,448077.83,448077.83,4267.488,15401.04,15401.04
2006-05-01,,,,,,,37953.71,522271.67,522271.67,4974.109,17951.18,17951.18
2006-06-01,,,,,,,40229.102,553582.79,553582.79,5272.316,19027.38,19027.38
2006-07-01,,,,,,,45296.195,623309.79,623309.79,5936.395,21424.0,21424.0
2006-08-01,,,,,,,46793.726,643916.96,643916.96,6132.657,22132.29,22132.29
2006-09-01,,,,,,,38101.162,524300.71,524300.71,4993.434,18020.92,18020.92
2006-10-01,,,,,,,39940.964,549617.78,549617.78,5234.553,18891.1,18891.1
2006-11-01,,,,,,,33738.783,464271.09,464271.09,4421.712,15957.62,15957.62
2006-12-01,,,,,,,37834.353,520629.23,520629.23,4958.467000000001,17894.73,17894.73
2007-01-01,,,,,,,24025.635000000002,323395.0,323395.0,3354.0,22261.0,44047.0
2007-02-01,,,,,,,21586.796,290568.0,290568.0,2640.0,18369.0,19980.0
2007-03-01,,,,,,,24823.336,334133.0,334133.0,2959.0,20419.0,21071.0
2007-04-01,,,,,,,24753.072,333187.0,333187.0,3106.0,20942.0,21456.0
2007-05-01,,,,,,,28079.942,377968.0,377968.0,3623.0,20421.0,20421.0
2007-06-01,,,,,,,30917.896,416168.0,416168.0,3512.0,21624.0,56974.0
2007-07-01,,,,,,,31881.264,429135.0,429135.0,3275.0,21024.0,48547.0
2007-08-01,,,,,,,41258.502,555357.0,555357.0,3863.0,23200.0,62921.0
2007-09-01,,,,,,,31121.059,418903.0,418903.0,3241.0,20341.0,57038.0
2007-10-01,,,,,,,30455.21,409940.0,409940.0,3784.0,22755.0,63810.0
2007-11-01,,,,,,,22860.908,307717.0,307717.0,557.0,8145.0,17277.0
2007-12-01,,,,,,,23300.381,313633.0,313633.0,3720.0,22686.0,69272.0
2008-01-01,,,,,,,25257.99,324059.0,324059.0,3849.0,23049.0,67376.0
2008-02-01,,,,,,,19653.706,252156.0,252156.0,3791.0,22179.0,67376.0
2008-03-01,,,,,,,21987.041,282092.0,282092.0,3596.0,21983.0,70768.0
2008-04-01,,,,,,,19619.597,251719.0,251719.0,3198.0,20268.0,63630.0
2008-05-01,,,,,,,26891.026,345011.0,345011.0,3593.0,22151.0,64140.0
2008-06-01,,,,,,,28217.420000000002,362027.0,362027.0,1748.0,14258.0,40877.0
2008-07-01,,,,,,,33174.805,425631.0,425631.0,1986.0,15463.0,47748.0
2008-08-01,,,,,,,30518.856,391556.0,391556.0,2521.0,17541.0,49970.0
2008-09-01,,,,,,,23407.863,300321.0,300321.0,2120.0,16116.0,44881.0
2008-10-01,,,,,,,23706.949,304159.0,304159.0,2846.0,18570.0,50707.0
2008-11-01,,,,,,,20080.592,257633.0,257633.0,1733.0,13503.0,20539.0
2008-12-01,,,,,,,21638.155,277616.0,277616.0,1582.0,13147.0,24170.0
2009-01-01,,,,,,,23438.547,312568.0,312568.0,2044.0,15467.0,49428.0
2009-02-01,,,,,,,19462.883,259550.0,259550.0,1996.0,14454.0,48930.0
2009-03-01,,,,,,,20903.607,278762.0,278762.0,1941.0,14846.0,44112.0
2009-04-01,,,,,,,20230.35,269785.0,269785.0,2016.0,14940.0,44738.0
2009-05-01,,,,,,,23702.294,316085.0,316085.0,1473.0,13225.0,30674.0
2009-06-01,,,,,,,28887.408000000003,385231.0,385231.0,1606.0,14870.0,30016.0
2009-07-01,,,,,,,31888.35,425251.0,425251.0,1124.0,14932.0,22605.0
2009-08-01,,,,,,,31692.569,422640.0,422640.0,2194.0,17341.0,31570.0
