measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,53.104,580.0,580.0,116.863,1196.79,1196.79,103.78200000000001,1129.0,1129.0
2003-02-01,49.714000000000006,543.0,543.0,109.403,1120.4,1120.4,97.15700000000001,1057.0,1057.0
2003-03-01,48.028000000000006,525.0,525.0,105.69300000000001,1082.4,1082.4,93.86200000000001,1021.0,1021.0
2003-04-01,45.987,503.0,503.0,101.2,1036.39,1036.39,89.873,977.0,977.0
2003-05-01,46.656,510.0,510.0,102.674,1051.48,1051.48,91.181,992.0,992.0
2003-06-01,48.686,532.0,532.0,107.14200000000001,1097.24,1097.24,95.149,1035.0,1035.0
2003-07-01,56.145,614.0,614.0,123.555,1265.33,1265.33,109.725,1193.0,1193.0
2003-08-01,56.923,622.0,622.0,125.269,1282.88,1282.88,111.247,1210.0,1210.0
2003-09-01,49.325,539.0,539.0,108.548,1111.64,1111.64,96.39800000000001,1048.0,1048.0
2003-10-01,51.145,559.0,559.0,112.55300000000001,1152.66,1152.66,99.95400000000001,1087.0,1087.0
2003-11-01,52.495,574.0,574.0,115.522,1183.06,1183.06,102.59100000000001,1116.0,1116.0
2003-12-01,54.792,599.0,599.0,120.578,1234.84,1234.84,107.081,1165.0,1165.0
2004-01-01,15.606,147.0,147.0,67.57,677.19,677.19,28.52,298.0,298.0
2004-02-01,4.526,43.0,43.0,66.49,666.36,666.36,18.768,196.0,196.0
2004-03-01,3.6,34.0,34.0,104.85300000000001,1050.84,1050.84,16.505,172.0,172.0
2004-04-01,8.499,80.0,80.0,125.837,1261.14,1261.14,34.59,361.0,361.0
2004-05-01,16.161,152.0,152.0,134.655,1349.51,1349.51,19.739,206.0,206.0
2004-06-01,8.016,75.0,75.0,208.835,2092.94,2092.94,24.316000000000003,254.0,254.0
2004-07-01,44.32,417.0,417.0,167.745,1681.14,1681.14,21.836000000000002,228.0,228.0
2004-08-01,5.329000000000001,50.0,50.0,135.78400000000002,1360.83,1360.83,6.867,72.0,72.0
2004-09-01,17.103,161.0,161.0,148.948,1492.76,1492.76,19.27,201.0,201.0
2004-10-01,3.246,31.0,31.0,174.669,1750.53,1750.53,34.022,355.0,355.0
2004-11-01,4.299,40.0,40.0,153.709,1540.47,1540.47,41.318000000000005,431.0,431.0
2004-12-01,20.296,191.0,191.0,150.904,1512.36,1512.36,24.248,253.0,253.0
2005-01-01,60.341,567.61,567.61,151.585,1515.7,1515.7,81.409,747.95,747.95
