measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2021-10-01,-4.487,0.0,0.0,239.947,2122.0,2122.0
2021-11-01,-4.674,0.0,0.0,190.209,1682.0,1682.0
2021-12-01,-4.839,0.0,0.0,129.844,1148.0,1148.0
2022-01-01,-2.867,0.0,0.0,28.992,99.0,99.0
2022-02-01,-3.024,0.0,0.0,34.805,119.0,119.0
2022-03-01,-2.803,0.0,0.0,46.05,157.0,157.0
2022-04-01,-2.933,0.0,0.0,52.073,178.0,178.0
2022-05-01,-3.099,0.0,0.0,61.057,208.0,208.0
2022-06-01,-3.14,0.0,0.0,63.596,217.0,217.0
2022-07-01,-3.218,0.0,0.0,61.752,211.0,211.0
2022-08-01,-3.347,0.0,0.0,57.223,195.0,195.0
2022-09-01,-3.008,0.0,0.0,48.099,164.0,164.0
2022-10-01,-3.342,0.0,0.0,44.158,151.0,151.0
2022-11-01,-3.095,0.0,0.0,32.502,111.0,111.0
2022-12-01,-3.124,0.0,0.0,22.693,77.0,77.0
2023-01-01,0.0,0.0,0.0,21.0,72.0,72.0
2023-02-01,0.0,0.0,0.0,29.0,99.0,99.0
2023-03-01,0.0,0.0,0.0,59.0,201.0,201.0
2023-04-01,0.0,0.0,0.0,63.0,215.0,215.0
2023-05-01,0.0,0.0,0.0,91.0,310.0,310.0
2023-06-01,0.0,0.0,0.0,92.0,314.0,314.0
2023-07-01,0.0,0.0,0.0,108.0,368.0,368.0
2023-08-01,0.0,0.0,0.0,63.0,215.0,215.0
2023-09-01,0.0,0.0,0.0,71.0,242.0,242.0
2023-10-01,0.0,0.0,0.0,53.0,181.0,181.0
2023-11-01,0.0,0.0,0.0,33.0,113.0,113.0
2023-12-01,0.0,0.0,0.0,14.0,48.0,48.0
2024-01-01,-2.0,0.0,0.0,5.0,17.0,17.0
2024-02-01,-4.0,0.0,0.0,12.0,41.0,41.0
2024-03-01,-3.0,0.0,0.0,56.0,191.0,191.0
2024-04-01,-3.0,0.0,0.0,73.0,249.0,249.0
2024-05-01,-3.0,0.0,0.0,77.0,263.0,263.0
2024-06-01,-3.0,0.0,0.0,73.0,249.0,249.0
2024-07-01,-2.0,0.0,0.0,94.0,321.0,321.0
2024-08-01,-2.0,0.0,0.0,75.0,256.0,256.0
2024-09-01,-4.0,0.0,0.0,57.0,194.0,194.0
2024-10-01,-3.0,0.0,0.0,16.0,55.0,55.0
2024-11-01,-4.0,0.0,0.0,18.0,61.0,61.0
2024-12-01,-3.0,0.0,0.0,12.0,41.0,41.0
