measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2014-01-01,,,,505.459,4807.0,4807.0
2014-02-01,,,,326.817,3108.0,3108.0
2014-03-01,,,,411.996,3918.0,3918.0
2014-04-01,,,,421.767,4011.0,4011.0
2014-05-01,,,,336.027,3196.0,3196.0
2014-06-01,,,,239.239,2275.0,2275.0
2014-07-01,,,,191.578,1822.0,1822.0
2014-08-01,,,,135.165,1285.0,1285.0
2014-09-01,,,,176.01,1674.0,1674.0
2014-10-01,,,,323.033,3072.0,3072.0
2014-11-01,,,,492.788,4686.0,4686.0
2014-12-01,,,,318.121,3025.0,3025.0
2015-01-01,,,,483.886,4509.0,4509.0
2015-02-01,,,,450.76,4201.0,4201.0
2015-03-01,,,,481.991,4492.0,4492.0
2015-04-01,,,,517.057,4818.0,4818.0
2015-05-01,,,,428.638,3994.0,3994.0
2015-06-01,,,,249.695,2327.0,2327.0
2015-07-01,,,,193.18,1800.0,1800.0
2015-08-01,,,,214.209,1996.0,1996.0
2015-09-01,,,,302.594,2820.0,2820.0
2015-10-01,,,,562.905,5246.0,5246.0
2015-11-01,,,,661.382,6163.0,6163.0
2015-12-01,,,,634.703,5915.0,5915.0
2016-01-01,,,,563.524,5202.0,5202.0
2016-02-01,,,,508.787,4697.0,4697.0
2016-03-01,,,,486.912,4495.0,4495.0
2016-04-01,,,,455.96,4209.0,4209.0
2016-05-01,,,,379.535,3504.0,3504.0
2016-06-01,,,,262.932,2427.0,2427.0
2016-07-01,,,,177.779,1641.0,1641.0
2016-08-01,,,,147.72,1364.0,1364.0
2016-09-01,,,,307.642,2840.0,2840.0
2016-10-01,,,,426.891,3941.0,3941.0
2016-11-01,,,,487.238,4498.0,4498.0
2016-12-01,,,,536.08,4949.0,4949.0
2017-01-01,,,,476.609,4391.0,4391.0
2017-02-01,,,,535.757,4936.0,4936.0
2017-03-01,,,,552.895,5094.0,5094.0
2017-04-01,,,,547.706,5046.0,5046.0
2017-05-01,,,,461.55,4252.0,4252.0
2017-06-01,,,,399.848,3684.0,3684.0
2017-07-01,,,,199.735,1840.0,1840.0
2017-08-01,,,,175.184,1614.0,1614.0
2017-09-01,,,,220.33,2030.0,2030.0
2017-10-01,,,,493.514,4547.0,4547.0
2017-11-01,,,,527.658,4861.0,4861.0
2017-12-01,,,,512.214,4719.0,4719.0
2018-01-01,,,,615.03,5599.0,5599.0
2018-02-01,,,,482.681,4394.0,4394.0
2018-03-01,,,,516.129,4699.0,4699.0
2018-04-01,,,,439.769,4004.0,4004.0
2018-05-01,,,,337.453,3072.0,3072.0
2018-06-01,,,,237.904,2166.0,2166.0
2018-07-01,,,,218.769,1992.0,1992.0
2018-08-01,,,,220.435,2007.0,2007.0
2018-09-01,,,,262.657,2391.0,2391.0
2018-10-01,,,,455.942,4151.0,4151.0
2018-11-01,,,,414.08,3770.0,3770.0
2018-12-01,,,,469.151,4271.0,4271.0
2019-01-01,,,,485.367,4322.0,4322.0
2019-02-01,,,,431.966,3847.0,3847.0
2019-03-01,,,,491.728,4379.0,4379.0
2019-04-01,,,,535.601,4770.0,4770.0
2019-05-01,,,,374.399,3334.0,3334.0
2019-06-01,,,,341.299,3039.0,3039.0
2019-07-01,,,,223.032,1986.0,1986.0
2019-08-01,,,,185.799,1655.0,1655.0
2019-09-01,,,,297.489,2649.0,2649.0
2019-10-01,,,,427.35,3806.0,3806.0
2019-11-01,,,,405.312,3609.0,3609.0
2019-12-01,,,,539.658,4806.0,4806.0
2020-01-01,,,,365.975,3209.0,3209.0
2020-02-01,,,,411.793,3610.0,3610.0
2020-03-01,,,,438.381,3843.0,3843.0
2020-04-01,,,,429.831,3768.0,3768.0
2020-05-01,,,,347.365,3045.0,3045.0
2020-06-01,,,,271.886,2384.0,2384.0
2020-07-01,,,,155.475,1363.0,1363.0
2020-08-01,,,,134.819,1182.0,1182.0
