measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,117782.0,1182075.0,1182075.0,29.0,610.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0,11968.0,11968.0,,,,9122.0,90988.0,90988.0
2003-02-01,,,,96606.0,1019066.0,1019066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,7178.0,7178.0,,,,0.0,0.0,0.0
2003-03-01,,,,101826.0,1132380.0,1132380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.0,20654.0,20654.0,,,,0.0,0.0,0.0
2003-04-01,,,,69172.0,771500.0,771500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577.0,17830.0,17830.0,,,,0.0,0.0,0.0
2003-05-01,,,,76177.0,864825.0,864825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,22079.0,22079.0,,,,0.0,0.0,0.0
2003-06-01,,,,117603.0,1219600.0,1219600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2613.0,26942.0,26942.0,,,,3676.0,38131.0,38131.0
2003-07-01,,,,127257.0,1386775.0,1386775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24419.0,260952.0,260952.0,,,,5566.0,60231.0,60231.0
2003-08-01,,,,123059.0,1400525.0,1400525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34736.0,395414.0,395414.0,,,,0.0,0.0,0.0
2003-09-01,,,,119169.0,1361302.0,1361302.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,160.0,160.0,4950.0,55323.0,55323.0,,,,0.0,0.0,0.0
2003-10-01,,,,105818.0,1239454.0,1239454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521.0,28867.0,28867.0,,,,0.0,0.0,0.0
2003-11-01,,,,91176.0,1014017.0,1014017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4522.0,49312.0,49312.0,,,,0.0,0.0,0.0
2003-12-01,,,,119742.0,1369585.0,1369585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953.0,21854.0,21854.0,,,,0.0,0.0,0.0
2004-01-01,,,,105418.0,1162842.0,1162842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0,15179.0,15179.0,,,,0.0,0.0,0.0
2004-02-01,,,,112703.0,1210565.0,1210565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553.0,27130.0,27130.0,,,,1542.0,16202.0,16202.0
2004-03-01,,,,60863.0,686312.0,686312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2678.0,30141.0,30141.0,,,,0.0,0.0,0.0
2004-04-01,,,,71496.0,760857.0,760857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5590.0,59372.0,59372.0,,,,5305.0,82681.0,82681.0
