measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2018-12-01,0.0,0.0,0.0
2019-01-01,-9.454,0.0,0.0
2019-02-01,-6.501,0.0,0.0
2019-03-01,-6.397,0.0,0.0
2019-04-01,-6.366,0.0,0.0
2019-05-01,-8.653,0.0,0.0
2019-06-01,-8.391,0.0,0.0
2019-07-01,-7.613,0.0,0.0
2019-08-01,-8.859,0.0,0.0
2019-09-01,-6.864,0.0,0.0
2019-10-01,-8.992,0.0,0.0
2019-11-01,-8.596,0.0,0.0
2019-12-01,-7.314,0.0,0.0
2020-01-01,-3.324,0.0,0.0
2020-02-01,-3.898,0.0,0.0
2020-03-01,-5.531,0.0,0.0
2020-04-01,-5.26,0.0,0.0
2020-05-01,-5.271,0.0,0.0
2020-06-01,-5.06,0.0,0.0
2020-07-01,-5.266,0.0,0.0
2020-08-01,-5.292,0.0,0.0
2020-09-01,-4.708,0.0,0.0
2020-10-01,-5.177,0.0,0.0
2020-11-01,-5.14,0.0,0.0
2020-12-01,-5.073,0.0,0.0
2021-01-01,-5.318,0.0,0.0
2021-02-01,-4.4,0.0,0.0
2021-03-01,-4.939,0.0,0.0
2021-04-01,-5.509,0.0,0.0
2021-05-01,-5.318,0.0,0.0
2021-06-01,-5.282,0.0,0.0
2021-07-01,-4.458,0.0,0.0
2021-08-01,-5.535,0.0,0.0
2021-09-01,-5.671,0.0,0.0
2021-10-01,-4.9,0.0,0.0
2021-11-01,-5.971,0.0,0.0
2021-12-01,-5.699,0.0,0.0
2022-01-01,-4.14,0.0,0.0
2022-02-01,-3.785,0.0,0.0
2022-03-01,-3.856,0.0,0.0
2022-04-01,-2.99,0.0,0.0
2022-05-01,-4.563,0.0,0.0
2022-06-01,-4.498,0.0,0.0
2022-07-01,-4.204,0.0,0.0
2022-08-01,-4.487,0.0,0.0
2022-09-01,-4.132,0.0,0.0
2022-10-01,-4.338,0.0,0.0
2022-11-01,-4.036,0.0,0.0
2022-12-01,-3.971,0.0,0.0
2023-01-01,-5.0,0.0,0.0
2023-02-01,-2.0,0.0,0.0
2023-03-01,-2.0,0.0,0.0
2023-04-01,-2.0,0.0,0.0
2023-05-01,-2.0,0.0,0.0
2023-06-01,-2.0,0.0,0.0
2023-07-01,-2.0,0.0,0.0
2023-08-01,-2.0,0.0,0.0
2023-09-01,-2.0,0.0,0.0
2023-10-01,-3.0,0.0,0.0
2023-11-01,-4.0,0.0,0.0
2023-12-01,-4.0,0.0,0.0
2024-01-01,-3.0,0.0,0.0
2024-02-01,-2.0,0.0,0.0
2024-03-01,-2.0,0.0,0.0
2024-04-01,-2.0,0.0,0.0
2024-05-01,-2.0,0.0,0.0
2024-06-01,-2.0,0.0,0.0
2024-07-01,-2.0,0.0,0.0
2024-08-01,-2.0,0.0,0.0
2024-09-01,-2.0,0.0,0.0
2024-10-01,-2.0,0.0,0.0
2024-11-01,-2.0,0.0,0.0
2024-12-01,-2.0,0.0,0.0
