measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2003-01-01,,,,268.0,2744.59,2744.59
2003-02-01,,,,226.0,2314.47,2314.47
2003-03-01,,,,326.0,3338.57,3338.57
2003-04-01,,,,313.0,3205.43,3205.43
2003-05-01,,,,205.0,2099.41,2099.41
2003-06-01,,,,166.0,1700.01,1700.01
2003-07-01,,,,168.0,1720.49,1720.49
2003-08-01,,,,101.0,1034.34,1034.34
2003-09-01,,,,184.0,1884.34,1884.34
2003-10-01,,,,249.0,2550.01,2550.01
2003-11-01,,,,224.0,2293.98,2293.98
2003-12-01,,,,273.0,2795.79,2795.79
2004-01-01,,,,228.917,2294.21,2294.21
2004-02-01,,,,228.917,2294.21,2294.21
2004-03-01,,,,228.917,2294.21,2294.21
2004-04-01,,,,228.917,2294.21,2294.21
2004-05-01,,,,228.917,2294.21,2294.21
2004-06-01,,,,228.917,2294.21,2294.21
2004-07-01,,,,228.917,2294.21,2294.21
2004-08-01,,,,228.917,2294.21,2294.21
2004-09-01,,,,228.917,2294.21,2294.21
2004-10-01,,,,228.917,2294.21,2294.21
2004-11-01,,,,228.917,2294.21,2294.21
2004-12-01,,,,228.917,2294.21,2294.21
2005-01-01,0.0,0.0,0.0,111.899,1118.87,1118.87
2005-02-01,0.0,0.0,0.0,147.399,1473.84,1473.84
2005-03-01,0.0,0.0,0.0,219.09300000000002,2190.72,2190.72
2005-04-01,0.0,0.0,0.0,221.725,2217.03,2217.03
2005-05-01,0.0,0.0,0.0,235.55800000000002,2355.35,2355.35
2005-06-01,0.0,0.0,0.0,199.877,1998.58,1998.58
2005-07-01,0.0,0.0,0.0,136.657,1366.43,1366.43
2005-08-01,0.0,0.0,0.0,122.971,1229.59,1229.59
2005-09-01,0.0,0.0,0.0,259.392,2593.66,2593.66
2005-10-01,0.0,0.0,0.0,343.867,3438.33,3438.33
2005-11-01,0.0,0.0,0.0,472.714,4726.66,4726.66
2005-12-01,0.0,0.0,0.0,384.848,3848.1,3848.1
2006-01-01,,,,317.63100000000003,3151.0,3151.0
2006-02-01,,,,258.209,2561.0,2561.0
2006-03-01,,,,263.697,2616.0,2616.0
2006-04-01,,,,265.016,2629.0,2629.0
2006-05-01,,,,249.42200000000003,2474.0,2474.0
2006-06-01,,,,167.348,1660.0,1660.0
2006-07-01,,,,170.67700000000002,1693.0,1693.0
2006-08-01,,,,147.715,1465.0,1465.0
2006-09-01,,,,180.36100000000002,1789.0,1789.0
2006-10-01,,,,256.004,2539.0,2539.0
2006-11-01,,,,289.10200000000003,2868.0,2868.0
2006-12-01,,,,310.81800000000004,3083.0,3083.0
2007-01-01,,,,390.52700000000004,3860.0,3860.0
2007-02-01,,,,190.184,1880.0,1880.0
2007-03-01,,,,272.98,2698.0,2698.0
2007-04-01,,,,230.238,2276.0,2276.0
2007-05-01,,,,211.787,2093.0,2093.0
2007-06-01,,,,214.013,2115.0,2115.0
2007-07-01,,,,195.204,1929.0,1929.0
2007-08-01,,,,153.118,1513.0,1513.0
2007-09-01,,,,178.12800000000001,1761.0,1761.0
2007-10-01,,,,215.597,2131.0,2131.0
2007-11-01,,,,240.681,2379.0,2379.0
2007-12-01,,,,223.545,2210.0,2210.0
2008-01-01,,,,296.099,2918.0,2918.0
2008-02-01,,,,245.363,2418.0,2418.0
2008-03-01,,,,243.823,2403.0,2403.0
2008-04-01,,,,309.89300000000003,3054.0,3054.0
2008-05-01,,,,247.162,2436.0,2436.0
2008-06-01,,,,169.032,1666.0,1666.0
2008-07-01,,,,196.11800000000002,1933.0,1933.0
2008-08-01,,,,194.805,1920.0,1920.0
2008-09-01,,,,179.017,1764.0,1764.0
2008-10-01,,,,189.16500000000002,1864.0,1864.0
2008-11-01,,,,275.172,2712.0,2712.0
2008-12-01,,,,376.351,3709.0,3709.0
2009-01-01,,,,166.817,1628.0,1628.0
2009-02-01,,,,113.924,1112.0,1112.0
2009-03-01,,,,269.593,2631.0,2631.0
