measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2020-09-01,2.662,24.0,24.0,0.0,0.0,0.0
2020-10-01,3.321,30.0,30.0,0.0,0.0,0.0
2020-11-01,4.461,41.0,41.0,0.0,0.0,0.0
2020-12-01,3.556,36.0,36.0,0.0,0.0,0.0
2021-01-01,1.1,12.0,12.0,0.0,0.0,0.0
2021-02-01,1.82,17.0,17.0,0.0,0.0,0.0
2021-03-01,1.408,17.0,17.0,0.0,0.0,0.0
2021-04-01,1.098,12.0,12.0,0.0,0.0,0.0
2021-05-01,1.08,12.0,12.0,0.0,0.0,0.0
2021-06-01,1.245,12.0,12.0,0.0,0.0,0.0
2021-07-01,0.447,6.0,6.0,0.0,0.0,0.0
2021-08-01,0.695,6.0,6.0,0.0,0.0,0.0
2021-09-01,0.966,12.0,12.0,0.0,0.0,0.0
2021-10-01,1.215,12.0,12.0,0.0,0.0,0.0
2021-11-01,1.17,12.0,12.0,0.0,0.0,0.0
2021-12-01,1.756,17.0,17.0,0.0,0.0,0.0
2022-01-01,2.47,23.0,23.0,0.0,0.0,0.0
2022-02-01,2.65,29.0,29.0,0.0,0.0,0.0
2022-03-01,2.198,23.0,23.0,0.0,0.0,0.0
2022-04-01,1.468,17.0,17.0,0.0,0.0,0.0
2022-05-01,2.883,29.0,29.0,0.0,0.0,0.0
2022-06-01,1.991,17.0,17.0,0.0,0.0,0.0
2022-07-01,1.435,12.0,12.0,0.0,0.0,0.0
2022-08-01,1.535,17.0,17.0,0.0,0.0,0.0
2022-09-01,1.813,17.0,17.0,0.0,0.0,0.0
2022-10-01,2.157,23.0,23.0,0.0,0.0,0.0
2022-11-01,2.501,23.0,23.0,0.0,0.0,0.0
2022-12-01,2.899,29.0,29.0,0.0,0.0,0.0
2023-01-01,2.549,17.0,17.0,0.887,11.0,11.0
2023-02-01,2.532,23.0,23.0,0.757,7.0,7.0
2023-03-01,2.369,17.0,17.0,0.819,7.0,7.0
2023-04-01,1.908,17.0,17.0,0.749,7.0,7.0
2023-05-01,1.799,17.0,17.0,0.866,7.0,7.0
2023-06-01,1.461,12.0,12.0,0.958,7.0,7.0
2023-07-01,1.493,12.0,12.0,0.951,7.0,7.0
2023-08-01,1.204,12.0,12.0,1.021,7.0,7.0
2023-09-01,2.031,17.0,17.0,0.954,7.0,7.0
2023-10-01,1.536,12.0,12.0,0.95,7.0,7.0
2023-11-01,1.872,17.0,17.0,0.966,7.0,7.0
2023-12-01,2.39,23.0,23.0,0.978,7.0,7.0
2024-01-01,0.0,0.0,0.0,2.485,19.0,19.0
2024-02-01,0.0,0.0,0.0,2.691,22.0,22.0
2024-03-01,0.0,0.0,0.0,2.429,19.0,19.0
2024-04-01,0.0,0.0,0.0,2.061,15.0,15.0
2024-05-01,0.0,0.0,0.0,3.063,22.0,22.0
2024-06-01,0.0,0.0,0.0,2.818,22.0,22.0
2024-07-01,0.0,0.0,0.0,3.09,22.0,22.0
2024-08-01,0.0,0.0,0.0,3.325,26.0,26.0
2024-09-01,0.0,0.0,0.0,3.166,26.0,26.0
2024-10-01,0.0,0.0,0.0,2.856,22.0,22.0
2024-11-01,0.0,0.0,0.0,2.565,19.0,19.0
2024-12-01,1.521,12.0,12.0,2.93,22.0,22.0
