measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2011-01-01,488.028,6213.0,6213.0,,,
2011-02-01,463.864,5905.0,5905.0,,,
2011-03-01,525.351,6688.0,6688.0,,,
2011-04-01,404.697,5152.0,5152.0,,,
2011-05-01,527.503,6715.0,6715.0,,,
2011-06-01,521.355,6637.0,6637.0,,,
2011-07-01,555.431,7071.0,7071.0,,,
2011-08-01,536.116,6825.0,6825.0,,,
2011-09-01,546.999,6963.0,6963.0,,,
2011-10-01,550.116,7003.0,7003.0,,,
2011-11-01,471.528,6002.0,6002.0,,,
2011-12-01,572.012,7282.0,7282.0,,,
2012-01-01,629.61,8918.0,8918.0,,,
2012-02-01,586.369,8305.0,8305.0,,,
2012-03-01,607.479,8604.0,8604.0,,,
2012-04-01,575.948,8157.0,8157.0,,,
2012-05-01,651.712,9230.0,9230.0,,,
2012-06-01,632.19,8954.0,8954.0,,,
2012-07-01,632.957,8965.0,8965.0,,,
2012-08-01,615.319,8715.0,8715.0,,,
2012-09-01,628.991,8908.0,8908.0,,,
2012-10-01,572.958,8115.0,8115.0,,,
2012-11-01,443.76,6285.0,6285.0,,,
2012-12-01,603.707,8550.0,8550.0,,,
2013-01-01,241.714,1761.0,1761.0,,,
2013-02-01,221.392,1613.0,1613.0,,,
2013-03-01,274.421,1999.0,1999.0,,,
2013-04-01,262.516,1912.0,1912.0,,,
2013-05-01,262.73,1914.0,1914.0,,,
2013-06-01,254.318,1853.0,1853.0,,,
2013-07-01,276.358,2013.0,2013.0,,,
2013-08-01,285.246,2078.0,2078.0,,,
2013-09-01,267.563,1949.0,1949.0,135.804,1296.0,1296.0
2013-10-01,278.818,2031.0,2031.0,109.325,1043.0,1043.0
2013-11-01,271.887,1981.0,1981.0,81.797,780.0,780.0
2013-12-01,289.037,2106.0,2106.0,57.074,545.0,545.0
2014-01-01,601.018,5940.0,5940.0,66.865,636.0,636.0
2014-02-01,587.817,5810.0,5810.0,95.793,911.0,911.0
2014-03-01,641.088,6336.0,6336.0,134.53,1279.0,1279.0
2014-04-01,650.497,6429.0,6429.0,164.136,1561.0,1561.0
2014-05-01,661.875,6541.0,6541.0,157.252,1495.0,1495.0
2014-06-01,694.698,6866.0,6866.0,165.082,1570.0,1570.0
2014-07-01,652.423,6448.0,6448.0,170.696,1623.0,1623.0
2014-08-01,691.902,6838.0,6838.0,168.509,1603.0,1603.0
2014-09-01,694.84,6867.0,6867.0,140.41,1335.0,1335.0
2014-10-01,707.432,6992.0,6992.0,103.268,982.0,982.0
2014-11-01,665.837,6581.0,6581.0,94.552,899.0,899.0
2014-12-01,714.573,7062.0,7062.0,62.907,598.0,598.0
2015-01-01,428.827,4416.0,4416.0,87.649,817.0,817.0
2015-02-01,335.473,3455.0,3455.0,97.286,907.0,907.0
2015-03-01,358.319,3690.0,3690.0,124.604,1161.0,1161.0
2015-04-01,367.043,3780.0,3780.0,160.386,1495.0,1495.0
2015-05-01,397.074,4089.0,4089.0,183.879,1714.0,1714.0
2015-06-01,425.771,4384.0,4384.0,152.073,1417.0,1417.0
2015-07-01,455.607,4692.0,4692.0,169.994,1584.0,1584.0
2015-08-01,456.087,4697.0,4697.0,184.813,1722.0,1722.0
