measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,,,,,,,0.0,0.0,0.0
2003-02-01,14769.0,66102.0,616159.0,3479.0,15573.0,145159.0,,,,57.0,256.0,2386.0
2003-03-01,18698.0,126110.0,665492.0,2747.0,18528.0,97774.0,,,,0.0,0.0,0.0
2003-04-01,23146.0,208743.0,729364.0,3702.0,33392.0,116673.0,,,,0.0,0.0,0.0
2003-05-01,16627.0,158068.0,555945.0,3385.0,32181.0,113188.0,,,,0.0,0.0,0.0
2003-06-01,7362.0,49117.0,286760.0,3947.0,26338.0,153765.0,,,,0.0,0.0,0.0
2003-07-01,10987.0,96221.0,344132.0,4501.0,39419.0,140979.0,,,,0.0,0.0,0.0
2003-08-01,16685.0,156735.0,465940.0,6856.0,64400.0,191449.0,,,,0.0,0.0,0.0
2003-09-01,21095.0,202794.0,617935.0,4282.0,41168.0,125446.0,,,,0.0,0.0,0.0
2003-10-01,21974.0,147191.0,625396.0,4960.0,33221.0,141153.0,,,,0.0,0.0,0.0
2003-11-01,20354.0,94248.0,656284.0,3623.0,16773.0,116802.0,,,,0.0,0.0,0.0
2003-12-01,,,,,,,,,,0.0,0.0,0.0
2004-01-01,21402.31983,106493.59,955664.85,5416.40817,26950.95,241855.6,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,21497.33204,106966.36,959226.18,4398.99196,21888.49,196286.14,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,23841.61939,118631.05,1062702.61,3309.51961,16467.5,147516.62,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,22570.55204,112306.48,1007305.91,4903.76396,24400.13,218851.11,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,22054.17592,109737.1,984091.52,4540.26308,22591.43,202593.58,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,21462.4048,106792.57,957402.74,4007.7562000000003,19941.78,178779.44,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,23065.78408,114770.66,1028732.89,4032.86492,20066.72,179865.59,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,25664.55537,127701.61,1143817.98,3380.37763,16820.07,150656.68,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,24383.00241,121324.87,1087024.7,3638.22459,18103.07,162196.6,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,23718.41516,118018.01,1057375.91,3511.36484,17471.84,156537.97,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,17645.84879,87802.16,789412.96,7099.41421,35325.24,317602.72,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,19843.5612,98737.53,885741.22,4521.361800000001,22497.38,201816.42,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,21540.91089,107183.2,1107297.0,4024.40911,20024.64,206872.22,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,18187.50505,90497.33,984015.63,3014.75495,15000.81,163110.11,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,18243.2811,90774.86,1108220.68,3100.5989,15427.95,188351.42,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,9618.95847,47861.98,574337.69,6260.91153,31153.02,373832.31,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,8853.92425,44055.33,580429.92,4534.01575,22560.34,297232.99,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,6244.44082,31071.07,385092.35,4329.52918,21542.86,267000.46,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,12606.06565,62725.22,612879.06,3727.76435,18548.6,181235.67,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,12242.10928,60914.25,612561.84,3136.27072,15605.45,156930.45,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,14105.97348,70188.46,604036.42,3167.78652,15762.26,135648.8,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,21844.86194,108695.59,868077.12,3969.74806,19752.66,157750.94,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,20713.90292,103068.17,908905.54,5088.09708,25317.34,223260.66,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,15346.83047,76362.71,868125.85,5395.64953,26847.66,305216.3,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,21550.72625,107232.04,1028072.96,4195.98375,20878.36,200168.54,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,18083.58709,89980.26,881283.73,3922.27116,19516.42,191147.57,0.0,0.0,0.0,982.17175,4887.09,47865.06
2006-03-01,27964.42056,139145.28,1119323.33,3958.27944,19695.59,158436.84,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,21373.04491,106347.93,869412.73,4823.74509,24001.98,196220.3,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,14357.06051,71437.82,631654.07,5464.88949,27192.18,240433.6,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,20846.55046,103728.2,836754.2,3818.60954,19000.63,153274.16,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,21184.90367,105411.78,881976.86,3787.74633,18847.06,157692.7,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,25578.64969,127274.16,955187.42,4723.18031,23501.59,176378.44,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,22519.92671,112054.58,863451.75,5427.71329,27007.2,208107.63,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,24680.31899,122804.25,967942.88,5256.79101,26156.72,206167.25,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,23202.68583,115451.85,937454.68,4952.53417,24642.8,200096.51,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,7505.50013,37345.84,454749.98,4700.00987,23386.29,284768.42,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,5730.051,28512.0,485397.0,2508.16,12480.0,212468.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,6547.674,32580.0,520420.0,2213.367,11014.0,175922.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,12563.266,62512.0,687752.0,4815.254,23960.0,263602.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,18077.905,89952.0,847532.0,4038.0950000000003,20092.0,189315.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,15484.266,77047.0,728768.0,4480.276,22293.0,210864.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,13342.007,66387.0,700759.0,3922.054,19515.0,205997.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,10669.158,53088.0,666332.0,2963.223,14744.0,185065.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,20826.449,103628.0,921495.0,3659.26,18207.0,161909.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,23771.748,118283.0,1012156.0,4171.042,20754.0,177595.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,23257.53,115725.0,991313.0,4315.69,21474.0,183949.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,14556.407,72430.0,844729.0,3439.0330000000004,17112.0,199572.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,14229.65,70804.0,876228.0,3789.07,18854.0,233322.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,13818.456,68758.0,953162.0,3149.7540000000004,15673.0,217262.0,,,,0.0,0.0,0.0
2008-02-01,12225.115,60830.0,786596.0,4405.535,21921.0,283464.0,,,,0.0,0.0,0.0
