measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2012-01-01,,,,0.377,4.0,143014.0
2012-02-01,,,,0.394,5.0,148937.0
2012-03-01,,,,0.437,5.0,165306.0
2012-04-01,,,,0.554,6.0,209466.0
2012-05-01,,,,0.525,6.0,198668.0
2012-06-01,,,,0.55,6.0,207956.0
2012-07-01,,,,0.756,9.0,285925.0
2012-08-01,,,,0.407,5.0,153889.0
2012-09-01,,,,0.28,3.0,106128.0
2012-10-01,,,,0.214,3.0,81074.0
2012-11-01,,,,0.216,3.0,81677.0
2012-12-01,,,,0.14,2.0,53006.0
2013-01-01,,,,0.313,4.0,113968.0
2013-02-01,,,,0.27,3.0,98235.0
2013-03-01,,,,0.438,5.0,159091.0
2013-04-01,,,,0.452,5.0,164173.0
2013-05-01,,,,0.557,7.0,202522.0
2013-06-01,,,,0.401,5.0,145739.0
2013-07-01,,,,0.571,7.0,207706.0
2013-08-01,,,,0.503,6.0,182854.0
2013-09-01,,,,0.302,4.0,109754.0
2013-10-01,,,,0.334,4.0,121579.0
2013-11-01,,,,0.326,4.0,118390.0
2013-12-01,,,,0.383,4.0,139337.0
2014-01-01,,,,1.124,13.0,208793.0
2014-02-01,,,,1.051,12.0,195386.0
2014-03-01,,,,0.813,10.0,151055.0
2014-04-01,,,,0.755,9.0,140449.0
2014-05-01,,,,0.791,9.0,147074.0
2014-06-01,,,,0.821,10.0,152721.0
2014-07-01,,,,0.524,6.0,97427.0
2014-08-01,,,,0.858,10.0,159591.0
2014-09-01,,,,0.7,8.0,130145.0
2014-10-01,,,,0.775,9.0,144077.0
2014-11-01,,,,0.633,7.0,117730.0
2014-12-01,,,,0.855,10.0,158869.0
2015-01-01,,,,10.247,120.0,147989.0
2015-02-01,,,,10.601,124.0,153111.0
2015-03-01,,,,10.36,121.0,149628.0
2015-04-01,,,,7.599,89.0,109745.0
2015-05-01,,,,8.726,102.0,126024.0
2015-06-01,,,,9.947,117.0,143663.0
2015-07-01,,,,12.06,141.0,174182.0
