measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2010-01-01,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,,,
2010-11-01,1724.872,19087.0,19087.0,,,
2010-12-01,1800.1280000000002,19919.0,19919.0,,,
2011-01-01,2341.831,24796.0,24796.0,,,
2011-02-01,2251.607,23841.0,23841.0,,,
2011-03-01,2221.25,23519.0,23519.0,,,
2011-04-01,2124.78,22498.0,22498.0,,,
2011-05-01,1433.497,15178.0,15178.0,,,
2011-06-01,2177.465,23056.0,23056.0,,,
2011-07-01,2252.646,23852.0,23852.0,,,
2011-08-01,2408.973,25507.0,25507.0,,,
2011-09-01,2171.31,22991.0,22991.0,,,
2011-10-01,2262.709,23959.0,23959.0,,,
2011-11-01,2809.518,29748.0,29748.0,,,
2011-12-01,2382.414,25226.0,25226.0,,,
2012-01-01,97.945,1117.0,1117.0,,,
2012-02-01,1696.676,19335.0,19335.0,,,
2012-03-01,2542.844,28977.0,28977.0,,,
2012-04-01,2424.442,27628.0,27628.0,,,
2012-05-01,3002.812,34219.0,34219.0,,,
2012-06-01,2454.818,27974.0,27974.0,,,
2012-07-01,2413.904,27508.0,27508.0,,,
2012-08-01,3245.814,36988.0,36988.0,,,
2012-09-01,2788.946,31782.0,31782.0,,,
2012-10-01,1932.239,22019.0,22019.0,,,
2012-11-01,2943.921,33548.0,33548.0,,,
2012-12-01,3084.639,35151.0,35151.0,,,
2013-01-01,2872.508,35702.0,35702.0,,,
2013-02-01,2457.849,30548.0,30548.0,,,
2013-03-01,2408.43,29934.0,29934.0,,,
2013-04-01,2700.396,33562.0,33562.0,,,
2013-05-01,2965.664,36859.0,36859.0,,,
2013-06-01,2783.896,34600.0,34600.0,,,
2013-07-01,2841.834,35320.0,35320.0,,,
2013-08-01,2558.957,31805.0,31805.0,,,
2013-09-01,2145.434,26665.0,26665.0,,,
2013-10-01,2146.002,26672.0,26672.0,,,
2013-11-01,2224.958,27654.0,27654.0,,,
2013-12-01,2802.072,34826.0,34826.0,,,
2014-01-01,1711.808,21933.0,21933.0,,,
2014-02-01,3350.375,42926.0,42926.0,,,
2014-03-01,3795.273,48626.0,48626.0,,,
2014-04-01,2325.783,29799.0,29799.0,,,
2014-05-01,2707.57,34690.0,34690.0,,,
2014-06-01,2223.714,28491.0,28491.0,,,
2014-07-01,2667.833,34182.0,34182.0,,,
2014-08-01,3007.546,38534.0,38534.0,,,
2014-09-01,1389.237,17800.0,17800.0,,,
2014-10-01,2738.736,35090.0,35090.0,,,
2014-11-01,2917.942,37386.0,37386.0,,,
2014-12-01,3305.183,42347.0,42347.0,,,
2015-01-01,2693.241,32568.0,32568.0,,,
2015-02-01,2680.203,32412.0,32412.0,,,
2015-03-01,2698.384,32631.0,32631.0,,,
2015-04-01,2957.574,35765.0,35765.0,,,
2015-05-01,3274.03,39592.0,39592.0,,,
2015-06-01,3399.793,41113.0,41113.0,,,
2015-07-01,3294.249,39837.0,39837.0,,,
2015-08-01,2445.47,29573.0,29573.0,,,
2015-09-01,1934.541,23394.0,23394.0,,,
2015-10-01,2347.27,28385.0,28385.0,,,
2015-11-01,2729.719,33010.0,33010.0,,,
2015-12-01,2878.526,34809.0,34809.0,,,
2016-01-01,1131.824,13847.0,13847.0,,,
2016-02-01,1653.702,20231.0,20231.0,,,
2016-03-01,2813.895,34424.0,34424.0,,,
2016-04-01,2878.317,35213.0,35213.0,,,
2016-05-01,2984.111,36507.0,36507.0,,,
2016-06-01,2576.892,31525.0,31525.0,,,
2016-07-01,3253.03,39797.0,39797.0,,,
2016-08-01,2804.438,34309.0,34309.0,,,
2016-09-01,2770.158,33889.0,33889.0,,,
2016-10-01,2069.788,25321.0,25321.0,,,
2016-11-01,2945.103,36030.0,36030.0,,,
2016-12-01,2955.742,36160.0,36160.0,,,
2017-01-01,2451.933,29077.0,29077.0,,,
2017-02-01,2223.821,26372.0,26372.0,,,
2017-03-01,2941.108,34878.0,34878.0,,,
2017-04-01,2870.46,34040.0,34040.0,,,
2017-05-01,3067.845,36381.0,36381.0,,,
2017-06-01,2564.93,30417.0,30417.0,,,
2017-07-01,2562.644,30390.0,30390.0,,,
2017-08-01,2848.062,33774.0,33774.0,,,
2017-09-01,2664.579,31599.0,31599.0,,,
2017-10-01,2363.802,28032.0,28032.0,,,
2017-11-01,2824.154,33491.0,33491.0,,,
2017-12-01,2999.662,35572.0,35572.0,,,
2018-01-01,2909.913,34519.0,34519.0,,,
2018-02-01,2732.885,32419.0,32419.0,,,
2018-03-01,3026.216,35899.0,35899.0,,,
2018-04-01,2643.576,31360.0,31360.0,,,
2018-05-01,2902.839,34435.0,34435.0,,,
2018-06-01,2446.767,29025.0,29025.0,,,
2018-07-01,2554.696,30305.0,30305.0,,,
2018-08-01,2834.832,33628.0,33628.0,,,
2018-09-01,2573.615,30530.0,30530.0,,,
2018-10-01,2550.421,30254.0,30254.0,,,
2018-11-01,2872.775,34078.0,34078.0,,,
2018-12-01,3134.465,37183.0,37183.0,,,
2019-01-01,3218.276,38278.0,38278.0,,,
2019-02-01,2674.636,31811.0,31811.0,,,
2019-03-01,2551.807,30351.0,30351.0,,,
2019-04-01,2471.043,29390.0,29390.0,,,
2019-05-01,2831.022,33671.0,33671.0,,,
2019-06-01,2824.226,33590.0,33590.0,,,
2019-07-01,2970.944,35335.0,35335.0,,,
2019-08-01,3086.113,36705.0,36705.0,,,
2019-09-01,2448.411,29121.0,29121.0,,,
2019-10-01,2822.626,33571.0,33571.0,,,
2019-11-01,2560.082,30449.0,30449.0,,,
2019-12-01,3044.814,36214.0,36214.0,,,
2020-01-01,2943.638,35157.0,35157.0,,,
2020-02-01,2414.855,28841.0,28841.0,,,
2020-03-01,2748.305,32823.0,32823.0,,,
2020-04-01,2442.962,29177.0,29177.0,,,
2020-05-01,2441.955,29165.0,29165.0,,,
2020-06-01,3136.736,37462.0,37462.0,,,
2020-07-01,2844.339,33970.0,33970.0,,,
2020-08-01,3260.093,38936.0,38936.0,,,
2020-09-01,2667.821,31862.0,31862.0,,,
2020-10-01,2767.725,33055.0,33055.0,,,
2020-11-01,2794.959,33380.0,33380.0,,,
2020-12-01,2482.612,29650.0,29650.0,,,
2021-01-01,2629.24,31752.0,31752.0,,,
2021-02-01,2021.577,24413.0,24413.0,,,
2021-03-01,2933.784,35430.0,35430.0,,,
2021-04-01,2295.829,27726.0,27726.0,,,
2021-05-01,2163.087,26123.0,26123.0,,,
2021-06-01,2248.086,27149.0,27149.0,,,
2021-07-01,2799.969,33814.0,33814.0,,,
2021-08-01,2745.91,33161.0,33161.0,,,
2021-09-01,2861.757,34560.0,34560.0,,,
2021-10-01,2625.404,31706.0,31706.0,,,
2021-11-01,2964.377,35799.0,35799.0,,,
2021-12-01,3066.98,37038.0,37038.0,,,
2022-01-01,1873.276,23979.0,23979.0,,,
2022-02-01,1707.042,21850.0,21850.0,,,
2022-03-01,1875.273,24004.0,24004.0,,,
2022-04-01,1766.471,22611.0,22611.0,,,
2022-05-01,1780.815,22795.0,22795.0,,,
2022-06-01,1797.83,23013.0,23013.0,,,
2022-07-01,1850.994,23693.0,23693.0,,,
2022-08-01,1820.361,23301.0,23301.0,,,
2022-09-01,1713.8,21937.0,21937.0,,,
2022-10-01,1780.111,22786.0,22786.0,,,
2022-11-01,1737.754,22244.0,22244.0,,,
2022-12-01,1801.273,23057.0,23057.0,,,
2023-01-01,0.0,0.0,0.0,575.472,6712.0,6712.0
2023-02-01,0.0,0.0,0.0,520.835,6075.0,6075.0
2023-03-01,0.0,0.0,0.0,536.662,6260.0,6260.0
2023-04-01,0.0,0.0,0.0,461.66,5385.0,5385.0
2023-05-01,0.0,0.0,0.0,648.503,7565.0,7565.0
2023-06-01,0.0,0.0,0.0,680.06,7933.0,7933.0
2023-07-01,0.0,0.0,0.0,761.471,8882.0,8882.0
2023-08-01,0.0,0.0,0.0,755.079,8808.0,8808.0
2023-09-01,0.0,0.0,0.0,626.1,7303.0,7303.0
2023-10-01,0.0,0.0,0.0,371.742,4336.0,4336.0
2023-11-01,0.0,0.0,0.0,387.779,4524.0,4524.0
2023-12-01,0.0,0.0,0.0,584.637,6819.0,6819.0
2024-01-01,0.0,0.0,0.0,1888.871,22438.0,22438.0
2024-02-01,0.0,0.0,0.0,1025.284,12180.0,12180.0
2024-03-01,0.0,0.0,0.0,1729.918,20550.0,20550.0
2024-04-01,0.0,0.0,0.0,1466.984,17427.0,17427.0
2024-05-01,0.0,0.0,0.0,1933.829,22973.0,22973.0
2024-06-01,0.0,0.0,0.0,2353.152,27954.0,27954.0
2024-07-01,0.0,0.0,0.0,2695.446,32019.0,32019.0
2024-08-01,0.0,0.0,0.0,2539.035,30162.0,30162.0
2024-09-01,0.0,0.0,0.0,1594.827,18945.0,18945.0
2024-10-01,0.0,0.0,0.0,1731.378,20567.0,20567.0
2024-11-01,0.0,0.0,0.0,1594.503,18941.0,18941.0
2024-12-01,0.0,0.0,0.0,985.773,11711.0,11711.0
