measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,,,
2003-08-01,506.0,8315.0,8315.0,,,
2003-09-01,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,,,
2004-01-01,152.013,2420.0,2420.0,0.0,0.0,0.0
2004-02-01,147.507,2349.0,2349.0,0.0,0.0,0.0
2004-03-01,157.494,2508.0,2508.0,0.0,0.0,0.0
2004-04-01,164.16400000000002,2614.0,2614.0,0.0,0.0,0.0
2004-05-01,155.184,2471.0,2471.0,0.0,0.0,0.0
2004-06-01,180.255,2870.0,2870.0,0.0,0.0,0.0
2004-07-01,171.858,2736.0,2736.0,0.0,0.0,0.0
2004-08-01,166.251,2647.0,2647.0,0.0,0.0,0.0
2004-09-01,168.704,2686.0,2686.0,0.0,0.0,0.0
2004-10-01,173.74800000000002,2767.0,2767.0,0.0,0.0,0.0
2004-11-01,146.567,2334.0,2334.0,0.0,0.0,0.0
2004-12-01,174.25400000000002,2775.0,2775.0,0.0,0.0,0.0
2005-01-01,341.375,5431.47,5431.47,,,
2005-02-01,283.39,4508.9,4508.9,,,
2005-03-01,350.956,5583.9,5583.9,,,
2005-04-01,345.8,5501.87,5501.87,,,
2005-05-01,407.642,6485.82,6485.82,,,
2005-06-01,514.455,8185.28,8185.28,,,
2005-07-01,644.7660000000001,10258.6,10258.6,,,
2005-08-01,667.908,10626.8,10626.8,,,
2005-09-01,508.23600000000005,8086.33,8086.33,,,
2005-10-01,406.019,6459.99,6459.99,,,
2005-11-01,346.401,5511.44,5511.44,,,
2005-12-01,338.052,5378.6,5378.6,,,
2006-01-01,184.62300000000002,2968.0,2968.0,,,
2006-02-01,219.03900000000002,3521.0,3521.0,,,
2006-03-01,249.834,4016.0,4016.0,,,
2006-04-01,279.444,4492.0,4492.0,,,
2006-05-01,323.666,5203.0,5203.0,,,
2006-06-01,412.439,6629.0,6629.0,,,
2006-07-01,518.5260000000001,8335.0,8335.0,,,
2006-08-01,525.065,8440.0,8440.0,,,
2006-09-01,357.255,5742.0,5742.0,,,
2006-10-01,323.463,5199.0,5199.0,,,
2006-11-01,240.222,3861.0,3861.0,,,
2006-12-01,250.425,4025.0,4025.0,,,
2007-01-01,253.52100000000002,4575.0,4575.0,,,
2007-02-01,215.412,3887.0,3887.0,,,
2007-03-01,250.661,4523.0,4523.0,,,
2007-04-01,236.083,4260.0,4260.0,,,
2007-05-01,257.31,4643.0,4643.0,,,
2007-06-01,301.274,5436.0,5436.0,,,
2007-07-01,325.276,5870.0,5870.0,,,
2007-08-01,387.766,6997.0,6997.0,,,
2007-09-01,316.997,5720.0,5720.0,,,
2007-10-01,266.48900000000003,4809.0,4809.0,,,
2007-11-01,210.745,3803.0,3803.0,,,
2007-12-01,218.467,3942.0,3942.0,,,
2008-01-01,1564.424,25907.0,25907.0,,,
2008-02-01,1321.998,21891.0,21891.0,,,
2008-03-01,1516.8870000000002,25119.0,25119.0,,,
2008-04-01,1475.017,24425.0,24425.0,,,
2008-05-01,1793.961,29707.0,29707.0,,,
