measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed
2002-07-01,16804.0,149453.0,149453.0,,,
2002-08-01,9154.0,81850.0,81850.0,,,
2002-09-01,5975.0,53120.0,53120.0,,,
2002-10-01,1458.0,14323.0,14323.0,,,
2002-11-01,318.0,3168.0,3168.0,,,
2002-12-01,1759.0,17085.0,17085.0,,,
2003-01-01,4219.0,41719.0,41719.0,,,
2003-02-01,3875.0,40833.0,40833.0,0.0,0.0,0.0
2003-03-01,1901.0,19057.0,19057.0,,,
2003-04-01,856.0,8707.0,8707.0,,,
2003-05-01,3233.0,32191.0,32191.0,0.0,0.0,0.0
2003-06-01,620.0,6234.0,6234.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,3103.0,31404.0,31404.0,2959.0,29939.0,29939.0
2003-09-01,380.0,3948.0,3948.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,2663.0,39885.0,39885.0,0.0,0.0,0.0
2003-12-01,248.0,2437.0,2437.0,0.0,0.0,0.0
2004-01-01,1970.5,18963.0,18963.0,0.0,0.0,0.0
2004-02-01,837.5,8176.5,8176.5,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,837.5,8856.5,8856.5,0.0,0.0,0.0
2004-06-01,391.0,4175.0,4175.0,0.0,0.0,0.0
2004-07-01,412.5,4403.5,4403.5,0.0,0.0,0.0
2004-08-01,137.0,1475.0,1475.0,0.0,0.0,0.0
2004-09-01,145.0,1547.5,1547.5,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,9255.5,90694.5,90694.5,0.0,0.0,0.0
2004-12-01,2792.5,27630.5,27630.5,0.0,0.0,0.0
2005-01-01,5474.5,54144.25,54144.25,0.0,0.0,0.0
2005-02-01,2827.0,28007.1,28007.1,0.0,0.0,0.0
2005-03-01,4316.5,42444.575,42444.575,0.0,0.0,0.0
2005-04-01,11634.0,115515.64,115515.64,0.0,0.0,0.0
2005-05-01,875.0,8835.475,8835.475,0.0,0.0,0.0
2005-06-01,2644.0,26681.88,26681.88,0.0,0.0,0.0
2005-07-01,5847.0,58669.16,58669.16,0.0,0.0,0.0
2005-08-01,2315.5,23602.235,23602.235,0.0,0.0,0.0
2005-09-01,327.5,3431.355,3431.355,0.0,0.0,0.0
2005-10-01,338.0,3524.975,3524.975,0.0,0.0,0.0
2005-11-01,3195.0,32419.7,32419.7,0.0,0.0,0.0
2005-12-01,396.0,3975.32,3975.32,0.0,0.0,0.0
2006-01-01,1637.0,16221.0,16221.0,,,
2006-02-01,1090.0,10707.0,10707.0,,,
2006-03-01,1324.0,13093.0,13093.0,,,
2006-04-01,1992.0,19895.0,19895.0,,,
2006-05-01,2521.0,25270.0,25270.0,,,
2006-06-01,2803.0,28435.0,28435.0,,,
2006-07-01,12684.0,130308.0,130308.0,,,
2006-08-01,8630.0,89907.0,89907.0,,,
2006-09-01,3776.0,39397.0,39397.0,,,
2006-10-01,32196.0,321906.0,321906.0,,,
2006-11-01,8028.0,81247.0,81247.0,,,
2006-12-01,3003.0,30948.0,30948.0,,,
2007-01-01,3082.0,31538.0,31538.0,,,
2007-02-01,8251.0,81098.0,81098.0,,,
2007-03-01,3316.0,32721.0,32721.0,,,
2007-04-01,4236.0,41724.0,41724.0,,,
2007-05-01,3480.0,34300.0,34300.0,,,
2007-06-01,6472.0,63992.0,63992.0,,,
2007-07-01,8920.0,89228.0,89228.0,,,
2007-08-01,16945.0,173686.0,173686.0,,,
2007-09-01,8455.0,86731.0,86731.0,,,
2007-10-01,10724.0,108312.0,108312.0,,,
2007-11-01,2626.0,26058.0,26058.0,,,
2007-12-01,4073.0,40267.0,40267.0,,,
2008-01-01,2281.217,22821.0,22821.0,,,
2008-02-01,1949.1550000000002,19499.0,19499.0,,,
2008-03-01,956.317,9567.0,9567.0,,,
2008-04-01,1110.5130000000001,11110.0,11110.0,,,
2008-05-01,556.214,5565.0,5565.0,,,
2008-06-01,4645.647,46476.0,46476.0,,,
2008-07-01,6325.193,63277.0,63277.0,,,
2008-08-01,5023.2480000000005,50253.0,50253.0,,,
2008-09-01,3771.402,37730.0,37730.0,,,
2008-10-01,2243.962,22448.0,22448.0,,,
2008-11-01,1644.1850000000002,16448.0,16448.0,,,
2008-12-01,2288.947,22899.0,22899.0,,,
2009-01-01,3083.0420000000004,30373.0,30373.0,,,
2009-02-01,2343.055,23083.0,23083.0,,,
2009-03-01,2818.6510000000003,27769.0,27769.0,,,
2009-04-01,2014.702,19849.0,19849.0,,,
2009-05-01,1760.462,17344.0,17344.0,,,
2009-06-01,2941.768,28982.0,28982.0,,,
2009-07-01,4256.4580000000005,41934.0,41934.0,,,
2009-08-01,6004.067,59151.0,59151.0,,,
2009-09-01,4633.789000000001,45651.0,45651.0,,,
2009-10-01,1877.076,18493.0,18493.0,,,
2009-11-01,1695.34,16703.0,16703.0,,,
2009-12-01,2755.59,27148.0,27148.0,,,
2010-01-01,3988.5640000000003,39586.0,39586.0,,,
2010-02-01,4257.558,42256.0,42256.0,,,
2010-03-01,1815.453,18018.0,18018.0,,,
2010-04-01,1735.2610000000002,17223.0,17223.0,,,
2010-05-01,3342.702,33176.0,33176.0,,,
2010-06-01,6533.3060000000005,64842.0,64842.0,,,
2010-07-01,8787.715,87217.0,87217.0,,,
2010-08-01,7586.610000000001,75296.0,75296.0,,,
2010-09-01,5828.5560000000005,57847.0,57847.0,,,
2010-10-01,5708.8150000000005,56659.0,56659.0,,,
2010-11-01,4100.0160000000005,40692.0,40692.0,,,
2010-12-01,5843.444,57996.0,57996.0,,,
2011-01-01,2875.717,28757.0,28757.0,,,
2011-02-01,2600.174,26002.0,26002.0,,,
2011-03-01,2187.707,21877.0,21877.0,,,
2011-04-01,1216.764,12168.0,12168.0,,,
2011-05-01,1576.232,15762.0,15762.0,,,
2011-06-01,3091.668,30917.0,30917.0,,,
2011-07-01,5120.599,51207.0,51207.0,,,
2011-08-01,4202.616,42026.0,42026.0,,,
2011-09-01,3609.984,36100.0,36100.0,,,
2011-10-01,3243.942,32440.0,32440.0,,,
2011-11-01,2228.984,22290.0,22290.0,,,
2011-12-01,3728.613,37286.0,37286.0,,,
2012-01-01,1947.526,19874.0,19874.0,,,
2012-02-01,1945.182,19850.0,19850.0,,,
2012-03-01,1910.365,19495.0,19495.0,,,
2012-04-01,1021.061,10420.0,10420.0,,,
2012-05-01,1728.089,17635.0,17635.0,,,
2012-06-01,2108.596,21518.0,21518.0,,,
2012-07-01,2750.896,28072.0,28072.0,,,
2012-08-01,2312.921,23603.0,23603.0,,,
2012-09-01,2030.166,20717.0,20717.0,,,
2012-10-01,1448.589,14783.0,14783.0,,,
2012-11-01,1362.322,13902.0,13902.0,,,
2012-12-01,1642.287,16760.0,16760.0,,,
2013-01-01,980.182,10040.0,10040.0,,,
2013-02-01,990.879,10150.0,10150.0,,,
2013-03-01,658.261,6743.0,6743.0,,,
2013-04-01,936.173,9589.0,9589.0,,,
2013-05-01,841.396,8619.0,8619.0,,,
2013-06-01,830.54,8507.0,8507.0,,,
2013-07-01,1361.226,13943.0,13943.0,,,
2013-08-01,1292.892,13243.0,13243.0,,,
2013-09-01,1052.3,10779.0,10779.0,,,
2013-10-01,787.299,8065.0,8065.0,,,
2013-11-01,944.136,9671.0,9671.0,,,
2013-12-01,902.716,9246.0,9246.0,,,
2014-01-01,5118.238,52281.0,52281.0,,,
2014-02-01,5171.754,52826.0,52826.0,,,
2014-03-01,4686.516,47870.0,47870.0,,,
2014-04-01,3853.721,39364.0,39364.0,,,
2014-05-01,5530.149,56487.0,56487.0,,,
2014-06-01,5752.704,58760.0,58760.0,,,
2014-07-01,6066.496,61965.0,61965.0,,,
2014-08-01,5752.667,58759.0,58759.0,,,
2014-09-01,5568.203,56875.0,56875.0,,,
2014-10-01,2774.38,28338.0,28338.0,,,
2014-11-01,3835.131,39173.0,39173.0,,,
2014-12-01,4619.041,47180.0,47180.0,,,
2015-01-01,6079.609,60235.0,60235.0,,,
2015-02-01,6048.576,59926.0,59926.0,,,
2015-03-01,6127.378,60708.0,60708.0,,,
2015-04-01,3945.281,39088.0,39088.0,,,
2015-05-01,7349.084,72812.0,72812.0,,,
2015-06-01,8712.655,86322.0,86322.0,,,
2015-07-01,9471.935,93844.0,93844.0,,,
2015-08-01,8776.927,86958.0,86958.0,,,
2015-09-01,7228.483,71617.0,71617.0,,,
2015-10-01,3658.44,36246.0,36246.0,,,
2015-11-01,5323.898,52747.0,52747.0,,,
2015-12-01,7846.734,77742.0,77742.0,,,
2016-01-01,19118.061,190398.0,190398.0,,,
2016-02-01,19035.234,189572.0,189572.0,,,
2016-03-01,16598.262,165301.0,165301.0,,,
2016-04-01,8395.873,83614.0,83614.0,,,
2016-05-01,17436.131,173646.0,173646.0,,,
2016-06-01,23539.037,234424.0,234424.0,,,
2016-07-01,28519.453,284024.0,284024.0,,,
2016-08-01,29602.703,294812.0,294812.0,,,
2016-09-01,22169.342,220784.0,220784.0,,,
2016-10-01,13590.982,135352.0,135352.0,,,
2016-11-01,17934.577,178610.0,178610.0,,,
2016-12-01,17842.345,177691.0,177691.0,,,
2017-01-01,12730.22,124459.0,124459.0,,,
2017-02-01,13277.554,129810.0,129810.0,,,
2017-03-01,14900.675,145679.0,145679.0,,,
2017-04-01,10247.244,100184.0,100184.0,,,
2017-05-01,12022.168,117537.0,117537.0,,,
2017-06-01,17523.321,171320.0,171320.0,,,
2017-07-01,19068.323,186425.0,186425.0,,,
2017-08-01,18730.05,183117.0,183117.0,,,
2017-09-01,16126.745,157666.0,157666.0,,,
2017-10-01,9597.567,93832.0,93832.0,,,
2017-11-01,15040.693,147048.0,147048.0,,,
2017-12-01,15878.44,155238.0,155238.0,,,
2018-01-01,15696.209,155736.0,155736.0,,,
2018-02-01,16618.195,164884.0,164884.0,,,
2018-03-01,14775.513,146601.0,146601.0,,,
2018-04-01,12249.786,121541.0,121541.0,,,
2018-05-01,15146.737,150285.0,150285.0,,,
2018-06-01,18958.052,188100.0,188100.0,,,
2018-07-01,19603.195,194501.0,194501.0,,,
2018-08-01,20375.594,202165.0,202165.0,,,
2018-09-01,18982.227,188340.0,188340.0,,,
2018-10-01,13138.825,130362.0,130362.0,,,
2018-11-01,15777.38,156542.0,156542.0,,,
2018-12-01,15163.287,150448.0,150448.0,,,
2019-01-01,28707.057,280862.0,280862.0,,,
2019-02-01,28623.064,280040.0,280040.0,,,
2019-03-01,28325.81,277132.0,277132.0,,,
2019-04-01,24768.492,242328.0,242328.0,,,
