measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,7.498,78.0,425.0,1741.486,17618.0,98303.0
2003-02-01,,,,6.7620000000000005,70.0,384.0,1570.566,15889.0,88655.0
2003-03-01,,,,7.5920000000000005,79.0,431.0,1763.2910000000002,17839.0,99534.0
2003-04-01,,,,6.852,71.0,389.0,1591.424,16100.0,89832.0
2003-05-01,,,,6.174,64.0,350.0,1434.07,14508.0,80950.0
2003-06-01,,,,7.035,73.0,399.0,1634.053,16531.0,92239.0
2003-07-01,,,,6.726,70.0,382.0,1562.179,15804.0,88182.0
2003-08-01,,,,6.471,67.0,367.0,1503.084,15206.0,84846.0
2003-09-01,,,,6.424,67.0,364.0,1492.054,15095.0,84223.0
2003-10-01,,,,6.579000000000001,68.0,373.0,1528.029,15459.0,86254.0
2003-11-01,,,,6.8790000000000004,72.0,390.0,1597.72,16164.0,90188.0
2003-12-01,,,,7.46,78.0,423.0,1732.755,17530.0,97810.0
2004-01-01,1658.10365,19637.79,99247.34,0.00735,0.09,0.44,,,
2004-02-01,1658.10395,19637.79,99247.34,0.019049999999999997,0.23,1.14,,,
2004-03-01,1658.10428,19637.79,99247.34,0.02072,0.25,1.24,,,
2004-04-01,1658.1038,19637.79,99247.34,0.0142,0.17,0.85,,,
2004-05-01,1658.10364,19637.79,99247.34,0.01036,0.12,0.62,,,
2004-06-01,1658.10398,19637.78,99247.34,0.00902,0.11,0.54,,,
2004-07-01,1658.10397,19637.79,99247.34,0.01303,0.15,0.78,,,
2004-08-01,1658.1038,19637.79,99247.34,0.0132,0.16,0.79,,,
2004-09-01,1658.1038,19637.79,99247.34,0.0132,0.16,0.79,,,
2004-10-01,1658.10396,19637.79,99247.34,0.01504,0.18,0.9,,,
2004-11-01,1658.10414,19637.78,99247.34,0.01286,0.15,0.77,,,
2004-12-01,1658.10395,19637.79,99247.34,0.019049999999999997,0.23,1.14,,,
2005-01-01,2841.76456,33656.5,176873.6,225.43344,2669.93,14031.15,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
