measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2021-10-01,847.088,7978.0,7978.0
2021-11-01,834.595,7861.0,7861.0
2021-12-01,836.317,7876.0,7876.0
2022-01-01,986.763,9916.0,9916.0
2022-02-01,873.868,8781.0,8781.0
2022-03-01,942.884,9475.0,9475.0
2022-04-01,733.815,7374.0,7374.0
2022-05-01,757.466,7611.0,7611.0
2022-06-01,841.24,8454.0,8454.0
2022-07-01,904.483,9089.0,9089.0
2022-08-01,951.493,9561.0,9561.0
2022-09-01,922.304,9268.0,9268.0
2022-10-01,928.419,9329.0,9329.0
2022-11-01,788.407,7922.0,7922.0
2022-12-01,898.858,9033.0,9033.0
2023-01-01,836.384,6901.0,6901.0
2023-02-01,812.255,6702.0,6702.0
2023-03-01,858.192,7081.0,7081.0
2023-04-01,818.065,6750.0,6750.0
2023-05-01,1003.983,8284.0,8284.0
2023-06-01,897.565,7406.0,7406.0
2023-07-01,936.915,7731.0,7731.0
2023-08-01,1006.114,8302.0,8302.0
2023-09-01,937.567,7736.0,7736.0
2023-10-01,883.765,7292.0,7292.0
2023-11-01,898.505,7414.0,7414.0
2023-12-01,1013.69,8365.0,8365.0
2024-01-01,1031.562,10333.0,10333.0
2024-02-01,897.855,8995.0,8995.0
2024-03-01,1076.8,10787.0,10787.0
2024-04-01,882.35,8839.0,8839.0
2024-05-01,1041.53,10434.0,10434.0
2024-06-01,971.81,9735.0,9735.0
2024-07-01,1007.296,10091.0,10091.0
2024-08-01,1017.968,10198.0,10198.0
2024-09-01,976.071,9778.0,9778.0
2024-10-01,944.564,9463.0,9463.0
2024-11-01,1007.397,10092.0,10092.0
2024-12-01,1053.797,10557.0,10557.0
