measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Jet Fuel-Combined Cycle Combustion Turbine Part Generation,Jet Fuel-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Jet Fuel-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Jet Fuel-Combined Cycle Steam Part Generation,Jet Fuel-Combined Cycle Steam Part Quantity Consumed For Electricity,Jet Fuel-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other Gases-Combined Cycle Combustion Turbine Part Generation,Other Gases-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Gases-Combined Cycle Steam Part Generation,Other Gases-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,,,,,,,0.0,0.0,0.0,,,,9713.0,116834.0,116834.0,0.0,0.0,0.0,,,,,,
2003-02-01,,,,,,,1443.0,15900.0,15900.0,,,,6011.0,66224.0,66224.0,0.0,0.0,0.0,,,,,,
2003-03-01,,,,,,,1.0,16.0,16.0,,,,3146.0,42230.0,42230.0,0.0,0.0,0.0,,,,,,
2003-04-01,,,,,,,0.0,0.0,0.0,,,,4575.0,43596.0,43596.0,0.0,0.0,0.0,,,,,,
2003-05-01,,,,,,,0.0,0.0,0.0,,,,1698.0,14740.0,14740.0,0.0,0.0,0.0,,,,,,
2003-06-01,,,,,,,0.0,0.0,0.0,,,,3436.0,23777.0,28026.0,0.0,0.0,0.0,,,,,,
2003-07-01,,,,,,,0.0,0.0,0.0,,,,8512.0,64688.0,74217.0,0.0,0.0,0.0,,,,,,
2003-08-01,,,,,,,0.0,0.0,0.0,,,,27396.0,208725.0,236353.0,0.0,0.0,0.0,,,,,,
2003-09-01,,,,,,,0.0,0.0,0.0,,,,37.0,618.0,618.0,0.0,0.0,0.0,,,,,,
2003-10-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-11-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-12-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-01-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-02-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-03-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-04-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
