measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,2708.76,50751.0,50751.0,,,
2003-02-01,2387.8920000000003,44739.0,44739.0,,,
2003-03-01,2371.463,44432.0,44432.0,,,
2003-04-01,2391.688,44811.0,44811.0,,,
2003-05-01,2845.835,53319.0,53319.0,,,
2003-06-01,2971.059,55666.0,55666.0,,,
2003-07-01,3241.277,60728.0,60728.0,,,
2003-08-01,3426.096,64191.0,64191.0,,,
2003-09-01,2812.779,52700.0,52700.0,,,
2003-10-01,2549.815,47773.0,47773.0,,,
2003-11-01,2414.326,45235.0,45235.0,,,
2003-12-01,2497.009,46784.0,46784.0,,,
2004-01-01,2931.583,64447.0,64447.0,,,
2004-02-01,2931.583,64447.0,64447.0,,,
2004-03-01,2931.583,64447.0,64447.0,,,
2004-04-01,2931.583,64447.0,64447.0,,,
2004-05-01,2931.583,64447.0,64447.0,,,
2004-06-01,2931.583,64447.0,64447.0,,,
2004-07-01,2931.583,64447.0,64447.0,,,
2004-08-01,2931.583,64447.0,64447.0,,,
2004-09-01,2931.583,64447.0,64447.0,,,
2004-10-01,2931.583,64447.0,64447.0,,,
2004-11-01,2931.583,64447.0,64447.0,,,
2004-12-01,2931.583,64447.0,64447.0,,,
2005-01-01,2245.99,53452.8,53452.8,,,
2005-02-01,1915.5240000000001,45587.97,45587.97,,,
2005-03-01,2139.936,50928.81,50928.81,,,
2005-04-01,1975.804,47022.59,47022.59,,,
2005-05-01,2164.81,51520.79,51520.79,,,
2005-06-01,2099.071,49956.25,49956.25,,,
2005-07-01,2255.1530000000002,53670.87,53670.87,,,
2005-08-01,2172.33,51699.77,51699.77,,,
2005-09-01,2068.206,49221.7,49221.7,,,
2005-10-01,1784.843,42477.88,42477.88,,,
2005-11-01,1987.4160000000002,47298.96,47298.96,,,
2005-12-01,2223.917,52927.49,52927.49,,,
2006-01-01,2491.418,47633.0,47633.0,,,
2006-02-01,2302.449,44020.0,44020.0,,,
2006-03-01,2539.755,48558.0,48558.0,,,
2006-04-01,1868.645,35727.0,35727.0,,,
2006-05-01,2284.578,43679.0,43679.0,,,
2006-06-01,2393.185,45755.0,45755.0,,,
2006-07-01,2483.7290000000003,47486.0,47486.0,,,
2006-08-01,2468.793,47201.0,47201.0,,,
2006-09-01,2361.4590000000003,45149.0,45149.0,,,
2006-10-01,2450.4230000000002,46850.0,46850.0,,,
2006-11-01,2474.897,47317.0,47317.0,,,
2006-12-01,2384.668,45592.0,45592.0,,,
2007-01-01,2549.378,46259.0,46259.0,,,
2007-02-01,2616.967,47486.0,47486.0,,,
2007-03-01,3629.253,65854.0,65854.0,,,
2007-04-01,2008.083,36437.0,36437.0,,,
2007-05-01,1530.934,27780.0,27780.0,,,
2007-06-01,1772.586,32164.0,32164.0,,,
2007-07-01,2654.163,48161.0,48161.0,,,
2007-08-01,2670.891,48464.0,48464.0,,,
2007-09-01,2315.433,42014.0,42014.0,,,
