measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,261120.0,2805391.0,2805391.0,,,,1800.0,19378.0,19378.0,,,,,,
2003-02-01,,,,256649.0,2696069.0,2696069.0,0.0,0.0,0.0,968.0,10237.0,10237.0,,,,,,
2003-03-01,,,,238891.0,2592778.0,2592778.0,0.0,0.0,0.0,1074.0,12157.0,12157.0,,,,,,
2003-04-01,,,,235857.0,2517267.0,2517267.0,,,,625.0,6885.0,6885.0,,,,,,
2003-05-01,,,,181615.0,1984908.0,1984908.0,-78.0,0.0,0.0,1011.0,11322.0,11322.0,,,,,,
2003-06-01,,,,232571.0,2540651.0,2540651.0,105.0,1154.0,1154.0,1035.0,12099.0,12099.0,,,,,,
2003-07-01,,,,280811.0,3152769.0,3152769.0,0.0,0.0,0.0,1042.0,11256.0,11256.0,,,,,,
2003-08-01,,,,310102.0,3411629.0,3411629.0,0.0,0.0,0.0,578.0,6357.0,6357.0,,,,,,
2003-09-01,,,,165590.0,1870470.0,1870470.0,-28.0,0.0,0.0,1007.0,11710.0,11710.0,,,,,,
2003-10-01,,,,160527.0,1716278.0,1716278.0,-3.0,0.0,0.0,1136.0,13827.0,13827.0,,,,,,
2003-11-01,,,,243464.0,2576549.0,2576549.0,-13.0,0.0,0.0,1351.0,15086.0,15086.0,,,,,,
2003-12-01,,,,307625.0,3252139.0,3252139.0,-35.0,0.0,0.0,1666.0,17852.0,17852.0,,,,,,
2004-01-01,,,,262684.0,2798237.0,2798237.0,0.0,0.0,0.0,1774.0,19099.0,19099.0,,,,,,
2004-02-01,,,,286458.0,3038273.0,3038273.0,-87.0,3248.0,3248.0,1354.0,14274.0,14274.0,,,,,,
